County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates
Boulder County  8,370,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,121.0 ,121.0 
Teller County,39,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,120.5 ,120.5 
Dolores County,4,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,118.2 ,118.2 
Custer County,10,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,115.7 ,115.7 
Douglas County,306,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,115.5 ,115.5 
La Plata County,67,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,114.5 ,114.5 
Saguache County,9,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,113.3 ,113.3 
Clear Creek County,12,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,103.9 ,103.9 
San Miguel County,7,*,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,103.8 ,103.8 
Kit Carson County,11,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,103.4 ,103.4 
Archuleta County,21,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,102.9 ,102.9 
Grand County,16,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,102.0 ,102.0 
Gunnison County,15,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,101.9 ,101.9 
Routt County,24,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,97.6 ,97.6 
Lake County,5,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,96.6 ,96.6 
Park County,21,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,83.3 ,83.3 
Ouray County,6,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,76.7 ,76.7 
Pitkin County,17,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,74.8 ,74.8 
Eagle County,29,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,74.0 ,74.0 
Summit County,16,falling,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,61.0 ,61.0 
Jefferson County  8,9,*,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,217.2 ,217.2 
Pueblo County,7,*,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,184.7 ,184.7 
Denver County,128,falling,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.2 ,175.2 
Boulder County  8,4,*,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,155.5 ,155.5 
El Paso County,48,falling,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,151.9 ,151.9 
Adams County  8,17,stable,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,146.3 ,146.3 
Arapahoe County,66,falling,Colorado,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,134.2 ,134.2 
El Paso County,8,*,Colorado,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,171.8 ,171.8 
Jefferson County  8,6,stable,Colorado,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,140.8 ,140.8 
Adams County  8,6,*,Colorado,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,136.3 ,136.3 
Denver County,5,*,Colorado,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,82.3 ,82.3 
Arapahoe County,3,*,Colorado,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,63.1 ,63.1 
Pueblo County,3,*,Colorado,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,61.8 ,61.8 
Adams County  8,20,stable,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,114.3 ,114.3 
Weld County  8,4,*,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,109.9 ,109.9 
Jefferson County  8,16,stable,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,101.1 ,101.1 
El Paso County,23,stable,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,97.2 ,97.2 
Arapahoe County,33,falling,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,92.5 ,92.5 
Denver County,22,stable,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,88.5 ,88.5 
Douglas County,8,*,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,83.2 ,83.2 
Larimer County,4,*,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,63.1 ,63.1 
Boulder County  8,8,stable,Colorado,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,63.0 ,63.0 
Prowers County,5,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,191.9 ,191.9 
Otero County,14,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,173.4 ,173.4 
Las Animas County,13,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,166.3 ,166.3 
La Plata County,8,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,159.8 ,159.8 
Huerfano County,6,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,159.2 ,159.2 
Saguache County,3,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,150.9 ,150.9 
Pueblo County,102,falling,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,149.3 ,149.3 
Denver County,186,falling,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,146.1 ,146.1 
Montrose County,7,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,140.9 ,140.9 
Montezuma County,4,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,139.9 ,139.9 
Rio Grande County,7,falling,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,137.4 ,137.4 
Weld County  8,60,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,133.1 ,133.1 
Jefferson County  8,73,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,129.9 ,129.9 
Boulder County  8,27,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,129.8 ,129.8 
Adams County  8,123,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,126.2 ,126.2 
El Paso County,71,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,124.9 ,124.9 
Larimer County,24,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,124.9 ,124.9 
Costilla County,5,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,124.5 ,124.5 
Morgan County,8,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,122.3 ,122.3 
Conejos County,7,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,121.0 ,121.0 
Alamosa County,7,stable,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,112.9 ,112.9 
Mesa County,15,falling,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,112.9 ,112.9 
Garfield County,6,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,103.2 ,103.2 
Arapahoe County,56,falling,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,102.0 ,102.0 
Delta County,3,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,100.6 ,100.6 
Fremont County,4,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,99.7 ,99.7 
Douglas County,12,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,91.3 ,91.3 
Eagle County,4,*,Colorado,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,79.9 ,79.9 
Windham County,244,stable,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.0 ,170.0 
New London County,515,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.9 ,152.9 
New Haven County,1465,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.9 ,144.9 
Hartford County,1453,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.8 ,141.8 
Litchfield County,389,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.9 ,139.9 
Middlesex County,327,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.3 ,139.3 
Tolland County,234,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.3 ,134.3 
Fairfield County,1324,falling,Connecticut,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.7 ,127.7 
Windham County,8,*,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,147.2 ,147.2 
Hartford County,111,stable,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,132.2 ,132.2 
New London County,13,*,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.1 ,120.1 
Tolland County,3,*,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,119.3 ,119.3 
New Haven County,83,falling,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,110.6 ,110.6 
Fairfield County,97,falling,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,92.6 ,92.6 
Litchfield County,4,*,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,78.0 ,78.0 
Middlesex County,3,*,Connecticut,All Cancer Sites,  White Hispanic,All Sexes,All Ages,59.5 ,59.5 
Windham County,236,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.7 ,170.7 
New London County,502,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.3 ,154.3 
New Haven County,1382,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.0 ,147.0 
Hartford County,1342,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.2 ,142.2 
Middlesex County,324,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.1 ,141.1 
Litchfield County,385,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.1 ,141.1 
Tolland County,230,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,134.5 ,134.5 
Fairfield County,1227,falling,Connecticut,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.6 ,130.6 
New London County,23,falling,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,158.3 ,158.3 
New Haven County,172,falling,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,156.2 ,156.2 
Hartford County,181,falling,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,145.6 ,145.6 
Middlesex County,12,falling,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,144.3 ,144.3 
Fairfield County,145,falling,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,131.8 ,131.8 
Tolland County,4,*,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,111.4 ,111.4 
Litchfield County,3,*,Connecticut,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,89.0 ,89.0 
Litchfield County,3,*,Connecticut,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,99.2 ,99.2 
Hartford County,26,falling,Connecticut,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,77.0 ,77.0 
New London County,8,*,Connecticut,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,75.2 ,75.2 
Fairfield County,27,stable,Connecticut,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,65.0 ,65.0 
New Haven County,18,stable,Connecticut,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,62.3 ,62.3 
Windham County,8,*,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,127.6 ,127.6 
Hartford County,114,stable,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,116.5 ,116.5 
Tolland County,3,*,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,108.0 ,108.0 
New London County,13,*,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,103.0 ,103.0 
New Haven County,87,falling,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,101.7 ,101.7 
Fairfield County,100,falling,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,86.5 ,86.5 
Litchfield County,4,*,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,66.0 ,66.0 
Middlesex County,3,*,Connecticut,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,53.9 ,53.9 
Kent County,301,falling,Delaware,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.1 ,181.1 
New Castle County,810,falling,Delaware,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.5 ,161.5 
Sussex County,581,falling,Delaware,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.3 ,159.3 
Kent County,8,*,Delaware,All Cancer Sites,  White Hispanic,All Sexes,All Ages,141.7 ,141.7 
New Castle County,25,falling,Delaware,All Cancer Sites,  White Hispanic,All Sexes,All Ages,114.9 ,114.9 
Sussex County,5,*,Delaware,All Cancer Sites,  White Hispanic,All Sexes,All Ages,61.3 ,61.3 
Kent County,291,falling,Delaware,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.2 ,181.2 
New Castle County,784,falling,Delaware,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.3 ,163.3 
Sussex County,576,falling,Delaware,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.8 ,161.8 
New Castle County,240,stable,Delaware,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,179.9 ,179.9 
Kent County,74,falling,Delaware,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,157.3 ,157.3 
Sussex County,45,falling,Delaware,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,152.7 ,152.7 
Kent County,8,*,Delaware,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,118.3 ,118.3 
New Castle County,27,falling,Delaware,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,102.3 ,102.3 
Sussex County,5,*,Delaware,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,55.3 ,55.3 
District of Columbia,255,falling,District of Columbia,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,100.7 ,100.7 
District of Columbia,29,stable,District of Columbia,All Cancer Sites,  White Hispanic,All Sexes,All Ages,90.4 ,90.4 
District of Columbia,226,stable,District of Columbia,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,101.5 ,101.5 
District of Columbia,774,falling,District of Columbia,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,196.6 ,196.6 
District of Columbia,19,stable,District of Columbia,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,102.6 ,102.6 
District of Columbia,33,stable,District of Columbia,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,79.9 ,79.9 
Union County,63,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,440.3 ,440.3 
Columbia County,173,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,209.8 ,209.8 
Washington County,60,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,208.2 ,208.2 
Calhoun County,35,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,203.1 ,203.1 
Levy County,124,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.0 ,201.0 
Putnam County,207,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.7 ,198.7 
Suwannee County,120,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.7 ,197.7 
Hamilton County,27,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.2 ,197.2 
Holmes County,52,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,195.2 ,195.2 
Franklin County,32,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,193.6 ,193.6 
Dixie County,50,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,192.2 ,192.2 
Okeechobee County,103,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.2 ,187.2 
Bradford County,59,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.4 ,186.4 
Jackson County,99,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.0 ,184.0 
Gilchrist County,47,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,183.6 ,183.6 
Wakulla County,58,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.5 ,182.5 
Baker County,50,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,182.2 
Lafayette County,17,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.4 ,181.4 
Escambia County,566,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.3 ,181.3 
Liberty County,15,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.5 ,178.5 
Citrus County,558,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.7 ,177.7 
Nassau County,209,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.4 ,176.4 
Clay County,379,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.3 ,176.3 
Duval County,1266,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,173.9 ,173.9 
Hernando County,582,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,173.7 ,173.7 
Madison County,32,stable,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.1 ,170.1 
Taylor County,46,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.2 ,168.2 
Pasco County,1329,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.2 ,168.2 
Okaloosa County,369,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.9 ,167.9 
Volusia County,1432,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.9 ,167.9 
Brevard County,1526,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.6 ,166.6 
Marion County,1006,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.0 ,166.0 
Gadsden County,52,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.8 ,165.8 
Jefferson County,27,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,162.2 ,162.2 
Alachua County,358,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.1 ,161.1 
Lake County,918,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.4 ,159.4 
Walton County,146,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.0 ,159.0 
DeSoto County,81,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.5 ,158.5 
Osceola County,469,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.0 ,157.0 
Santa Rosa County,307,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.8 ,155.8 
Flagler County,293,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.9 ,153.9 
Indian River County,489,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.5 ,153.5 
Gulf County,32,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.7 ,152.7 
Polk County,1312,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.5 ,152.5 
St. Lucie County,682,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.4 ,152.4 
Hillsborough County,1956,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.9 ,150.9 
Orange County,1445,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.4 ,150.4 
Seminole County,714,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.3 ,150.3 
Bay County,316,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.2 ,148.2 
Highlands County,321,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.7 ,147.7 
Pinellas County,2317,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.4 ,147.4 
Monroe County,166,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.0 ,144.0 
Charlotte County,617,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.6 ,142.6 
St. Johns County,465,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.6 ,141.6 
Broward County,2680,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.7 ,140.7 
Hendry County,52,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.3 ,140.3 
Leon County,299,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.8 ,139.8 
Hardee County,41,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.1 ,138.1 
Glades County,29,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.0 ,138.0 
Sarasota County,1317,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.2 ,134.2 
Sumter County,471,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,131.6 ,131.6 
Martin County,439,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,129.2 ,129.2 
Lee County,1667,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.8 ,127.8 
Palm Beach County,2910,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,126.2 ,126.2 
Manatee County,846,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,125.6 ,125.6 
Miami-Dade County,3563,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,124.6 ,124.6 
Collier County,814,falling,Florida,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,105.4 ,105.4 
Union County,4,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,"2,124.0 ","2,124.0 "
Nassau County,4,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,186.6 ,186.6 
Columbia County,4,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,136.7 ,136.7 
Osceola County,176,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,131.0 ,131.0 
Clay County,14,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,127.9 ,127.9 
Hardee County,6,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,127.6 ,127.6 
Putnam County,5,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.6 ,120.6 
Polk County,109,rising,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,118.6 ,118.6 
Miami-Dade County,2753,falling,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,118.1 ,118.1 
Hillsborough County,350,falling,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,116.8 ,116.8 
Orange County,338,falling,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,116.7 ,116.7 
Pasco County,66,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,115.2 ,115.2 
Flagler County,15,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,114.1 ,114.1 
Marion County,47,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,113.6 ,113.6 
Seminole County,80,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,113.0 ,113.0 
Lake County,44,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,112.2 ,112.2 
Volusia County,71,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,110.8 ,110.8 
Indian River County,17,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,109.9 ,109.9 
Okeechobee County,6,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,109.2 ,109.2 
St. Johns County,13,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,108.8 ,108.8 
Broward County,534,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,106.7 ,106.7 
Hendry County,13,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,106.5 ,106.5 
Lee County,110,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,105.5 ,105.5 
Hernando County,27,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,104.5 ,104.5 
Brevard County,57,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,104.2 ,104.2 
Escambia County,8,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,103.4 ,103.4 
Duval County,51,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,103.0 ,103.0 
Charlotte County,14,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,101.5 ,101.5 
St. Lucie County,47,falling,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,101.4 ,101.4 
Pinellas County,77,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,100.7 ,100.7 
Sarasota County,33,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,99.7 ,99.7 
Palm Beach County,257,falling,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,98.4 ,98.4 
Martin County,12,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,98.2 ,98.2 
Bay County,6,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,97.8 ,97.8 
Citrus County,10,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,97.6 ,97.6 
Manatee County,33,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,96.8 ,96.8 
Collier County,68,falling,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,96.3 ,96.3 
Okaloosa County,8,*,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,96.2 ,96.2 
Alachua County,12,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,95.7 ,95.7 
Highlands County,18,stable,Florida,All Cancer Sites,  White Hispanic,All Sexes,All Ages,93.9 ,93.9 
