County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000"
Lake County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,136.0 
San Miguel County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,135.9 
Teller County,21,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,128.4 
Crowley County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,128.0 
Chaffee County,21,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,127.5 
Douglas County,163,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,123.8 
Grand County,10,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,118.3 
Archuleta County,13,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,116.1 
Costilla County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,114.3 
Clear Creek County,7,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,113.4 
Gilpin County,3,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,110.9 
Gunnison County,9,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,109.6 
Kit Carson County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,108.3 
Routt County,14,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,103.4 
Custer County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,94.0 
Pitkin County,11,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,87.3 
Ouray County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,84.3 
Park County,13,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,82.8 
Eagle County,19,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,79.9 
Summit County,9,Colorado,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,54.5 
Crowley County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,181.3 
Baca County,6,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,160.5 
Prowers County,14,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.7 
Lincoln County,6,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.3 
Washington County,6,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.2 
Gilpin County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.7 
Delta County,36,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.4 
Yuma County,9,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.3 
Logan County,21,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.1 
Custer County,6,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,134.1 
Adams County  8,292,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.3 
Morgan County,23,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,127.8 
Pueblo County,151,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.9 
El Paso County,459,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.8 
Fremont County,45,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.5 
Chaffee County,20,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.8 
Rio Blanco County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.9 
Otero County,19,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.8 
Denver County,438,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.7 
Mesa County,136,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.6 
Las Animas County,16,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,119.9 
Weld County  8,178,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,117.3 
Montrose County,41,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,116.5 
Jefferson County  8,442,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.0 
Broomfield County  8,46,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.3 
Garfield County,34,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.0 
Conejos County,7,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.0 
Alamosa County,10,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,112.5 
Arapahoe County,401,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.6 
Teller County,19,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.4 
Huerfano County,8,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.0 
Boulder County  8,207,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.5 
Phillips County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.5 
Montezuma County,22,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.1 
Larimer County,227,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.6 
Douglas County,168,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,105.9 
Archuleta County,12,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,101.5 
Elbert County,16,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,101.5 
Clear Creek County,6,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,101.2 
Moffat County,8,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,99.5 
La Plata County,34,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,99.4 
Saguache County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,99.3 
Bent County,4,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,98.0 
Gunnison County,8,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,96.7 
Rio Grande County,8,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,91.8 
Kit Carson County,5,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,89.3 
Grand County,7,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,83.6 
Routt County,10,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,83.3 
Park County,9,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,74.1 
Eagle County,14,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,68.2 
Pitkin County,7,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,63.0 
Summit County,8,Colorado,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,62.3 
Windham County,129,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,199.8 
New Haven County,852,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,175.4 
Hartford County,859,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,171.8 
New London County,278,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,170.2 
Litchfield County,209,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,163.4 
Middlesex County,179,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,163.2 
Tolland County,124,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,149.8 
Fairfield County,731,Connecticut,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,143.9 
Windham County,119,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.9 
New London County,272,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.4 
New Haven County,804,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.6 
Litchfield County,187,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,119.8 
Middlesex County,164,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,118.2 
Hartford County,801,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,118.1 
Tolland County,115,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,117.3 
Fairfield County,767,Connecticut,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.7 
Kent County,197,Delaware,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,201.5 
New Castle County,554,Delaware,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.9 
Sussex County,352,Delaware,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,188.1 
Kent County,184,Delaware,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.5 
New Castle County,514,Delaware,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.3 
Sussex County,278,Delaware,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.4 
District of Columbia,502,District of Columbia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,177.6 
District of Columbia,546,District of Columbia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4 
Union County,66,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,603.9 
Calhoun County,24,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,257.0 
Jackson County,80,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.9 
Washington County,39,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.0 
Hamilton County,21,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.3 
Columbia County,112,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,242.2 
Putnam County,138,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,241.9 
Gilchrist County,29,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.6 
Franklin County,22,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.8 
Suwannee County,72,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.0 
Escambia County,402,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.8 
Levy County,76,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.3 
Lafayette County,11,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.0 
Baker County,31,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,221.0 
Dixie County,31,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,220.5 
Gadsden County,59,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,220.5 
Bradford County,37,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,215.9 
Holmes County,29,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,214.7 
Nassau County,126,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.8 
Okeechobee County,63,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.7 
Madison County,26,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,209.1 
Wakulla County,36,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.9 
Duval County,909,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.2 
Citrus County,325,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.1 
Alachua County,246,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,202.3 
Hernando County,333,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,201.5 
Volusia County,837,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.2 
Marion County,617,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.0 
Brevard County,912,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.8 
Pasco County,758,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.7 
Walton County,90,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.4 
Jefferson County,21,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0 
Clay County,214,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.8 
Taylor County,29,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0 
Osceola County,296,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,187.1 
Santa Rosa County,182,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.5 
Lake County,548,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.1 
Okaloosa County,208,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.1 
Indian River County,286,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,185.5 
Hillsborough County,1257,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,183.7 
Gulf County,21,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.9 
Orange County,993,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,177.7 
Flagler County,179,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.5 
Bay County,195,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,175.7 
Seminole County,412,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,175.6 
DeSoto County,50,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,174.0 
Pinellas County,1345,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,173.0 
Leon County,208,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,171.6 
Polk County,790,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,170.7 
St. Lucie County,425,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,169.6 
Hendry County,36,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.1 
St. Johns County,270,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,166.5 
Liberty County,8,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.6 
Monroe County,105,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,162.8 
Charlotte County,363,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,161.3 
Miami-Dade County,2302,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,160.9 
Highlands County,182,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,160.9 
Broward County,1757,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,160.7 
Sarasota County,748,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,158.6 
Sumter County,296,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.9 
Martin County,259,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.1 
Hardee County,25,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,154.6 
Manatee County,492,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,145.6 
Palm Beach County,1700,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.2 
Lee County,972,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.2 
Glades County,17,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,133.6 
Collier County,462,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,118.6 
Union County,14,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,201.8 
Levy County,58,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,174.9 
Columbia County,84,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,172.0 
Liberty County,8,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,171.1 
Holmes County,24,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3 
Suwannee County,58,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.5 
Dixie County,21,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,161.5 
Hamilton County,15,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,160.8 
Okeechobee County,44,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.9 
Putnam County,96,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.9 
Taylor County,25,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,156.9 
Nassau County,102,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.8 
Washington County,25,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.0 
Bradford County,29,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.9 
Clay County,200,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.3 
Citrus County,249,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.8 
Duval County,841,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.1 
Baker County,25,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.8 
Okaloosa County,194,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.8 
Franklin County,13,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.8 
Wakulla County,27,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4 
Hernando County,271,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4 
Lafayette County,7,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.8 
Escambia County,314,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.6 
Jackson County,52,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.3 
DeSoto County,39,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.3 
Volusia County,702,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4 
Calhoun County,14,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.6 
Pasco County,622,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0 
Gulf County,16,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.5 
Brevard County,741,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4 
Gilchrist County,19,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.5 
Jefferson County,16,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.2 
Highlands County,160,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,134.8 
Polk County,690,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,134.3 
Alachua County,204,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,133.3 
Marion County,469,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,133.1 
Glades County,15,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8 
Lake County,440,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.7 
St. Lucie County,360,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,131.5 
Seminole County,402,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.2 
Flagler County,147,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.0 
Pinellas County,1199,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.5 
Gadsden County,43,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.9 
Santa Rosa County,142,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.5 
Hillsborough County,1091,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.5 
Indian River County,231,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.3 
Walton County,64,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.3 
Hardee County,20,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.8 
Madison County,18,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.1 
Hendry County,26,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,124.3 
Orange County,873,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.9 
Broward County,1686,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.5 
Bay County,156,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.3 
Leon County,195,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.6 
Charlotte County,276,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.2 
Osceola County,237,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.5 
St. Johns County,224,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.0 
Monroe County,69,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,119.5 
Sarasota County,613,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.3 
Palm Beach County,1586,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,112.5 
Lee County,792,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8 
Manatee County,417,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.5 
Sumter County,190,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.7 
Martin County,199,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.8 
Miami-Dade County,2067,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.1 
Collier County,381,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,92.2 
Warren County,12,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,338.4 
Taliaferro County,4,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,320.3 
Turner County,14,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,312.4 
Jefferson County,26,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,288.7 
Emanuel County,34,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,288.2 
Quitman County,6,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,288.0 
Laurens County,73,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,282.7 
Washington County,31,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1 
Toombs County,38,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,278.9 
Montgomery County,13,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,277.0 
Early County,17,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,270.5 
Glascock County,5,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,269.9 
Terrell County,13,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,268.7 
Twiggs County,15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,266.9 
Peach County,38,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,266.1 
Sumter County,42,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.9 
Seminole County,16,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.7 
Polk County,58,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,261.4 
Lincoln County,15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,258.8 
Ben Hill County,24,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,256.8 
Jasper County,21,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,256.0 
Stephens County,40,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,255.4 
Decatur County,37,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,255.0 
Bryan County,37,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.8 
Taylor County,13,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,253.2 
Clinch County,10,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.8 
Butts County,32,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.6 
Irwin County,14,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.3 
Thomas County,64,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,250.8 
Brooks County,23,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,250.3 
Ware County,49,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,249.3 
Elbert County,32,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.6 
McDuffie County,29,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.4 
Dade County,24,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.9 
Barrow County,84,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.0 
Oglethorpe County,23,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.9 
Lee County,29,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.2 
Bacon County,15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,244.6 
Lamar County,26,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,244.3 
Wayne County,40,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.9 
Coffee County,49,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.5 
Murray County,47,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,240.9 
Richmond County,223,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.7 
Chattooga County,35,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.7 
Franklin County,34,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.4 
Wilkes County,17,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.0 
Brantley County,26,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.3 
Candler County,15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.2 
Tattnall County,31,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.5 
Atkinson County,10,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,231.9 
Gordon County,65,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,231.6 
Upson County,36,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.9 
Pike County,23,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.8 
Burke County,25,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.8 
Miller County,9,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.2 
Treutlen County,8,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.6 
Tift County,46,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,228.1 
Carroll County,119,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.7 
Muscogee County,189,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.3 
Newton County,103,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.6 
Troup County,76,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.1 
Jackson County,74,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.9 
Bulloch County,66,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,223.0 
Chattahoochee County,5,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,221.5 
Colquitt County,52,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.9 
Mitchell County,27,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.7 
Effingham County,56,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.2 
