,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates
17,Jefferson County  6,157,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,295.9 ",-0.6 
18,Menard County  6,53,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,293.8 ",-0.2 
19,Alexander County  6,30,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,290.3 ",-1.5 
20,Kendall County  6,265,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,285.8 ",-0.2 
21,Pike County  6,73,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,284.9 ",0.9 
22,Lawrence County  6,63,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,273.0 ",0.7 
23,Shelby County  6,106,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,268.2 ",-0.4 
24,White County  6,67,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,266.4 ",0.3 
25,Calhoun County  6,25,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,259.9 ",-0.2 
26,Marshall County  6,58,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,257.3 ",-0.2 
27,Saline County  6,105,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,255.9 ",-0.9 
28,Schuyler County  6,34,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,254.1 ",0.8 
29,Will County  6,1824,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,251.7 ",-0.9 
30,Livingston County  6,145,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,244.6 ",-0.5 
31,La Salle County  6,441,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,236.9 ",-1.0 
32,Ford County  6,55,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,236.2 ",-0.5 
33,Mason County  6,66,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,230.9 ",-0.7 
34,Iroquois County  6,128,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,229.3 ",0.2 
35,Williamson County  6,268,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,229.1 ",-0.5 
36,De Witt County  6,65,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,229.0 ",-0.1 
37,Fulton County  6,153,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,225.9 ",-0.9 
38,Union County  6,77,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,211.5 ",0.8 
39,Vermilion County  6,313,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,211.2 ",-0.5 
40,McDonough County  6,109,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,199.6 ",-0.8 
41,Effingham County  6,125,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,196.7 ",-0.5 
42,Kankakee County  6,379,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,193.8 ",-1.0 
43,Montgomery County  6,121,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,187.5 ",-0.5 
44,Madison County  6,942,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,186.3 ",0.1 
45,Pulaski County  6,25,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,182.4 ",1.7 
46,Mercer County  6,70,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,176.9 ",-0.1 
47,Tazewell County  6,511,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,171.5 ",-1.1 
48,Randolph County  6,126,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,170.2 ",-0.5 
49,Piatt County  6,65,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,161.8 ",-0.4 
50,Jersey County  6,86,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,160.8 ",0.1 
51,Peoria County  6,630,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,154.2 ",-1.2 
52,Lee County  6,136,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,151.7 ",-1.0 
53,Bureau County  6,148,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,151.6 ",-1.1 
54,Crawford County  6,75,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,143.7 ",-1.0 
55,Bond County  6,63,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,135.0 ",-1.5 
56,Hamilton County  6,36,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,132.0 ",1.2 
57,Whiteside County  6,235,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,124.7 ",-0.4 
58,Jo Daviess County  6,118,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,118.6 ",-0.1 
59,Coles County  6,171,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,114.0 ",-1.0 
60,Stark County  6,25,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,111.8 ",-0.1 
61,Wabash County  6,48,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,109.0 ",-0.5 
62,Woodford County  6,136,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,107.9 ",-0.3 
63,McHenry County  6,846,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,107.2 ",-1.5 
64,Washington County  6,56,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,106.8 ",-1.1 
65,Moultrie County  6,55,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,103.8 ",-0.3 
66,Richland County  6,65,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,102.1 ",-0.2 
67,Douglas County  6,71,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,095.0 ",-1.4 
68,Wayne County  6,71,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,083.8 ",-0.7 
69,Lake County  6,1879,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,076.0 ",-1.3 
70,St. Clair County  6,793,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,073.3 ",-1.0 
71,Knox County  6,210,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,072.7 ",-0.8 
72,Clinton County  6,125,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,066.6 ",-0.4 
73,DuPage County  6,2698,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,058.3 ",-1.0 
74,Pope County  6,23,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,056.5 ",1.4 
75,Henry County  6,197,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,052.6 ",-1.2 
76,Ogle County  6,183,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,040.7 ",-0.7 
77,Adams County  6,258,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,011.3 ",-1.0 
78,Cook County  6,14237,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,000.3 ",-1.6 
79,Jackson County  6,162,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,993.7 ",-0.8 
80,Boone County  6,156,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,984.0 ",-1.4 
81,Kane County  6,1289,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,979.7 ",-1.5 
82,Winnebago County  6,922,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,970.3 ",-1.0 
83,Fayette County  6,77,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,966.5 ",-1.1 
84,Warren County  6,63,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,957.3 ",-1.2 
85,Champaign County  6,480,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,952.5 ",0.4 
86,Henderson County  6,32,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,944.5 ",-1.4 
87,Perry County  6,73,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,943.0 ",-1.1 
88,Monroe County  6,107,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,932.8 ",-1.1 
89,Clark County  6,58,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,923.6 ",-1.4 
90,Jasper County  6,34,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,922.7 ",-0.4 
91,Cumberland County  6,38,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,911.1 ",-1.1 
92,Hardin County  6,19,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,910.1 ",-1.8 
93,McLean County  6,395,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,892.5 ",-1.6 
94,Edgar County  6,68,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,873.4 ",-3.2 
95,Rock Island County  6,490,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,871.2 ",-1.6 
96,Stephenson County  6,179,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,863.6 ",-1.3 
97,Gallatin County  6,21,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,837.4 ",-2.3 
98,Massac County  6,54,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,837.1 ",-1.2 
99,Hancock County  6,73,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,822.9 ",-2.2 
100,Carroll County  6,64,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,817.2 ",-2.2 
101,Johnson County  6,45,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,771.4 ",-2.0 
102,Putnam County  6,22,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,758.1 ",-2.7 
103,Edwards County  6,23,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,745.2 ",-0.4 
2,Tipton County  6,12,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,141.8 ,-5.1 
3,Morgan County  6,59,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,136.2 ,2.9 
4,Hancock County  6,62,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,134.6 ,1.0 
5,Fountain County  6,12,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.7 ,2.3 
6,Howard County  6,60,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,127.9 ,2.3 
7,Knox County  6,26,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,127.4 ,2.0 
8,Grant County  6,46,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,127.4 ,0.5 
9,Jay County  6,15,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.8 ,-0.3 
10,Jefferson County  6,24,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.1 ,1.5 
11,Harrison County  6,29,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,123.4 ,1.2 
12,Madison County  6,94,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.8 ,1.7 
13,Lawrence County  6,32,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.8 ,2.0 
14,Shelby County  6,32,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.6 ,1.5 
15,Decatur County  6,19,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.5 ,2.2 
16,Wabash County  6,21,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.9 ,2.5 
17,Pulaski County  6,9,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.4 ,-1.4 
18,Franklin County  6,16,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.9 ,0.1 
19,Ripley County  6,20,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.5 ,0.5 
20,Union County  6,5,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.1 ,3.8 
21,Carroll County  6,13,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.9 ,1.6 
22,Jasper County  6,22,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.0 ,2.1 
23,Jennings County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,116.7 ,1.4 
24,Porter County  6,120,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,116.4 ,0.1 
25,Crawford County  6,7,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,116.0 ,0.8 
26,Boone County  6,48,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,115.8 ,1.5 
27,White County  6,15,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.3 ,0.6 
28,Dearborn County  6,34,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,113.5 ,1.5 
29,Clark County  6,82,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,112.7 ,1.2 
30,Dubois County  6,27,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,112.4 ,-13.0 
31,Kosciusko County  6,51,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,112.1 ,2.0 
32,Hamilton County  6,242,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.2 ,0.2 
33,Noble County  6,31,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.1 ,1.8 
34,Jackson County  6,30,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,110.8 ,0.2 
35,Henry County  6,33,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,110.2 ,-0.6 
36,Floyd County  6,51,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.8 ,0.6 
37,Vigo County  6,68,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.7 ,-0.2 
38,LaPorte County  6,72,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.2 ,0.7 
39,Washington County  6,18,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.2 ,1.0 
40,Hendricks County  6,117,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.1 ,0.5 
41,Vermillion County  6,10,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.1 ,0.4 
42,Brown County  6,9,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,109.0 ,-0.5 
43,Johnson County  6,105,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,108.7 ,0.6 
44,Posey County  6,15,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,108.0 ,0.5 
45,Delaware County  6,66,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,107.2 ,-0.3 
46,Lake County  6,309,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,106.5 ,0.5 
47,Clay County  6,17,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,106.2 ,-1.5 
48,Marion County  6,621,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.9 ,-0.2 
49,Daviess County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.4 ,1.6 
50,Wayne County  6,40,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.4 ,-0.3 
51,Rush County  6,10,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.3 ,1.7 
52,Adams County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.9 ,1.4 
53,Sullivan County  6,14,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.5 ,-0.2 
54,Montgomery County  6,22,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.9 ,0.7 
55,Vanderburgh County  6,108,rising,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.5 ,1.2 
56,Pike County  6,7,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.1 ,-1.0 
57,Owen County  6,12,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,102.5 ,11.3 
58,Bartholomew County  6,51,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,101.4 ,-0.7 
59,Clinton County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,101.4 ,0.4 
60,Benton County  6,5,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.9 ,-1.0 
61,Allen County  6,223,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.1 ,0.3 
62,St. Joseph County  6,155,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,99.0 ,-0.7 
63,Greene County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,98.9 ,1.5 
64,Blackford County  6,7,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,98.8 ,-1.1 
65,Scott County  6,14,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,98.5 ,-0.6 
66,Huntington County  6,20,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.8 ,1.3 
67,LaGrange County  6,21,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.7 ,-3.6 
68,Putnam County  6,21,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.5 ,0.3 
69,DeKalb County  6,25,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.4 ,0.5 
70,Wells County  6,15,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.2 ,-0.4 
71,Whitley County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.1 ,1.2 
72,Steuben County  6,18,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.0 ,-0.3 
73,Elkhart County  6,118,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,96.7 ,-0.3 
74,Gibson County  6,19,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,96.0 ,-0.2 
75,Warrick County  6,36,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,95.4 ,1.5 
76,Newton County  6,8,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,94.8 ,-1.7 
77,Orange County  6,10,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,94.8 ,-1.1 
78,Spencer County  6,11,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,94.7 ,0.7 
79,Randolph County  6,13,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,92.6 ,-0.9 
80,Tippecanoe County  6,92,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,90.6 ,-2.9 
81,Fayette County  6,12,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,90.1 ,-1.2 
82,Parke County  6,9,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,88.6 ,3.5 
83,Miami County  6,20,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,88.1 ,-1.7 
84,Starke County  6,12,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,87.1 ,-2.6 
85,Cass County  6,20,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,86.3 ,-0.4 
86,Marshall County  6,23,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,85.9 ,-1.3 
87,Fulton County  6,9,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,80.7 ,-1.8 
88,Monroe County  6,62,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,79.4 ,-1.3 
89,Switzerland County  6,5,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,77.4 ,-2.6 
90,Martin County  6,4,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,75.8 ,25.4 
91,Warren County  6,4,*,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,74.1 ,*
92,Perry County  6,8,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,71.9 ,-1.8 
2,Shelby County  6,268,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,609.8 ",-3.5 
3,Morgan County  6,408,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,576.5 ",-0.7 
4,Starke County  6,143,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,576.4 ",-0.1 
5,Putnam County  6,208,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,561.0 ",-0.2 
6,Knox County  6,218,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,538.1 ",-0.1 
7,Jefferson County  6,188,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,536.4 ",-0.3 
8,Dearborn County  6,292,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,534.6 ",0.2 
9,Warren County  6,54,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,532.5 ",-0.2 
10,Blackford County  6,80,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,529.1 ",-0.7 
11,Fountain County  6,104,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,508.5 ",-0.2 
12,Jennings County  6,148,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,504.2 ",0.2 
13,Grant County  6,405,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,502.2 ",-0.7 
14,Scott County  6,129,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,496.5 ",-1.3 
15,Owen County  6,130,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,481.6 ",-0.4 
16,Clay County  6,148,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,475.3 ",-0.8 
17,White County  6,150,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,471.6 ",-0.3 
18,Rush County  6,97,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,469.6 ",-0.4 
19,Benton County  6,49,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,467.1 ",-0.9 
20,Floyd County  6,393,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,458.4 ",-0.9 
21,Johnson County  6,703,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,455.5 ",1.0 
22,Madison County  6,712,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,442.1 ",-0.6 
23,Vermillion County  6,93,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,439.4 ",-1.2 
24,Howard County  6,475,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,435.7 ",-0.5 
25,Orange County  6,114,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,435.5 ",0.2 
26,Union County  6,41,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,433.1 ",0.3 
27,Wabash County  6,191,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,430.2 ",0.4 
28,Marion County  6,3899,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,429.6 ",-2.2 
29,Hancock County  6,374,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,428.7 ",-0.6 
30,Lake County  6,2478,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,428.1 ",-1.3 
31,Henry County  6,274,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,422.7 ",-0.4 
32,Delaware County  6,582,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,420.4 ",-0.5 
33,DeKalb County  6,216,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,416.3 ",-0.5 
34,Vigo County  6,517,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,410.6 ",-1.5 
35,Tipton County  6,92,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,407.7 ",-0.7 
36,Clark County  6,561,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,405.8 ",-1.3 
37,Porter County  6,833,falling,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,404.7 ",-0.8 
38,LaPorte County  6,586,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,402.3 ",-0.5 
39,Decatur County  6,135,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,396.6 ",0.2 
40,Carroll County  6,113,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,390.9 ",-1.0 
41,Huntington County  6,188,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,386.9 ",-0.5 
42,Kosciusko County  6,384,stable,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,382.9 ",-0.2 
