average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
3266,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.8 ,144.8 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
796,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.2 ,120.2 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
2467,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.1 ,154.1 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
257,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,156.2 ,156.2 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
29,stable,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,84.6 ,84.6 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
187,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,97.0 ,97.0 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
807,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,114.8 ,114.8 ,"Riverside County, CA",55.16666667,2345816,2380081,2414964,2445789,2470546,57895,59951,63776,66793,72905
22,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.8 ,143.8 ,"Modoc County, CA",53.0,9056,8961,8876,8800,8841,38402,42890,40970,45227,45311
21,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.5 ,148.5 ,"Modoc County, CA",53.0,9056,8961,8876,8800,8841,38402,42890,40970,45227,45311
916,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.7 ,140.7 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
79,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,116.3 ,116.3 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
835,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.2 ,142.2 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
10,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,108.2 ,108.2 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
8,falling,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,95.3 ,95.3 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
32,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,110.8 ,110.8 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
81,stable,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,109.5 ,109.5 ,"Sonoma County, CA",50.83333333,500863,502547,502469,498643,494336,66463,73496,79511,81002,87084
1232,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.4 ,140.4 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
250,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,111.5 ,111.5 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
982,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.4 ,149.4 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
28,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,147.6 ,147.6 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
6,*,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,44.0 ,44.0 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
71,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,82.0 ,82.0 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
253,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,106.1 ,106.1 ,"Ventura County, CA",61.0,845802,847323,849044,848142,846006,79285,79470,82436,84170,91446
706,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.3 ,140.3 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
37,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,99.3 ,99.3 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
669,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.3 ,143.3 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
10,*,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,128.4 ,128.4 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
4,*,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,86.1 ,86.1 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
28,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,80.2 ,80.2 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
38,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,94.4 ,94.4 ,"Placer County, CA",,372841,378943,385115,392330,398329,76203,85326,81366,89175,97688
31,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.1 ,140.1 ,"Colusa County, CA",,21231,21496,21579,21418,21547,51118,54861,53595,57249,59048
7,*,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,88.5 ,88.5 ,"Colusa County, CA",,21231,21496,21579,21418,21547,51118,54861,53595,57249,59048
24,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.7 ,160.7 ,"Colusa County, CA",,21231,21496,21579,21418,21547,51118,54861,53595,57249,59048
7,*,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,85.2 ,85.2 ,"Colusa County, CA",,21231,21496,21579,21418,21547,51118,54861,53595,57249,59048
10496,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.5 ,139.5 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
3952,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.6 ,120.6 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
6533,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,150.9 ,150.9 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
1824,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,174.8 ,174.8 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
54,falling,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,45.1 ,45.1 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
2238,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,107.2 ,107.2 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
3997,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,115.1 ,115.1 ,"Los Angeles County, CA",56.62790698,10085416,10105708,10103711,10073906,10039107,59045,61308,64912,67986,72721
3814,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.5 ,138.5 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
737,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.5 ,120.5 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
3074,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.1 ,142.1 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
75,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,130.1 ,130.1 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
16,stable,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,67.7 ,67.7 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
782,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,99.0 ,99.0 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
746,stable,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,115.9 ,115.9 ,"Orange County, CA",52.33333333,3149280,3164986,3174289,3175973,3175692,78002,81642,86031,89373,95761
1394,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,137.2 ,137.2 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
183,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,114.7 ,114.7 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
1210,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.4 ,141.4 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
202,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.8 ,176.8 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
10,*,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,98.7 ,98.7 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
228,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,97.7 ,97.7 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
190,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,109.1 ,109.1 ,"Contra Costa County, CA",56.0,1124405,1137268,1145535,1150519,1153526,83036,90920,95062,101463,106555
31,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,136.8 ,136.8 ,"Trinity County, CA",57.33333333,13094,12828,12726,12567,12285,37669,38727,40676,40680,43881
31,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.3 ,140.3 ,"Trinity County, CA",57.33333333,13094,12828,12726,12567,12285,37669,38727,40676,40680,43881
238,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,136.5 ,136.5 ,"Nevada County, CA",49.0,98676,98913,99367,99508,99755,57627,60501,64901,66681,69550
6,*,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,98.4 ,98.4 ,"Nevada County, CA",49.0,98676,98913,99367,99508,99755,57627,60501,64901,66681,69550
232,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,139.0 ,139.0 ,"Nevada County, CA",49.0,98676,98913,99367,99508,99755,57627,60501,64901,66681,69550
6,*,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,93.5 ,93.5 ,"Nevada County, CA",49.0,98676,98913,99367,99508,99755,57627,60501,64901,66681,69550
521,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,136.3 ,136.3 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
39,rising,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,105.3 ,105.3 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
482,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,139.6 ,139.6 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
5,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,98.6 ,98.6 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
5,*,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,133.3 ,133.3 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
12,stable,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,100.0 ,100.0 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
40,rising,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,99.8 ,99.8 ,"San Luis Obispo County, CA",53.0,280077,281803,282481,283354,283111,61761,69517,70634,70626,76599
359,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,135.3 ,135.3 ,"El Dorado County, CA",59.5,184569,185976,188679,190746,192843,75575,75100,78464,81869,86202
17,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,109.3 ,109.3 ,"El Dorado County, CA",59.5,184569,185976,188679,190746,192843,75575,75100,78464,81869,86202
342,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,136.5 ,136.5 ,"El Dorado County, CA",59.5,184569,185976,188679,190746,192843,75575,75100,78464,81869,86202
11,stable,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,112.0 ,112.0 ,"El Dorado County, CA",59.5,184569,185976,188679,190746,192843,75575,75100,78464,81869,86202
17,stable,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,102.3 ,102.3 ,"El Dorado County, CA",59.5,184569,185976,188679,190746,192843,75575,75100,78464,81869,86202
1338,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.9 ,134.9 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
241,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,118.9 ,118.9 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
1096,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.8 ,137.8 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
399,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,178.3 ,178.3 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
9,stable,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,52.8 ,52.8 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
545,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,97.7 ,97.7 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
252,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,111.2 ,111.2 ,"Alameda County, CA",57.16666667,1634538,1650950,1660196,1666756,1671329,81462,89472,95550,101744,107589
697,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.5 ,134.5 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
111,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,115.8 ,115.8 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
576,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.8 ,135.8 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
135,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.4 ,204.4 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
5,*,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,77.0 ,77.0 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
522,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,109.0 ,109.0 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
114,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,105.5 ,105.5 ,"San Francisco County, CA",56.0,863010,871512,878040,880696,881549,90527,101873,109601,110601,121795
638,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,133.8 ,133.8 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
136,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.6 ,120.6 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
502,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,136.3 ,136.3 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
11,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,111.3 ,111.3 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
3,*,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,46.3 ,46.3 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
27,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,98.6 ,98.6 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
137,stable,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,113.7 ,113.7 ,"Santa Barbara County, CA",58.0,442229,444340,445298,445780,446499,63049,66360,70651,75646,74530
396,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,133.5 ,133.5 ,"Santa Cruz County, CA",47.0,273503,274396,274856,273841,273213,64841,75929,76633,84213,85770
56,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,115.2 ,115.2 ,"Santa Cruz County, CA",47.0,273503,274396,274856,273841,273213,64841,75929,76633,84213,85770
340,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,136.3 ,136.3 ,"Santa Cruz County, CA",47.0,273503,274396,274856,273841,273213,64841,75929,76633,84213,85770
5,*,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,144.1 ,144.1 ,"Santa Cruz County, CA",47.0,273503,274396,274856,273841,273213,64841,75929,76633,84213,85770
13,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,80.5 ,80.5 ,"Santa Cruz County, CA",47.0,273503,274396,274856,273841,273213,64841,75929,76633,84213,85770
57,stable,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,107.8 ,107.8 ,"Santa Cruz County, CA",47.0,273503,274396,274856,273841,273213,64841,75929,76633,84213,85770
494,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,130.0 ,130.0 ,"Monterey County, CA",60.0,430552,433953,434534,433950,434061,60047,62999,70294,69665,76509
143,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,114.3 ,114.3 ,"Monterey County, CA",60.0,430552,433953,434534,433950,434061,60047,62999,70294,69665,76509
351,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.9 ,137.9 ,"Monterey County, CA",60.0,430552,433953,434534,433950,434061,60047,62999,70294,69665,76509
20,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,126.2 ,126.2 ,"Monterey County, CA",60.0,430552,433953,434534,433950,434061,60047,62999,70294,69665,76509
44,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,92.4 ,92.4 ,"Monterey County, CA",60.0,430552,433953,434534,433950,434061,60047,62999,70294,69665,76509
145,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,105.3 ,105.3 ,"Monterey County, CA",60.0,430552,433953,434534,433950,434061,60047,62999,70294,69665,76509
1667,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,129.8 ,129.8 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
342,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,117.7 ,117.7 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
1323,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.6 ,131.6 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
71,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,140.9 ,140.9 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
9,stable,California,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,48.1 ,48.1 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
656,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,90.8 ,90.8 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
350,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,110.6 ,110.6 ,"Santa Clara County, CA",57.0,1916285,1928368,1932510,1932337,1927852,102191,110843,118468,125933,132444
71,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,128.7 ,128.7 ,"San Benito County, CA",57.0,58216,59225,60164,61467,62808,76521,73298,77200,80063,84209
26,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,114.0 ,114.0 ,"San Benito County, CA",57.0,58216,59225,60164,61467,62808,76521,73298,77200,80063,84209
45,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.0 ,140.0 ,"San Benito County, CA",57.0,58216,59225,60164,61467,62808,76521,73298,77200,80063,84209
26,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,104.7 ,104.7 ,"San Benito County, CA",57.0,58216,59225,60164,61467,62808,76521,73298,77200,80063,84209
830,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,127.6 ,127.6 ,"San Mateo County, CA",58.0,765055,767906,768901,768681,766573,101133,107075,115908,122930,135234
122,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,98.9 ,98.9 ,"San Mateo County, CA",58.0,765055,767906,768901,768681,766573,101133,107075,115908,122930,135234
708,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,134.0 ,134.0 ,"San Mateo County, CA",58.0,765055,767906,768901,768681,766573,101133,107075,115908,122930,135234
41,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,132.1 ,132.1 ,"San Mateo County, CA",58.0,765055,767906,768901,768681,766573,101133,107075,115908,122930,135234
253,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,92.0 ,92.0 ,"San Mateo County, CA",58.0,765055,767906,768901,768681,766573,101133,107075,115908,122930,135234
125,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,93.2 ,93.2 ,"San Mateo County, CA",58.0,765055,767906,768901,768681,766573,101133,107075,115908,122930,135234
203,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,123.1 ,123.1 ,"Imperial County, CA",48.5,178937,180179,181649,181523,181215,39925,43327,43413,46633,48102
152,falling,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,118.7 ,118.7 ,"Imperial County, CA",48.5,178937,180179,181649,181523,181215,39925,43327,43413,46633,48102
51,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.2 ,135.2 ,"Imperial County, CA",48.5,178937,180179,181649,181523,181215,39925,43327,43413,46633,48102
5,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,107.4 ,107.4 ,"Imperial County, CA",48.5,178937,180179,181649,181523,181215,39925,43327,43413,46633,48102
4,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,66.5 ,66.5 ,"Imperial County, CA",48.5,178937,180179,181649,181523,181215,39925,43327,43413,46633,48102
153,falling,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,113.9 ,113.9 ,"Imperial County, CA",48.5,178937,180179,181649,181523,181215,39925,43327,43413,46633,48102
452,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,117.0 ,117.0 ,"Marin County, CA",54.0,260916,260562,259749,259662,258826,99868,103488,112735,122933,112069
19,stable,California,All Cancer Sites,  White Hispanic,All Sexes,All Ages,78.6 ,78.6 ,"Marin County, CA",54.0,260916,260562,259749,259662,258826,99868,103488,112735,122933,112069
430,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,117.5 ,117.5 ,"Marin County, CA",54.0,260916,260562,259749,259662,258826,99868,103488,112735,122933,112069
10,falling,California,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,148.3 ,148.3 ,"Marin County, CA",54.0,260916,260562,259749,259662,258826,99868,103488,112735,122933,112069
22,falling,California,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,93.8 ,93.8 ,"Marin County, CA",54.0,260916,260562,259749,259662,258826,99868,103488,112735,122933,112069
19,stable,California,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,73.5 ,73.5 ,"Marin County, CA",54.0,260916,260562,259749,259662,258826,99868,103488,112735,122933,112069
6,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,93.1 ,93.1 ,"Sierra County, CA",59.0,2985,2951,3002,2997,3005,47535,48099,49495,52308,55862
6,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,91.8 ,91.8 ,"Sierra County, CA",59.0,2985,2951,3002,2997,3005,47535,48099,49495,52308,55862
12,falling,California,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,72.9 ,72.9 ,"Mono County, CA",67.0,14077,14273,14354,14403,14444,53992,56574,60318,66499,66226
11,falling,California,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,77.6 ,77.6 ,"Mono County, CA",67.0,14077,14273,14354,14403,14444,53992,56574,60318,66499,66226
6,stable,Colorado,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,213.7 ,213.7 ,"Cheyenne County, CO",61.0,1827,1850,1853,1859,1831,50620,50558,50571,54504,52337
6,stable,Colorado,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,226.6 ,226.6 ,"Cheyenne County, CO",61.0,1827,1850,1853,1859,1831,50620,50558,50571,54504,52337
