Average Annual Count,Recent Trend,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates,County_State
11,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,107.9 ,2.1 ,"Gunnison County, CO"
48,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,962.7 ,-3.8 ,"Gunnison County, CO"
32,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,202.1 ,0.0 ,"Gunnison County, CO"
26,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,314.2 ",-4.8 ,"Gunnison County, CO"
23,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,106.0 ,0.6 ,"Montrose County, CO"
212,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,123.5 ",-1.7 ,"Montrose County, CO"
95,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,215.4 ,0.3 ,"Montrose County, CO"
140,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,562.6 ",-2.5 ,"Montrose County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.8 ,2.8 ,"Park County, CO"
69,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,881.3 ,-3.2 ,"Park County, CO"
40,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,172.6 ,0.1 ,"Park County, CO"
40,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,328.1 ",-3.7 ,"Park County, CO"
7,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.2 ,2.9 ,"Archuleta County, CO"
55,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,813.8 ,-3.6 ,"Archuleta County, CO"
25,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,172.5 ,-0.3 ,"Archuleta County, CO"
36,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,178.3 ",-3.8 ,"Archuleta County, CO"
203,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.0 ,0.5 ,"Larimer County, CO"
1365,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,234.5 ",3.0 ,"Larimer County, CO"
678,rising,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,206.0 ,2.3 ,"Larimer County, CO"
891,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,857.0 ",0.7 ,"Larimer County, CO"
97,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,102.9 ,0.5 ,"Pueblo County, CO"
778,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,231.5 ",-1.0 ,"Pueblo County, CO"
371,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,219.5 ,0.3 ,"Pueblo County, CO"
504,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,753.2 ",-1.6 ,"Pueblo County, CO"
242,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,102.6 ,0.3 ,"Douglas County, CO"
1020,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,149.8 ",-1.6 ,"Douglas County, CO"
668,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,194.3 ,-0.8 ,"Douglas County, CO"
595,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,751.7 ",-1.1 ,"Douglas County, CO"
8,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,102.4 ,0.9 ,"Moffat County, CO"
50,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,120.6 ",-3.2 ,"Moffat County, CO"
29,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,205.6 ,-1.5 ,"Moffat County, CO"
29,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,604.5 ",-3.5 ,"Moffat County, CO"
426,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.8 ,-0.1 ,"El Paso County, CO"
2437,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,243.2 ",-4.0 ,"El Paso County, CO"
1395,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,211.1 ,-0.5 ,"El Paso County, CO"
1471,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,827.9 ",-4.6 ,"El Paso County, CO"
360,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.6 ,0.4 ,"Jefferson County, CO"
2471,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,209.5 ",-1.8 ,"Jefferson County, CO"
1286,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,202.6 ,-0.5 ,"Jefferson County, CO"
1548,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,814.0 ",-1.3 ,"Jefferson County, CO"
6,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.0 ,4.6 ,"Clear Creek County, CO"
45,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,023.6 ",-14.2 ,"Clear Creek County, CO"
26,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,202.7 ,-0.4 ,"Clear Creek County, CO"
25,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,398.8 ",-19.5 ,"Clear Creek County, CO"
81,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.2 ,-0.5 ,"Mesa County, CO"
745,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,278.4 ",0.7 ,"Mesa County, CO"
324,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,208.2 ,-0.7 ,"Mesa County, CO"
501,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,902.3 ",1.2 ,"Mesa County, CO"
478,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,97.0 ,-0.1 ,"Denver County, CO"
2215,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,227.3 ",-2.1 ,"Denver County, CO"
1312,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,205.4 ,-0.9 ,"Denver County, CO"
1382,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,810.2 ",-1.8 ,"Denver County, CO"
183,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,96.8 ,0.7 ,"Weld County, CO"
988,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,216.1 ",-0.5 ,"Weld County, CO"
558,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,195.6 ,-0.2 ,"Weld County, CO"
614,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,852.5 ",-0.4 ,"Weld County, CO"
408,rising,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,96.7 ,0.5 ,"Arapahoe County, CO"
2199,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,183.4 ",-2.2 ,"Arapahoe County, CO"
1258,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,195.3 ,0.4 ,"Arapahoe County, CO"
1352,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,783.4 ",-2.3 ,"Arapahoe County, CO"
7,rising,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,95.9 ,4.7 ,"Las Animas County, CO"
72,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,076.1 ",0.0 ,"Las Animas County, CO"
32,rising,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,207.1 ,2.4 ,"Las Animas County, CO"
46,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,459.6 ",-0.6 ,"Las Animas County, CO"
44,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,95.1 ,-0.4 ,"Broomfield County, CO"
225,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,132.1 ",-1.7 ,"Broomfield County, CO"
128,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,191.8 ,-0.1 ,"Broomfield County, CO"
142,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,690.3 ",-2.3 ,"Broomfield County, CO"
14,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,93.3 ,0.7 ,"Elbert County, CO"
104,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,095.2 ",-1.7 ,"Elbert County, CO"
58,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,178.5 ,-1.0 ,"Elbert County, CO"
59,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,684.7 ",-1.7 ,"Elbert County, CO"
13,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,92.7 ,0.5 ,"Logan County, CO"
86,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,055.5 ",-2.8 ,"Logan County, CO"
46,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,200.5 ,0.3 ,"Logan County, CO"
53,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,452.1 ",-5.7 ,"Logan County, CO"
15,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,92.6 ,1.7 ,"Morgan County, CO"
112,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,179.9 ",-1.1 ,"Morgan County, CO"
57,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,205.6 ,0.8 ,"Morgan County, CO"
70,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,679.3 ",-1.6 ,"Morgan County, CO"
185,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,91.9 ,0.2 ,"Boulder County, CO"
1136,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,153.9 ",1.1 ,"Boulder County, CO"
617,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,189.6 ,-1.0 ,"Boulder County, CO"
705,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,730.3 ",-1.4 ,"Boulder County, CO"
303,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,90.9 ,0.2 ,"Adams County, CO"
1478,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,228.3 ",-1.2 ,"Adams County, CO"
913,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,195.9 ,-0.6 ,"Adams County, CO"
870,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,843.8 ",-1.2 ,"Adams County, CO"
5,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,90.2 ,1.6 ,"Yuma County, CO"
44,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,148.7 ",-1.5 ,"Yuma County, CO"
21,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,204.5 ,-0.4 ,"Yuma County, CO"
28,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,604.5 ",-1.9 ,"Yuma County, CO"
15,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,89.9 ,1.0 ,"Routt County, CO"
83,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,998.6 ,-2.8 ,"Routt County, CO"
50,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,176.1 ,-1.1 ,"Routt County, CO"
47,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,470.9 ",-3.1 ,"Routt County, CO"
34,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,89.5 ,0.2 ,"Garfield County, CO"
218,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,267.3 ",-1.1 ,"Garfield County, CO"
120,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,192.8 ,-0.2 ,"Garfield County, CO"
132,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,944.0 ",-1.4 ,"Garfield County, CO"
25,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,89.2 ,-1.7 ,"Fremont County, CO"
258,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,243.1 ",-1.1 ,"Fremont County, CO"
110,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,205.8 ,-1.4 ,"Fremont County, CO"
174,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,802.1 ",-1.4 ,"Fremont County, CO"
35,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,87.8 ,0.4 ,"Eagle County, CO"
134,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,948.8 ,-2.3 ,"Eagle County, CO"
92,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,160.2 ,-1.1 ,"Eagle County, CO"
78,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,464.2 ",-2.2 ,"Eagle County, CO"
4,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,87.8 ,2.0 ,"Kit Carson County, CO"
31,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,060.7 ",-2.1 ,"Kit Carson County, CO"
13,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,170.1 ,-0.7 ,"Kit Carson County, CO"
22,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,636.2 ",-2.2 ,"Kit Carson County, CO"
8,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,87.3 ,1.0 ,"Grand County, CO"
52,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,931.1 ,-1.7 ,"Grand County, CO"
30,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,157.5 ,-1.4 ,"Grand County, CO"
30,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,437.2 ",-1.1 ,"Grand County, CO"
6,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,86.7 ,*,"Prowers County, CO"
56,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,250.2 ",-0.6 ,"Prowers County, CO"
26,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,207.5 ,-0.5 ,"Prowers County, CO"
35,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,785.8 ",-0.7 ,"Prowers County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,82.6 ,-2.0 ,"Pitkin County, CO"
74,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,017.5 ",-1.8 ,"Pitkin County, CO"
38,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,172.5 ,-1.5 ,"Pitkin County, CO"
46,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,496.1 ",-2.4 ,"Pitkin County, CO"
11,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,77.3 ,-0.2 ,"Montezuma County, CO"
104,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,910.6 ,-3.6 ,"Montezuma County, CO"
47,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,163.7 ,-2.0 ,"Montezuma County, CO"
68,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,293.6 ",-4.0 ,"Montezuma County, CO"
5,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,76.9 ,-1.9 ,"San Miguel County, CO"
23,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,017.5 ",-4.2 ,"San Miguel County, CO"
14,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,150.3 ,-1.2 ,"San Miguel County, CO"
13,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,617.5 ",-5.0 ,"San Miguel County, CO"
26,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,76.5 ,-1.3 ,"La Plata County, CO"
204,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,014.5 ",-2.0 ,"La Plata County, CO"
106,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,168.5 ,-3.4 ,"La Plata County, CO"
124,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,483.4 ",-2.4 ,"La Plata County, CO"
4,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,70.4 ,*,"Rio Grande County, CO"
47,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,000.6 ",-3.3 ,"Rio Grande County, CO"
19,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,155.5 ,-1.0 ,"Rio Grande County, CO"
32,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,508.2 ",-2.1 ,"Rio Grande County, CO"
3,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,69.7 ,-4.0 ,"Lake County, CO"
19,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,813.1 ,-1.8 ,"Lake County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,134.3 ,-1.2 ,"Lake County, CO"
11,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,241.3 ",-2.6 ,"Lake County, CO"
14,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,65.9 ,-3.2 ,"Summit County, CO"
67,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,716.8 ,-3.0 ,"Summit County, CO"
46,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,139.2 ,-2.5 ,"Summit County, CO"
34,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.6 ,-3.8 ,"Summit County, CO"
6,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,61.5 ,-2.1 ,"Otero County, CO"
85,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,111.5 ",-2.1 ,"Otero County, CO"
35,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,176.9 ,-1.0 ,"Otero County, CO"
56,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,553.3 ",-2.9 ,"Otero County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,384.8 ",-1.2 ,"Kiowa County, CO"
4,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,296.0 ,*,"Kiowa County, CO"
6,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,930.8 ",-3.1 ,"Kiowa County, CO"
9,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,334.7 ",1.0 ,"Cheyenne County, CO"
5,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.1 ,2.4 ,"Cheyenne County, CO"
6,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,898.0 ",1.0 ,"Cheyenne County, CO"
26,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,236.6 ",1.7 ,"Lincoln County, CO"
12,rising,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,211.3 ,3.0 ,"Lincoln County, CO"
16,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,720.2 ",0.8 ,"Lincoln County, CO"
25,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,171.7 ",-1.3 ,"Washington County, CO"
9,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,165.2 ,-1.7 ,"Washington County, CO"
17,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,780.7 ",-1.0 ,"Washington County, CO"
20,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,058.8 ",-1.2 ,"Baca County, CO"
8,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,216.2 ,1.8 ,"Baca County, CO"
15,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,631.0 ",-1.9 ,"Baca County, CO"
24,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,054.0 ",-2.8 ,"Rio Blanco County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,144.1 ,-1.3 ,"Rio Blanco County, CO"
16,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,749.6 ",-2.4 ,"Rio Blanco County, CO"
42,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,032.8 ",-3.0 ,"Huerfano County, CO"
17,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,183.8 ,1.1 ,"Huerfano County, CO"
27,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,338.5 ",-5.2 ,"Huerfano County, CO"
4,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,029.6 ",-1.0 ,"Mineral County, CO"
3,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,769.0 ",*,"Mineral County, CO"
31,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,028.3 ",-2.0 ,"Custer County, CO"
11,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,143.9 ,-3.4 ,"Custer County, CO"
21,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,484.5 ",-3.1 ,"Custer County, CO"
26,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,017.4 ",-1.9 ,"Ouray County, CO"
12,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,217.6 ,0.5 ,"Ouray County, CO"
17,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,450.1 ",-2.1 ,"Ouray County, CO"
22,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,012.2 ",-1.4 ,"Bent County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,154.4 ,-0.5 ,"Bent County, CO"
14,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,406.5 ",-2.1 ,"Bent County, CO"
4,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,989.5 ,-2.1 ,"Hinsdale County, CO"
12,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,980.4 ,-1.6 ,"Sedgwick County, CO"
10,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,784.7 ",0.3 ,"Sedgwick County, CO"
17,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,953.4 ,-3.2 ,"Crowley County, CO"
7,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,114.9 ,-3.8 ,"Crowley County, CO"
12,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,530.0 ",-2.5 ,"Crowley County, CO"
21,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,925.4 ,-5.4 ,"Gilpin County, CO"
10,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,107.3 ,-4.7 ,"Gilpin County, CO"
13,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,498.1 ",-5.5 ,"Gilpin County, CO"
6,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,918.3 ,-0.6 ,"Jackson County, CO"
3,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,241.9 ,*,"Jackson County, CO"
4,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,392.5 ",*,"Jackson County, CO"
28,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,895.3 ,-17.5 ,"Saguache County, CO"
14,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,178.9 ,1.8 ,"Saguache County, CO"
16,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,219.9 ",-4.2 ,"Saguache County, CO"
26,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,820.9 ,-1.4 ,"Conejos County, CO"
9,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,111.9 ,-3.2 ,"Conejos County, CO"
19,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,351.3 ",-0.4 ,"Conejos County, CO"
16,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,786.2 ,-3.6 ,"Costilla County, CO"
9,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,184.8 ,-0.2 ,"Costilla County, CO"
8,falling,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,783.3 ,-19.0 ,"Costilla County, CO"
6,stable,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,638.6 ,-3.2 ,"Dolores County, CO"
5,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,137.4 ",*,"Dolores County, CO"
134,rising,Connecticut,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.0 ,1.3 ,"Litchfield County, CT"
1137,falling,Connecticut,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,389.1 ",-1.1 ,"Litchfield County, CT"
534,stable,Connecticut,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,244.0 ,-0.2 ,"Litchfield County, CT"
737,falling,Connecticut,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,072.7 ",-1.5 ,"Litchfield County, CT"
672,stable,Connecticut,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.7 ,-0.4 ,"Fairfield County, CT"
