Average Annual Count,Recent Trend,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates,County_State
26,stable,Georgia,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,91.1 ,91.1 ,"Fulton County, GA"
4,stable,Georgia,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,120.5 ,120.5 ,"Calhoun County, GA"
4,stable,Georgia,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,122.9 ,122.9 ,"Calhoun County, GA"
6,falling,Georgia,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,152.4 ,152.4 ,"Calhoun County, GA"
47,falling,Georgia,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,118.4 ,118.4 ,"Oconee County, GA"
46,falling,Georgia,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,118.0 ,118.0 ,"Oconee County, GA"
4,falling,Georgia,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,99.9 ,99.9 ,"Echols County, GA"
4,falling,Georgia,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,106.6 ,106.6 ,"Echols County, GA"
4,*,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,273.3 ,273.3 ,"Camas County, ID"
4,*,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,284.5 ,284.5 ,"Camas County, ID"
40,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.1 ,201.1 ,"Shoshone County, ID"
40,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,205.3 ,205.3 ,"Shoshone County, ID"
47,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.0 ,186.0 ,"Elmore County, ID"
44,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,191.5 ,191.5 ,"Elmore County, ID"
29,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,185.0 ,185.0 ,"Clearwater County, ID"
29,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.2 ,187.2 ,"Clearwater County, ID"
25,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.0 ,184.0 ,"Benewah County, ID"
25,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.6 ,182.6 ,"Benewah County, ID"
121,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.8 ,172.8 ,"Bonner County, ID"
120,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.6 ,174.6 ,"Bonner County, ID"
100,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.7 ,172.7 ,"Nez Perce County, ID"
100,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.7 ,173.7 ,"Nez Perce County, ID"
3,*,Idaho,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,162.9 ,162.9 ,"Nez Perce County, ID"
13,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.1 ,170.1 ,"Custer County, ID"
13,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.8 ,171.8 ,"Custer County, ID"
343,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.7 ,169.7 ,"Kootenai County, ID"
5,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,152.5 ,152.5 ,"Kootenai County, ID"
338,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.3 ,170.3 ,"Kootenai County, ID"
5,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,142.2 ,142.2 ,"Kootenai County, ID"
7,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.9 ,168.9 ,"Butte County, ID"
7,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.3 ,173.3 ,"Butte County, ID"
42,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,163.2 ,163.2 ,"Gem County, ID"
41,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.5 ,166.5 ,"Gem County, ID"
48,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,163.0 ,163.0 ,"Payette County, ID"
47,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.4 ,170.4 ,"Payette County, ID"
8,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.2 ,159.2 ,"Lincoln County, ID"
8,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.7 ,177.7 ,"Lincoln County, ID"
152,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.6 ,158.6 ,"Twin Falls County, ID"
4,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,64.4 ,64.4 ,"Twin Falls County, ID"
147,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.3 ,163.3 ,"Twin Falls County, ID"
5,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,61.3 ,61.3 ,"Twin Falls County, ID"
25,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 ,"Lemhi County, ID"
24,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.7 ,155.7 ,"Lemhi County, ID"
330,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.9 ,155.9 ,"Canyon County, ID"
22,stable,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,105.3 ,105.3 ,"Canyon County, ID"
308,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.4 ,161.4 ,"Canyon County, ID"
22,stable,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,99.3 ,99.3 ,"Canyon County, ID"
22,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.7 ,153.7 ,"Owyhee County, ID"
20,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.2 ,166.2 ,"Owyhee County, ID"
26,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.5 ,153.5 ,"Washington County, ID"
25,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.4 ,158.4 ,"Washington County, ID"
69,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.2 ,153.2 ,"Bingham County, ID"
5,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,151.7 ,151.7 ,"Bingham County, ID"
64,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.3 ,153.3 ,"Bingham County, ID"
3,*,Idaho,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,122.0 ,122.0 ,"Bingham County, ID"
5,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,134.1 ,134.1 ,"Bingham County, ID"
26,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.9 ,151.9 ,"Boundary County, ID"
26,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.3 ,156.3 ,"Boundary County, ID"
36,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.5 ,151.5 ,"Minidoka County, ID"
4,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,101.5 ,101.5 ,"Minidoka County, ID"
33,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.5 ,163.5 ,"Minidoka County, ID"
4,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,96.2 ,96.2 ,"Minidoka County, ID"
29,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,149.9 ,149.9 ,"Gooding County, ID"
29,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.8 ,162.8 ,"Gooding County, ID"
127,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,149.2 ,149.2 ,"Bannock County, ID"
4,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,175.7 ,175.7 ,"Bannock County, ID"
123,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.1 ,149.1 ,"Bannock County, ID"
4,*,Idaho,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,199.0 ,199.0 ,"Bannock County, ID"
5,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,159.5 ,159.5 ,"Bannock County, ID"
675,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.5 ,144.5 ,"Ada County, ID"
14,stable,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,103.0 ,103.0 ,"Ada County, ID"
659,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.7 ,145.7 ,"Ada County, ID"
15,stable,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,101.2 ,101.2 ,"Ada County, ID"
23,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,143.5 ,143.5 ,"Fremont County, ID"
23,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.8 ,148.8 ,"Fremont County, ID"
11,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.6 ,142.6 ,"Adams County, ID"
11,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.7 ,140.7 ,"Adams County, ID"
157,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,140.3 ,140.3 ,"Bonneville County, ID"
5,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,97.4 ,97.4 ,"Bonneville County, ID"
152,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.6 ,141.6 ,"Bonneville County, ID"
5,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,94.5 ,94.5 ,"Bonneville County, ID"
34,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.5 ,139.5 ,"Jefferson County, ID"
33,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.3 ,140.3 ,"Jefferson County, ID"
35,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,139.3 ,139.3 ,"Cassia County, ID"
3,*,Idaho,All Cancer Sites,  White Hispanic,All Sexes,All Ages,135.1 ,135.1 ,"Cassia County, ID"
32,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.7 ,141.7 ,"Cassia County, ID"
3,*,Idaho,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,128.1 ,128.1 ,"Cassia County, ID"
43,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.9 ,138.9 ,"Idaho County, ID"
42,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,139.2 ,139.2 ,"Idaho County, ID"
12,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.4 ,138.4 ,"Bear Lake County, ID"
12,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.5 ,137.5 ,"Bear Lake County, ID"
9,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,136.7 ,136.7 ,"Lewis County, ID"
9,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,138.5 ,138.5 ,"Lewis County, ID"
52,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,135.8 ,135.8 ,"Latah County, ID"
52,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.4 ,137.4 ,"Latah County, ID"
30,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.0 ,134.0 ,"Jerome County, ID"
29,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.7 ,143.7 ,"Jerome County, ID"
12,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,132.8 ,132.8 ,"Caribou County, ID"
12,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,136.6 ,136.6 ,"Caribou County, ID"
22,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,128.8 ,128.8 ,"Valley County, ID"
22,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.6 ,130.6 ,"Valley County, ID"
11,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,122.7 ,122.7 ,"Power County, ID"
10,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,123.5 ,123.5 ,"Power County, ID"
11,*,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,119.5 ,119.5 ,"Teton County, ID"
11,*,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,120.7 ,120.7 ,"Teton County, ID"
17,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,116.5 ,116.5 ,"Franklin County, ID"
16,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,115.8 ,115.8 ,"Franklin County, ID"
14,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,109.5 ,109.5 ,"Boise County, ID"
14,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,111.5 ,111.5 ,"Boise County, ID"
28,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,105.1 ,105.1 ,"Blaine County, ID"
28,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,110.0 ,110.0 ,"Blaine County, ID"
20,falling,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,100.3 ,100.3 ,"Madison County, ID"
20,falling,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,100.3 ,100.3 ,"Madison County, ID"
6,stable,Idaho,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,85.3 ,85.3 ,"Oneida County, ID"
6,stable,Idaho,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,86.5 ,86.5 ,"Oneida County, ID"
17,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,290.2 ,290.2 ,"Pulaski County, IL"
16,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,290.5 ,290.5 ,"Pulaski County, IL"
6,falling,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,208.1 ,208.1 ,"Pulaski County, IL"
16,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,227.0 ,227.0 ,"Hardin County, IL"
16,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,229.2 ,229.2 ,"Hardin County, IL"
16,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,222.4 ,222.4 ,"Scott County, IL"
16,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,223.7 ,223.7 ,"Scott County, IL"
17,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,219.5 ,219.5 ,"Gallatin County, IL"
17,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,220.2 ,220.2 ,"Gallatin County, IL"
113,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,214.1 ,214.1 ,"Marion County, IL"
113,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,215.9 ,215.9 ,"Marion County, IL"
3,*,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,228.0 ,228.0 ,"Marion County, IL"
71,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,211.3 ,211.3 ,"Saline County, IL"
70,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,211.9 ,211.9 ,"Saline County, IL"
46,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,209.2 ,209.2 ,"Mason County, IL"
46,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,210.5 ,210.5 ,"Mason County, IL"
15,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,204.0 ,204.0 ,"Alexander County, IL"
15,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,205.9 ,205.9 ,"Alexander County, IL"
7,stable,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,260.0 ,260.0 ,"Alexander County, IL"
42,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,204.0 ,204.0 ,"Lawrence County, IL"
42,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,204.0 ,204.0 ,"Lawrence County, IL"
40,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,203.8 ,203.8 ,"Ford County, IL"
40,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,205.2 ,205.2 ,"Ford County, IL"
80,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,203.2 ,203.2 ,"Logan County, IL"
79,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.2 ,203.2 ,"Logan County, IL"
88,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,201.0 ,201.0 ,"Iroquois County, IL"
87,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.8 ,203.8 ,"Iroquois County, IL"
39,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.2 ,199.2 ,"Marshall County, IL"
39,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,201.2 ,201.2 ,"Marshall County, IL"
195,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,197.0 ,197.0 ,"Vermilion County, IL"
193,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,199.2 ,199.2 ,"Vermilion County, IL"
19,stable,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,251.2 ,251.2 ,"Vermilion County, IL"
96,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,193.8 ,193.8 ,"Christian County, IL"
96,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.1 ,194.1 ,"Christian County, IL"
111,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,193.7 ,193.7 ,"Franklin County, IL"
111,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,195.1 ,195.1 ,"Franklin County, IL"
47,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,193.6 ,193.6 ,"Pike County, IL"
47,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,195.1 ,195.1 ,"Pike County, IL"
38,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,191.0 ,191.0 ,"Clay County, IL"
38,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,191.5 ,191.5 ,"Clay County, IL"
47,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.8 ,189.8 ,"Mercer County, IL"
47,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,191.3 ,191.3 ,"Mercer County, IL"
56,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.0 ,187.0 ,"Fayette County, IL"
56,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.3 ,188.3 ,"Fayette County, IL"
48,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.9 ,186.9 ,"Union County, IL"
48,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.9 ,187.9 ,"Union County, IL"
42,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.6 ,186.6 ,"De Witt County, IL"
42,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.5 ,187.5 ,"De Witt County, IL"
24,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.5 ,186.5 ,"Hamilton County, IL"
24,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.6 ,186.6 ,"Hamilton County, IL"
30,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.1 ,186.1 ,"Cass County, IL"
29,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.6 ,190.6 ,"Cass County, IL"
41,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.8 ,184.8 ,"White County, IL"
41,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.6 ,185.6 ,"White County, IL"
125,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,183.5 ,183.5 ,"Macoupin County, IL"
125,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,184.2 ,184.2 ,"Macoupin County, IL"
96,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.6 ,182.6 ,"Fulton County, IL"
96,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.7 ,183.7 ,"Fulton County, IL"
98,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,182.2 ,"Grundy County, IL"
96,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,184.3 ,184.3 ,"Grundy County, IL"
223,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.7 ,181.7 ,"Kankakee County, IL"
5,*,Illinois,All Cancer Sites,  White Hispanic,All Sexes,All Ages,126.9 ,126.9 ,"Kankakee County, IL"
218,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,184.1 ,184.1 ,"Kankakee County, IL"
37,falling,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,246.4 ,246.4 ,"Kankakee County, IL"
5,*,Illinois,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,118.4 ,118.4 ,"Kankakee County, IL"
78,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.4 ,181.4 ,"Montgomery County, IL"
77,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.8 ,181.8 ,"Montgomery County, IL"
88,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.2 ,181.2 ,"Morgan County, IL"
88,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.3 ,182.3 ,"Morgan County, IL"
91,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,180.5 ,180.5 ,"Livingston County, IL"
89,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.8 ,180.8 ,"Livingston County, IL"
35,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.4 ,179.4 ,"Greene County, IL"
35,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.5 ,179.5 ,"Greene County, IL"
47,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.1 ,177.1 ,"Douglas County, IL"
46,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.0 ,180.0 ,"Douglas County, IL"
13,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.4 ,176.4 ,"Brown County, IL"
13,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.4 ,179.4 ,"Brown County, IL"
48,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.0 ,176.0 ,"Crawford County, IL"
48,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.6 ,176.6 ,"Crawford County, IL"
87,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,175.6 ,175.6 ,"Lee County, IL"
86,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.2 ,179.2 ,"Lee County, IL"
3,*,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,245.3 ,245.3 ,"Lee County, IL"
581,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,175.1 ,175.1 ,"Winnebago County, IL"
16,stable,Illinois,All Cancer Sites,  White Hispanic,All Sexes,All Ages,94.7 ,94.7 ,"Winnebago County, IL"
565,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.0 ,179.0 ,"Winnebago County, IL"
59,falling,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.6 ,201.6 ,"Winnebago County, IL"
7,*,Illinois,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,94.9 ,94.9 ,"Winnebago County, IL"
16,stable,Illinois,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,88.4 ,88.4 ,"Winnebago County, IL"
129,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,174.7 ,174.7 ,"Knox County, IL"
3,*,Illinois,All Cancer Sites,  White Hispanic,All Sexes,All Ages,198.1 ,198.1 ,"Knox County, IL"
126,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,174.5 ,"Knox County, IL"
5,falling,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.1 ,176.1 ,"Knox County, IL"
3,*,Illinois,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,182.0 ,182.0 ,"Knox County, IL"
30,stable,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,174.6 ,174.6 ,"Menard County, IL"
30,stable,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.8 ,175.8 ,"Menard County, IL"
158,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,174.4 ,174.4 ,"Williamson County, IL"
157,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.1 ,175.1 ,"Williamson County, IL"
3,*,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,173.3 ,173.3 ,"Williamson County, IL"
574,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,174.4 ,174.4 ,"Madison County, IL"
4,*,Illinois,All Cancer Sites,  White Hispanic,All Sexes,All Ages,77.4 ,77.4 ,"Madison County, IL"
571,falling,Illinois,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.9 ,175.9 ,"Madison County, IL"
38,stable,Illinois,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,213.8 ,213.8 ,"Madison County, IL"
4,*,Illinois,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,75.0 ,75.0 ,"Madison County, IL"
238,falling,Illinois,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,174.2 ,174.2 ,"Macon County, IL"
