,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
1049,17,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 ,"Lewis County, ID"
1050,11,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.0 ,"Lewis County, ID"
1051,20,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.0 ,"Bear Lake County, ID"
1052,12,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,327.2 ,"Bear Lake County, ID"
1053,41,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.2 ,"Clearwater County, ID"
1054,27,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,405.4 ,"Clearwater County, ID"
1055,21,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.1 ,"Caribou County, ID"
1056,15,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.8 ,"Caribou County, ID"
1057,507,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,499.6 ,"Canyon County, ID"
1058,494,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.7 ,"Canyon County, ID"
1059,1112,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,499.5 ,"Ada County, ID"
1060,1085,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.3 ,"Ada County, ID"
1061,46,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.0 ,"Gooding County, ID"
1062,38,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.4 ,"Gooding County, ID"
1063,40,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,488.8 ,"Lemhi County, ID"
1064,24,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,342.6 ,"Lemhi County, ID"
1065,259,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,486.0 ,"Bonneville County, ID"
1066,246,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.8 ,"Bonneville County, ID"
1067,19,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.2 ,"Custer County, ID"
1068,12,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,327.2 ,"Custer County, ID"
1069,167,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,472.9 ,"Bonner County, ID"
1070,139,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,420.4 ,"Bonner County, ID"
1071,10,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,465.3 ,"Butte County, ID"
1072,9,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.0 ,"Butte County, ID"
1073,206,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,464.9 ,"Twin Falls County, ID"
1074,192,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.6 ,"Twin Falls County, ID"
1075,124,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,463.8 ,"Nez Perce County, ID"
1076,123,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.9 ,"Nez Perce County, ID"
1077,57,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,461.3 ,"Jefferson County, ID"
1078,50,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.7 ,"Jefferson County, ID"
1079,32,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,449.3 ,"Owyhee County, ID"
1080,28,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,401.5 ,"Owyhee County, ID"
1081,52,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,448.6 ,"Minidoka County, ID"
1082,43,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,355.5 ,"Minidoka County, ID"
1083,41,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,448.0 ,"Valley County, ID"
1084,28,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,364.8 ,"Valley County, ID"
1085,66,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,443.6 ,"Idaho County, ID"
1086,51,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.9 ,"Idaho County, ID"
1087,39,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.9 ,"Boundary County, ID"
1088,38,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.7 ,"Boundary County, ID"
1089,63,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,434.5 ,"Blaine County, ID"
1090,54,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.6 ,"Blaine County, ID"
1091,31,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,429.6 ,"Benewah County, ID"
1092,26,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.8 ,"Benewah County, ID"
1093,12,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,426.0 ,"Lincoln County, ID"
1094,10,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.8 ,"Lincoln County, ID"
1095,100,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.0 ,"Bingham County, ID"
1096,97,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,404.9 ,"Bingham County, ID"
1097,30,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.9 ,"Boise County, ID"
1098,22,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.2 ,"Boise County, ID"
1099,79,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,420.6 ,"Latah County, ID"
1100,79,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.7 ,"Latah County, ID"
1101,44,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.0 ,"Madison County, ID"
1102,42,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,365.3 ,"Madison County, ID"
1103,23,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,416.9 ,"Teton County, ID"
1104,17,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,322.8 ,"Teton County, ID"
1105,28,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,405.7 ,"Franklin County, ID"
1106,25,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.3 ,"Franklin County, ID"
1107,47,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,405.1 ,"Jerome County, ID"
1108,45,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.8 ,"Jerome County, ID"
1109,33,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,398.1 ,"Fremont County, ID"
1110,33,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.7 ,"Fremont County, ID"
1111,168,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,396.4 ,"Bannock County, ID"
1112,167,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 ,"Bannock County, ID"
1113,46,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,384.0 ,"Cassia County, ID"
1114,49,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.4 ,"Cassia County, ID"
1115,3,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,380.7 ,"Camas County, ID"
1116,3,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,553.6 ,"Camas County, ID"
1117,10,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,357.1 ,"Oneida County, ID"
1118,9,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,334.5 ,"Oneida County, ID"
1119,16,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,352.6 ,"Power County, ID"
1120,15,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,344.1 ,"Power County, ID"
1121,15,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,341.3 ,"Adams County, ID"
1122,11,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,361.4 ,"Adams County, ID"
1123,59,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,663.3 ,"Clay County, IL"
1124,47,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,478.3 ,"Clay County, IL"
1125,144,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,657.1 ,"Christian County, IL"
1126,119,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.1 ,"Christian County, IL"
1127,24,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,642.6 ,"Brown County, IL"
1128,14,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,395.6 ,"Brown County, IL"
1129,156,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,638.7 ,"Marion County, IL"
1130,131,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,496.5 ,"Marion County, IL"
1131,50,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,636.2 ,"Menard County, IL"
1132,42,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,473.7 ,"Menard County, IL"
1133,48,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,631.5 ,"Cass County, IL"
1134,41,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,492.6 ,"Cass County, IL"
1135,138,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,626.0 ,"Morgan County, IL"
1136,123,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,517.2 ,"Morgan County, IL"
1137,159,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,621.1 ,"Grundy County, IL"
1138,141,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.1 ,"Grundy County, IL"
1139,106,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,604.6 ,"Logan County, IL"
1140,108,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,545.2 ,"Logan County, IL"
1141,680,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,602.9 ,"Sangamon County, IL"
1142,693,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,514.0 ,"Sangamon County, IL"
1143,406,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,602.4 ,"Macon County, IL"
1144,387,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,507.1 ,"Macon County, IL"
1145,184,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,601.9 ,"Macoupin County, IL"
1146,158,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,468.4 ,"Macoupin County, IL"
1147,64,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,599.3 ,"Pike County, IL"
1148,54,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.5 ,"Pike County, IL"
1149,156,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,597.1 ,"Franklin County, IL"
1150,138,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,481.0 ,"Franklin County, IL"
1151,135,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,592.5 ,"Livingston County, IL"
1152,122,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,486.8 ,"Livingston County, IL"
1153,33,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,589.0 ,"Hamilton County, IL"
1154,24,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,378.5 ,"Hamilton County, IL"
1155,20,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,585.9 ,"Pope County, IL"
1156,14,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.4 ,"Pope County, IL"
1157,143,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,584.7 ,"Jefferson County, IL"
1158,122,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,476.2 ,"Jefferson County, IL"
1159,66,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,583.3 ,"Mercer County, IL"
1160,54,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,485.2 ,"Mercer County, IL"
1161,27,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,582.1 ,"Alexander County, IL"
1162,22,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,450.6 ,"Alexander County, IL"
1163,32,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,580.3 ,"Schuyler County, IL"
1164,23,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.5 ,"Schuyler County, IL"
1165,242,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,580.0 ,"Williamson County, IL"
1166,216,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.0 ,"Williamson County, IL"
1167,91,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.2 ,"Shelby County, IL"
1168,75,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,449.5 ,"Shelby County, IL"
1169,89,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,574.3 ,"Saline County, IL"
1170,82,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,456.0 ,"Saline County, IL"
1171,49,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,572.6 ,"Marshall County, IL"
1172,44,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.6 ,"Marshall County, IL"
1173,132,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,568.8 ,"Bureau County, IL"
1174,115,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,462.5 ,"Bureau County, IL"
1175,48,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.4 ,"Ford County, IL"
1176,47,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.4 ,"Ford County, IL"
1177,56,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.3 ,"Mason County, IL"
1178,51,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,481.7 ,"Mason County, IL"
1179,22,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,561.8 ,"Calhoun County, IL"
1180,14,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,349.5 ,"Calhoun County, IL"
1181,276,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,560.1 ,"Vermilion County, IL"
1182,261,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,483.9 ,"Vermilion County, IL"
1183,69,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,560.1 ,"Union County, IL"
1184,56,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.2 ,"Union County, IL"
1185,54,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,556.6 ,"Washington County, IL"
1186,43,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,428.7 ,"Washington County, IL"
1187,19,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,556.2 ,"Scott County, IL"
1188,21,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,543.7 ,"Scott County, IL"
1189,258,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,555.3 ,"DeKalb County, IL"
1190,251,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,472.0 ,"DeKalb County, IL"
1191,60,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,553.0 ,"Bond County, IL"
1192,52,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,468.1 ,"Bond County, IL"
1193,569,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,552.5 ,"Peoria County, IL"
1194,547,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.2 ,"Peoria County, IL"
1195,59,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.3 ,"Richland County, IL"
1196,50,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,462.5 ,"Richland County, IL"
1197,107,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,549.9 ,"Montgomery County, IL"
1198,92,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,453.2 ,"Montgomery County, IL"
1199,54,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,549.0 ,"White County, IL"
1200,52,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,481.2 ,"White County, IL"
1201,19,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,549.0 ,"Hardin County, IL"
1202,12,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.5 ,"Hardin County, IL"
1203,111,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,548.3 ,"Effingham County, IL"
1204,105,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,466.0 ,"Effingham County, IL"
1205,53,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.8 ,"Massac County, IL"
1206,45,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 ,"Massac County, IL"
1207,53,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.6 ,"Lawrence County, IL"
1208,46,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,442.2 ,"Lawrence County, IL"
1209,444,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.2 ,"Tazewell County, IL"
1210,443,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,489.2 ,"Tazewell County, IL"
1211,48,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.1 ,"Moultrie County, IL"
1212,41,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,413.1 ,"Moultrie County, IL"
1213,19,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,540.4 ,"Gallatin County, IL"
1214,15,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.0 ,"Gallatin County, IL"
1215,128,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.9 ,"Fulton County, IL"
1216,122,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,492.8 ,"Fulton County, IL"
1217,22,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.9 ,"Stark County, IL"
1218,18,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.6 ,"Stark County, IL"
1219,264,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.8 ,"Kendall County, IL"
1220,276,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,471.8 ,"Kendall County, IL"
1221,1766,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,538.6 ,"Will County, IL"
1222,1741,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,459.9 ,"Will County, IL"
1223,343,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,536.8 ,"Kankakee County, IL"
1224,339,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,489.1 ,"Kankakee County, IL"
1225,47,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,536.3 ,"Greene County, IL"
1226,53,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,547.2 ,"Greene County, IL"
1227,106,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,533.1 ,"Iroquois County, IL"
1228,100,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,468.1 ,"Iroquois County, IL"
1229,75,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,531.3 ,"Jersey County, IL"
1230,73,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,467.6 ,"Jersey County, IL"
1231,66,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,531.1 ,"Crawford County, IL"
1232,62,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,441.8 ,"Crawford County, IL"
1233,54,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.5 ,"De Witt County, IL"
1234,61,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,537.0 ,"De Witt County, IL"
1235,128,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.2 ,"Woodford County, IL"
1236,113,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,450.4 ,"Woodford County, IL"
1237,48,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.2 ,"Johnson County, IL"
1238,31,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,353.9 ,"Johnson County, IL"
1239,53,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,529.5 ,"Clark County, IL"
1240,52,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,464.2 ,"Clark County, IL"
1241,121,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,529.4 ,"Clinton County, IL"
1242,112,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 ,"Clinton County, IL"
1243,22,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,529.1 ,"Pulaski County, IL"
1244,21,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,512.7 ,"Pulaski County, IL"
1245,35,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,521.2 ,"Jasper County, IL"
1246,29,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,434.6 ,"Jasper County, IL"
1247,94,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,519.4 ,"Jo Daviess County, IL"
1248,77,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.7 ,"Jo Daviess County, IL"
1249,174,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,518.5 ,"Henry County, IL"
1250,157,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,447.8 ,"Henry County, IL"
1251,110,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,517.8 ,"Randolph County, IL"
1252,100,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,474.0 ,"Randolph County, IL"
1253,723,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,517.6 ,"St. Clair County, IL"
1254,746,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.0 ,"St. Clair County, IL"
1255,790,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.2 ,"Madison County, IL"
1256,857,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,478.8 ,"Madison County, IL"
1257,73,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,513.4 ,"Fayette County, IL"
1258,57,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,382.4 ,"Fayette County, IL"
1259,61,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,512.5 ,"Douglas County, IL"
1260,62,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,491.0 ,"Douglas County, IL"
1261,39,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,511.6 ,"Wabash County, IL"
1262,35,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.7 ,"Wabash County, IL"
1263,193,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.0 ,"Whiteside County, IL"
1264,179,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.8 ,"Whiteside County, IL"
1265,218,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.7 ,"Adams County, IL"
1266,218,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,470.3 ,"Adams County, IL"
1267,61,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,505.7 ,"Edgar County, IL"
1268,52,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,383.8 ,"Edgar County, IL"
1269,122,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.9 ,"Lee County, IL"
1270,110,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,474.4 ,"Lee County, IL"
1271,55,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.4 ,"Piatt County, IL"
1272,56,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.1 ,"Piatt County, IL"
1273,139,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,501.0 ,"Coles County, IL"
1274,134,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,414.1 ,"Coles County, IL"
1275,145,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.6 ,"Jackson County, IL"
1276,133,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,414.4 ,"Jackson County, IL"
1277,68,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,497.7 ,"Perry County, IL"
1278,67,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,510.9 ,"Perry County, IL"
1279,171,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,497.1 ,"Knox County, IL"
1280,171,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.2 ,"Knox County, IL"
1281,66,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,494.6 ,"Hancock County, IL"
1282,67,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,495.1 ,"Hancock County, IL"
1283,83,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,494.4 ,"McDonough County, IL"
1284,94,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,498.9 ,"McDonough County, IL"
1285,55,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.8 ,"Warren County, IL"
1286,54,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,495.3 ,"Warren County, IL"
1287,452,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,492.6 ,"Champaign County, IL"
1288,438,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,414.7 ,"Champaign County, IL"
1289,441,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,488.0 ,"Rock Island County, IL"
1290,426,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,432.0 ,"Rock Island County, IL"
1291,2417,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,486.8 ,"DuPage County, IL"
1292,2578,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,446.4 ,"DuPage County, IL"
1293,12514,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,484.2 ,"Cook County, IL"
1294,13558,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.1 ,"Cook County, IL"
1295,786,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,480.7 ,"McHenry County, IL"
1296,812,Illinois,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,448.6 ,"McHenry County, IL"
1297,57,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,478.0 ,"Wayne County, IL"
