,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates,County_State
2229,13,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,142.3 ,1.9 ,"Hancock County, IL"
2230,119,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,408.8 ",-0.9 ,"Hancock County, IL"
2231,59,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,297.6 ,1.7 ,"Hancock County, IL"
2232,73,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,822.9 ",-2.2 ,"Hancock County, IL"
2233,13,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,140.6 ,0.5 ,"De Witt County, IL"
2234,102,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,554.4 ",0.0 ,"De Witt County, IL"
2235,50,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,283.5 ,0.2 ,"De Witt County, IL"
2236,65,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,229.0 ",-0.1 ,"De Witt County, IL"
2237,29,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,140.4 ,2.1 ,"Marion County, IL"
2238,258,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,654.0 ",-0.4 ,"Marion County, IL"
2239,119,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,295.0 ,0.7 ,"Marion County, IL"
2240,168,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,370.3 ",-0.6 ,"Marion County, IL"
2241,10,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,139.0 ,3.1 ,"Carroll County, IL"
2242,92,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,300.5 ",-1.5 ,"Carroll County, IL"
2243,39,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.5 ,1.2 ,"Carroll County, IL"
2244,64,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,817.2 ",-2.2 ,"Carroll County, IL"
2245,9,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,137.6 ,40.2 ,"Marshall County, IL"
2246,85,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,542.5 ",-0.2 ,"Marshall County, IL"
2247,35,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,273.2 ,1.2 ,"Marshall County, IL"
2248,58,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,257.3 ",-0.2 ,"Marshall County, IL"
2249,10,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,136.9 ,0.7 ,"Ford County, IL"
2250,85,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,548.9 ",-0.1 ,"Ford County, IL"
2251,41,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,277.7 ,0.6 ,"Ford County, IL"
2252,55,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,236.2 ",-0.5 ,"Ford County, IL"
2253,26,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,134.2 ,1.4 ,"Christian County, IL"
2254,237,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,710.4 ",-0.5 ,"Christian County, IL"
2255,103,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,282.7 ,0.5 ,"Christian County, IL"
2256,159,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,539.3 ",-0.7 ,"Christian County, IL"
2257,11,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,134.0 ,1.7 ,"Massac County, IL"
2258,86,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,386.4 ",-0.3 ,"Massac County, IL"
2259,44,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,283.7 ,1.5 ,"Massac County, IL"
2260,54,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,837.1 ",-1.2 ,"Massac County, IL"
2261,15,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,132.0 ,2.0 ,"Douglas County, IL"
2262,109,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,448.6 ",-0.9 ,"Douglas County, IL"
2263,52,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,262.4 ,0.9 ,"Douglas County, IL"
2264,71,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,095.0 ",-1.4 ,"Douglas County, IL"
2265,26,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.2 ,2.5 ,"Morgan County, IL"
2266,236,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,676.4 ",0.7 ,"Morgan County, IL"
2267,98,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,268.5 ,1.1 ,"Morgan County, IL"
2268,163,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,541.0 ",1.0 ,"Morgan County, IL"
2269,11,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.1 ,3.0 ,"Pike County, IL"
2270,107,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,582.3 ",1.3 ,"Pike County, IL"
2271,45,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,275.7 ,2.4 ,"Pike County, IL"
2272,73,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,284.9 ",0.9 ,"Pike County, IL"
2273,104,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.1 ,1.0 ,"Tazewell County, IL"
2274,784,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,504.7 ",-0.9 ,"Tazewell County, IL"
2275,377,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,267.8 ,0.2 ,"Tazewell County, IL"
2276,511,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,171.5 ",-1.1 ,"Tazewell County, IL"
2277,151,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,129.8 ,0.6 ,"Sangamon County, IL"
2278,1221,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,651.5 ",0.0 ,"Sangamon County, IL"
2279,602,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,282.1 ,0.4 ,"Sangamon County, IL"
2280,771,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,391.1 ",-0.2 ,"Sangamon County, IL"
2281,75,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,129.4 ,-1.3 ,"Macon County, IL"
2282,717,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,644.2 ",-0.4 ,"Macon County, IL"
2283,315,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,278.1 ,0.1 ,"Macon County, IL"
2284,478,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,402.4 ",-0.7 ,"Macon County, IL"
2285,11,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,128.9 ,1.0 ,"Richland County, IL"
2286,98,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,467.3 ",0.2 ,"Richland County, IL"
2287,45,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,264.7 ,1.1 ,"Richland County, IL"
2288,65,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,102.1 ",-0.2 ,"Richland County, IL"
2289,15,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,128.9 ,2.9 ,"Shelby County, IL"
2290,151,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,506.9 ",0.2 ,"Shelby County, IL"
2291,60,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,253.3 ,2.3 ,"Shelby County, IL"
2292,106,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,268.2 ",-0.4 ,"Shelby County, IL"
2293,9,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,128.5 ,2.0 ,"Clay County, IL"
2294,97,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,701.6 ",0.3 ,"Clay County, IL"
2295,44,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,295.1 ,0.5 ,"Clay County, IL"
2296,63,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,402.4 ",0.1 ,"Clay County, IL"
2297,27,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,128.4 ,0.9 ,"Fulton County, IL"
2298,223,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,497.2 ",-0.9 ,"Fulton County, IL"
2299,97,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.9 ,-0.1 ,"Fulton County, IL"
2300,153,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,225.9 ",-0.9 ,"Fulton County, IL"
2301,8,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,128.0 ,1.4 ,"Cumberland County, IL"
2302,59,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,311.8 ",-1.6 ,"Cumberland County, IL"
2303,29,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,242.5 ,-0.7 ,"Cumberland County, IL"
2304,38,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,911.1 ",-1.1 ,"Cumberland County, IL"
2305,4,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,127.6 ,0.2 ,"Scott County, IL"
2306,36,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,658.6 ",1.8 ,"Scott County, IL"
2307,14,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.6 ,-0.4 ,"Scott County, IL"
2308,25,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,604.4 ",2.9 ,"Scott County, IL"
2309,11,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,127.1 ,0.5 ,"Clark County, IL"
2310,93,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,414.9 ",-0.8 ,"Clark County, IL"
2311,47,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,274.3 ,0.3 ,"Clark County, IL"
2312,58,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,923.6 ",-1.4 ,"Clark County, IL"
2313,26,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,127.1 ,2.4 ,"Livingston County, IL"
2314,231,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,597.1 ",0.0 ,"Livingston County, IL"
2315,113,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,283.7 ,1.6 ,"Livingston County, IL"
2316,145,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,244.6 ",-0.5 ,"Livingston County, IL"
2317,14,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.8 ,2.3 ,"Jo Daviess County, IL"
2318,157,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,365.7 ",-0.5 ,"Jo Daviess County, IL"
2319,53,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,228.5 ,0.1 ,"Jo Daviess County, IL"
2320,118,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,118.6 ",-0.1 ,"Jo Daviess County, IL"
2321,46,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.1 ,1.7 ,"Adams County, IL"
2322,390,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,423.1 ",-0.5 ,"Adams County, IL"
2323,179,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,262.8 ,0.9 ,"Adams County, IL"
2324,258,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,011.3 ",-1.0 ,"Adams County, IL"
2325,40,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.2 ,0.8 ,"Grundy County, IL"
2326,260,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,655.6 ",-0.3 ,"Grundy County, IL"
2327,139,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,269.4 ,0.5 ,"Grundy County, IL"
2328,161,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,464.8 ",-0.6 ,"Grundy County, IL"
2329,11,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.0 ,1.5 ,"Mercer County, IL"
2330,110,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,596.4 ",0.7 ,"Mercer County, IL"
2331,51,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,291.7 ,2.1 ,"Mercer County, IL"
2332,70,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,176.9 ",-0.1 ,"Mercer County, IL"
2333,11,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,124.9 ,1.2 ,"Piatt County, IL"
2334,100,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,475.0 ",-0.2 ,"Piatt County, IL"
2335,46,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.3 ,0.4 ,"Piatt County, IL"
2336,65,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,161.8 ",-0.4 ,"Piatt County, IL"
2337,28,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,124.6 ,2.7 ,"Clinton County, IL"
2338,205,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,459.0 ",0.0 ,"Clinton County, IL"
2339,108,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,263.8 ,1.5 ,"Clinton County, IL"
2340,125,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,066.6 ",-0.4 ,"Clinton County, IL"
2341,28,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,124.5 ,1.2 ,"Franklin County, IL"
2342,266,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,602.7 ",-0.8 ,"Franklin County, IL"
2343,116,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,275.5 ,-0.2 ,"Franklin County, IL"
2344,178,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,299.5 ",-0.6 ,"Franklin County, IL"
2345,41,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,122.7 ,-5.7 ,"Boone County, IL"
2346,241,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,336.8 ",-1.1 ,"Boone County, IL"
2347,127,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,236.1 ,0.3 ,"Boone County, IL"
2348,156,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,984.0 ",-1.4 ,"Boone County, IL"
2349,4,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,122.2 ,-0.7 ,"Stark County, IL"
2350,36,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,438.8 ",0.1 ,"Stark County, IL"
2351,15,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,249.0 ,0.0 ,"Stark County, IL"
2352,25,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,111.8 ",-0.1 ,"Stark County, IL"
2353,9,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.5 ,0.8 ,"Cass County, IL"
2354,80,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,691.0 ",0.8 ,"Cass County, IL"
2355,39,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,290.5 ,1.2 ,"Cass County, IL"
2356,50,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,372.2 ",0.3 ,"Cass County, IL"
2357,10,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.3 ,-0.8 ,"Mason County, IL"
2358,97,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,547.2 ",-0.8 ,"Mason County, IL"
2359,41,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,265.3 ,-0.8 ,"Mason County, IL"
2360,66,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,230.9 ",-0.7 ,"Mason County, IL"
2361,19,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.2 ,0.0 ,"McDonough County, IL"
2362,158,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,467.4 ",-0.1 ,"McDonough County, IL"
2363,68,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,244.4 ,0.8 ,"McDonough County, IL"
2364,109,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,199.6 ",-0.8 ,"McDonough County, IL"
2365,49,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,1.2 ,"Williamson County, IL"
2366,409,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,552.0 ",-0.3 ,"Williamson County, IL"
2367,189,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,266.8 ,0.4 ,"Williamson County, IL"
2368,268,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,229.1 ",-0.5 ,"Williamson County, IL"
2369,79,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.9 ,0.0 ,"Kankakee County, IL"
2370,603,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,531.5 ",-0.7 ,"Kankakee County, IL"
2371,303,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,265.5 ,0.0 ,"Kankakee County, IL"
2372,379,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,193.8 ",-1.0 ,"Kankakee County, IL"
2373,5,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.3 ,2.8 ,"Schuyler County, IL"
2374,50,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,532.7 ",1.5 ,"Schuyler County, IL"
2375,21,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,256.5 ,3.0 ,"Schuyler County, IL"
2376,34,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,254.1 ",0.8 ,"Schuyler County, IL"
2377,9,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.0 ,1.7 ,"Washington County, IL"
2378,88,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,469.0 ",-0.3 ,"Washington County, IL"
2379,41,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,258.6 ,1.5 ,"Washington County, IL"
2380,56,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,106.8 ",-1.1 ,"Washington County, IL"
2381,22,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.8 ,0.4 ,"Bureau County, IL"
2382,225,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,527.4 ",-0.4 ,"Bureau County, IL"
2383,100,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,268.5 ,0.7 ,"Bureau County, IL"
2384,148,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,151.6 ",-1.1 ,"Bureau County, IL"
2385,106,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.3 ,0.4 ,"Kendall County, IL"
2386,432,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,496.5 ",-0.3 ,"Kendall County, IL"
2387,275,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,239.4 ,-0.1 ,"Kendall County, IL"
2388,265,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,285.8 ",-0.2 ,"Kendall County, IL"
2389,98,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.2 ,0.9 ,"Rock Island County, IL"
2390,768,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,335.3 ",-1.2 ,"Rock Island County, IL"
2391,376,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,248.3 ,0.1 ,"Rock Island County, IL"
2392,490,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,871.2 ",-1.6 ,"Rock Island County, IL"
2393,127,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.0 ,0.0 ,"Peoria County, IL"
2394,989,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,506.2 ",-0.8 ,"Peoria County, IL"
2395,486,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.7 ,0.1 ,"Peoria County, IL"
2396,630,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,154.2 ",-1.2 ,"Peoria County, IL"
2397,197,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.4 ,1.2 ,"Winnebago County, IL"
2398,1440,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,360.2 ",-4.6 ,"Winnebago County, IL"
2399,716,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,240.8 ,-3.5 ,"Winnebago County, IL"
2400,922,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,970.3 ",-1.0 ,"Winnebago County, IL"
2401,9,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.1 ,0.0 ,"White County, IL"
2402,97,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,534.1 ",0.3 ,"White County, IL"
2403,39,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.6 ,0.2 ,"White County, IL"
2404,67,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,266.4 ",0.3 ,"White County, IL"
2405,35,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,116.2 ,1.6 ,"Ogle County, IL"
2406,287,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,417.5 ",-0.3 ,"Ogle County, IL"
2407,138,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,248.2 ,0.8 ,"Ogle County, IL"
2408,183,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,040.7 ",-0.7 ,"Ogle County, IL"
2409,32,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,116.1 ,0.6 ,"Henry County, IL"
2410,298,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,425.5 ",-0.6 ,"Henry County, IL"
2411,133,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,248.9 ,0.6 ,"Henry County, IL"
2412,197,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,052.6 ",-1.2 ,"Henry County, IL"
2413,14,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,116.0 ,-0.3 ,"Jersey County, IL"
2414,133,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,485.3 ",0.2 ,"Jersey County, IL"
2415,62,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.5 ,0.1 ,"Jersey County, IL"
2416,86,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,160.8 ",0.1 ,"Jersey County, IL"
2417,21,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,115.9 ,-0.4 ,"Logan County, IL"
2418,194,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,742.4 ",0.7 ,"Logan County, IL"
2419,87,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,280.6 ,0.1 ,"Logan County, IL"
2420,127,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,520.7 ",0.9 ,"Logan County, IL"
2421,30,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,115.7 ,1.3 ,"Macoupin County, IL"
2422,312,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,607.0 ",4.6 ,"Macoupin County, IL"
2423,130,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.2 ,0.0 ,"Macoupin County, IL"
2424,213,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,427.8 ",-0.2 ,"Macoupin County, IL"
2425,32,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,115.2 ,0.2 ,"Knox County, IL"
2426,310,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,425.9 ",-0.4 ,"Knox County, IL"
2427,132,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,244.8 ,0.3 ,"Knox County, IL"
2428,210,falling,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,072.7 ",-0.8 ,"Knox County, IL"
2429,22,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,115.2 ,1.4 ,"Effingham County, IL"
2430,195,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,503.3 ",-0.6 ,"Effingham County, IL"
2431,92,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.4 ,0.0 ,"Effingham County, IL"
2432,125,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,196.7 ",-0.5 ,"Effingham County, IL"
2433,532,rising,Illinois,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.8 ,1.3 ,"Will County, IL"
