,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
2489,68,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,688.1 ,"Clay County, IN"
2490,18,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Clay County, IN"
2491,53,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,196.9 ","Clay County, IN"
2492,35,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,674.8 ,"Pulaski County, IN"
2493,11,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.9 ,"Pulaski County, IN"
2494,26,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,100.6 ","Pulaski County, IN"
2495,60,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,667.9 ,"Starke County, IN"
2496,20,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.0 ,"Starke County, IN"
2497,41,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,039.5 ","Starke County, IN"
2498,19,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.6 ,"Union County, IN"
2499,5,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.6 ,"Union County, IN"
2500,14,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,084.3 ","Union County, IN"
2501,26,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,647.9 ,"Switzerland County, IN"
2502,8,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.6 ,"Switzerland County, IN"
2503,20,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,116.0 ","Switzerland County, IN"
2504,34,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,646.7 ,"Blackford County, IN"
2505,8,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.6 ,"Blackford County, IN"
2506,27,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,115.1 ","Blackford County, IN"
2507,27,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,644.6 ,"Martin County, IN"
2508,6,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,45.2 ,"Martin County, IN"
2509,21,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,115.2 ","Martin County, IN"
2510,33,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,625.8 ,"Pike County, IN"
2511,12,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.6 ,"Pike County, IN"
2512,22,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,938.3 ,"Pike County, IN"
2513,48,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,623.1 ,"Jay County, IN"
2514,10,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,47.2 ,"Jay County, IN"
2515,40,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,156.6 ","Jay County, IN"
2516,60,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,622.8 ,"Fayette County, IN"
2517,18,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.9 ,"Fayette County, IN"
2518,45,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,011.1 ","Fayette County, IN"
2519,52,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,615.7 ,"Owen County, IN"
2520,16,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,"Owen County, IN"
2521,39,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,068.9 ","Owen County, IN"
2522,49,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.8 ,"Fulton County, IN"
2523,15,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.0 ,"Fulton County, IN"
2524,36,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,984.4 ,"Fulton County, IN"
2525,46,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,610.6 ,"Perry County, IN"
2526,12,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,49.9 ,"Perry County, IN"
2527,35,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,040.3 ","Perry County, IN"
2528,66,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,598.8 ,"Wells County, IN"
2529,20,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.4 ,"Wells County, IN"
2530,48,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.6 ,"Wells County, IN"
2531,76,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,588.8 ,"Whitley County, IN"
2532,19,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,42.6 ,"Whitley County, IN"
2533,59,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,048.4 ","Whitley County, IN"
2534,77,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.8 ,"Miami County, IN"
2535,22,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.5 ,"Miami County, IN"
2536,58,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,979.9 ,"Miami County, IN"
2537,60,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,583.5 ,"White County, IN"
2538,16,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.5 ,"White County, IN"
2539,46,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,993.8 ,"White County, IN"
2540,25,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.6 ,"Crawford County, IN"
2541,9,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.3 ,"Crawford County, IN"
2542,18,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,922.8 ,"Crawford County, IN"
2543,16,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,575.5 ,"Ohio County, IN"
2544,4,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,42.8 ,"Ohio County, IN"
2545,12,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,962.5 ,"Ohio County, IN"
2546,50,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.2 ,"Franklin County, IN"
2547,16,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.7 ,"Franklin County, IN"
2548,37,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,941.7 ,"Franklin County, IN"
2549,61,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,559.9 ,"Randolph County, IN"
2550,14,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,46.4 ,"Randolph County, IN"
2551,48,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,974.1 ,"Randolph County, IN"
2552,53,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,553.3 ,"Decatur County, IN"
2553,18,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,"Decatur County, IN"
2554,38,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,897.4 ,"Decatur County, IN"
2555,37,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,552.5 ,"Rush County, IN"
2556,11,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.8 ,"Rush County, IN"
2557,28,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,943.9 ,"Rush County, IN"
2558,32,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.0 ,"Newton County, IN"
2559,10,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.3 ,"Newton County, IN"
2560,23,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,895.9 ,"Newton County, IN"
2561,18,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,544.1 ,"Benton County, IN"
2562,6,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.9 ,"Benton County, IN"
2563,12,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,824.5 ,"Benton County, IN"
2564,80,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,538.6 ,"Montgomery County, IN"
2565,26,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.5 ,"Montgomery County, IN"
2566,57,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,853.4 ,"Montgomery County, IN"
2567,57,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.6 ,"Ripley County, IN"
2568,19,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 ,"Ripley County, IN"
2569,41,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,856.4 ,"Ripley County, IN"
2570,35,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,530.2 ,"Tipton County, IN"
2571,10,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 ,"Tipton County, IN"
2572,27,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,907.6 ,"Tipton County, IN"
2573,38,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,525.9 ,"Brown County, IN"
2574,11,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 ,"Brown County, IN"
2575,28,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,868.5 ,"Brown County, IN"
2576,43,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,523.5 ,"Spencer County, IN"
2577,12,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,49.3 ,"Spencer County, IN"
2578,34,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,916.0 ,"Spencer County, IN"
2579,35,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,506.3 ,"Parke County, IN"
2580,10,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,51.8 ,"Parke County, IN"
2581,26,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,835.0 ,"Parke County, IN"
2582,17,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,491.2 ,"Warren County, IN"
2583,3,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,29.0 ,"Warren County, IN"
2584,14,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,893.8 ,"Warren County, IN"
2585,40,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,489.3 ,"Carroll County, IN"
2586,11,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,46.4 ,"Carroll County, IN"
2587,32,Indiana,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,857.9 ,"Carroll County, IN"
2588,7,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,41.5 ,"Perry County, KY"
2589,86,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,880.3 ,"Perry County, KY"
2590,36,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,114.3 ,"Perry County, KY"
2591,57,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,372.1 ","Perry County, KY"
2592,6,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,36.8 ,"Harlan County, KY"
2593,81,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,783.3 ,"Harlan County, KY"
2594,31,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,98.8 ,"Harlan County, KY"
2595,56,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,240.5 ","Harlan County, KY"
2596,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,36.6 ,"Russell County, KY"
2597,52,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,698.0 ,"Russell County, KY"
2598,17,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,85.9 ,"Russell County, KY"
2599,39,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,141.8 ","Russell County, KY"
2600,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,33.4 ,"Rockcastle County, KY"
2601,37,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,587.9 ,"Rockcastle County, KY"
2602,14,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.1 ,"Rockcastle County, KY"
2603,27,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,950.4 ,"Rockcastle County, KY"
2604,6,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,32.0 ,"Knox County, KY"
2605,89,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,764.2 ,"Knox County, KY"
2606,37,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,106.3 ,"Knox County, KY"
2607,59,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.4 ","Knox County, KY"
2608,5,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,31.5 ,"Anderson County, KY"
2609,50,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,656.3 ,"Anderson County, KY"
2610,19,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.3 ,"Anderson County, KY"
2611,35,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,087.9 ","Anderson County, KY"
2612,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,31.3 ,"Hart County, KY"
2613,54,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,791.3 ,"Hart County, KY"
2614,17,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.1 ,"Hart County, KY"
2615,40,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,376.6 ","Hart County, KY"
2616,5,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,30.7 ,"Logan County, KY"
2617,72,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.4 ,"Logan County, KY"
2618,23,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.0 ,"Logan County, KY"
2619,54,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,142.2 ","Logan County, KY"
2620,6,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,29.5 ,"Whitley County, KY"
2621,106,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,867.3 ,"Whitley County, KY"
2622,39,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,104.7 ,"Whitley County, KY"
2623,74,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,342.0 ","Whitley County, KY"
2624,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,29.5 ,"Johnson County, KY"
2625,68,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,791.5 ,"Johnson County, KY"
2626,23,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,86.9 ,"Johnson County, KY"
2627,49,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,298.6 ","Johnson County, KY"
2628,11,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,29.3 ,"Pike County, KY"
2629,166,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,707.2 ,"Pike County, KY"
2630,65,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,91.2 ,"Pike County, KY"
2631,112,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,083.8 ","Pike County, KY"
2632,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,27.7 ,"Marion County, KY"
2633,41,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.1 ,"Marion County, KY"
2634,14,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.7 ,"Marion County, KY"
2635,30,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.9 ,"Marion County, KY"
2636,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.9 ,"Bourbon County, KY"
2637,52,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,647.3 ,"Bourbon County, KY"
2638,17,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.6 ,"Bourbon County, KY"
2639,38,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,046.9 ","Bourbon County, KY"
2640,10,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,26.2 ,"Pulaski County, KY"
2641,167,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,669.2 ,"Pulaski County, KY"
2642,59,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.2 ,"Pulaski County, KY"
2643,118,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,051.6 ","Pulaski County, KY"
2644,6,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.5 ,"Floyd County, KY"
2645,108,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,783.4 ,"Floyd County, KY"
2646,40,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,92.7 ,"Floyd County, KY"
2647,73,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,218.4 ","Floyd County, KY"
2648,7,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.4 ,"Hopkins County, KY"
2649,118,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,666.5 ,"Hopkins County, KY"
2650,39,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.6 ,"Hopkins County, KY"
2651,86,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,094.2 ","Hopkins County, KY"
2652,5,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.0 ,"Marshall County, KY"
2653,87,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,625.8 ,"Marshall County, KY"
2654,28,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,74.7 ,"Marshall County, KY"
2655,64,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,995.2 ,"Marshall County, KY"
2656,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.4 ,"Lincoln County, KY"
2657,66,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,697.4 ,"Lincoln County, KY"
2658,20,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.2 ,"Lincoln County, KY"
2659,49,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,158.8 ","Lincoln County, KY"
2660,12,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.2 ,"Madison County, KY"
2661,159,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,598.3 ,"Madison County, KY"
2662,57,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.3 ,"Madison County, KY"
2663,115,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,996.6 ,"Madison County, KY"
2664,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.6 ,"Ohio County, KY"
2665,64,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,715.2 ,"Ohio County, KY"
2666,21,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.5 ,"Ohio County, KY"
2667,46,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,137.0 ","Ohio County, KY"
2668,7,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 ,"Boyd County, KY"
2669,128,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,655.1 ,"Boyd County, KY"
2670,38,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.9 ,"Boyd County, KY"
2671,96,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,084.2 ","Boyd County, KY"
2672,5,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.2 ,"Graves County, KY"
2673,84,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.9 ,"Graves County, KY"
2674,26,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.1 ,"Graves County, KY"
2675,63,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,954.9 ,"Graves County, KY"
2676,6,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 ,"Henderson County, KY"
2677,108,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,627.7 ,"Henderson County, KY"
2678,37,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.8 ,"Henderson County, KY"
2679,76,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,013.4 ","Henderson County, KY"
2680,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.4 ,"Grant County, KY"
2681,50,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,687.3 ,"Grant County, KY"
2682,20,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.5 ,"Grant County, KY"
2683,34,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,117.0 ","Grant County, KY"
2684,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.3 ,"Montgomery County, KY"
2685,69,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,723.8 ,"Montgomery County, KY"
2686,23,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.8 ,"Montgomery County, KY"
2687,49,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,194.1 ","Montgomery County, KY"
2688,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.2 ,"Boyle County, KY"
2689,70,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,587.4 ,"Boyle County, KY"
2690,22,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.6 ,"Boyle County, KY"
2691,51,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,931.3 ,"Boyle County, KY"
2692,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.0 ,"Bell County, KY"
2693,83,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,778.1 ,"Bell County, KY"
2694,28,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,89.4 ,"Bell County, KY"
2695,58,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,204.1 ","Bell County, KY"
2696,3,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.9 ,"Woodford County, KY"
2697,53,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.4 ,"Woodford County, KY"
2698,17,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.1 ,"Woodford County, KY"
2699,39,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,914.8 ,"Woodford County, KY"
2700,6,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.5 ,"Franklin County, KY"
2701,112,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,601.3 ,"Franklin County, KY"
2702,34,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.4 ,"Franklin County, KY"
2703,84,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,028.5 ","Franklin County, KY"
2704,8,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.5 ,"McCracken County, KY"
2705,157,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,573.9 ,"McCracken County, KY"
2706,50,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.2 ,"McCracken County, KY"
2707,115,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,914.8 ,"McCracken County, KY"
2708,5,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.5 ,"Clark County, KY"
2709,88,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,650.3 ,"Clark County, KY"
2710,27,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.0 ,"Clark County, KY"
2711,65,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,075.8 ","Clark County, KY"
2712,12,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.4 ,"Daviess County, KY"
2713,208,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,570.5 ,"Daviess County, KY"
2714,62,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.5 ,"Daviess County, KY"
2715,158,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,968.1 ,"Daviess County, KY"
2716,5,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.3 ,"Nelson County, KY"
2717,94,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,616.8 ,"Nelson County, KY"
2718,36,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.5 ,"Nelson County, KY"
2719,63,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,985.8 ,"Nelson County, KY"
2720,4,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.2 ,"Calloway County, KY"
2721,76,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,547.5 ,"Calloway County, KY"
2722,21,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.3 ,"Calloway County, KY"
2723,59,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,931.7 ,"Calloway County, KY"
2724,19,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.2 ,"Kenton County, KY"
2725,308,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,599.7 ,"Kenton County, KY"
2726,107,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.4 ,"Kenton County, KY"
2727,220,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,017.7 ","Kenton County, KY"
2728,7,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.9 ,"Laurel County, KY"
2729,142,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,675.6 ,"Laurel County, KY"
2730,54,Kentucky,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 ,"Laurel County, KY"
