County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
Pike County,***,"191.1 (162.9, 223.3)","18 (1, 87)",35,stable,"-0.4 (-1.2, 0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Starke County,***,"190.4 (169.0, 214.1)","19 (2, 80)",60,falling,"-2.2 (-4.1, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Howard County,***,"189.4 (177.6, 201.9)","20 (5, 62)",202,falling,"-0.8 (-1.1, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Putnam County,***,"189.0 (171.4, 208.1)","21 (2, 76)",87,falling,"-0.6 (-1.0, -0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Owen County,***,"188.8 (166.2, 213.8)","22 (1, 81)",54,falling,"-1.9 (-3.6, -0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Jay County,***,"188.4 (165.5, 213.8)","23 (1, 85)",51,stable,"-0.2 (-1.0, 0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Knox County,***,"187.6 (170.3, 206.3)","24 (3, 74)",91,falling,"-0.8 (-1.3, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Jackson County,***,"186.0 (169.8, 203.3)","25 (4, 76)",100,stable,"-7.4 (-14.9, 0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Clinton County,***,"185.9 (167.3, 206.2)","26 (3, 78)",76,stable,"-0.3 (-0.8, 0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Fulton County,***,"185.2 (162.7, 210.3)","27 (2, 85)",51,falling,"-0.8 (-1.4, -0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Shelby County,***,"184.6 (168.9, 201.4)","28 (4, 78)",106,falling,"-0.6 (-1.2, -0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Wabash County,***,"184.1 (166.2, 203.5)","29 (3, 81)",86,falling,"-0.7 (-1.1, -0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Noble County,***,"183.4 (167.4, 200.7)","30 (5, 79)",102,stable,"-0.5 (-1.0, 0.0)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Fayette County,***,"182.6 (162.2, 205.2)","31 (3, 86)",61,falling,"-0.8 (-1.3, -0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Martin County,***,"181.7 (152.0, 216.3)","32 (1, 91)",27,stable,"-0.8 (-1.8, 0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Delaware County,***,"180.0 (169.8, 190.8)","33 (11, 70)",243,falling,"-1.5 (-2.5, -0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Madison County,***,"178.5 (169.1, 188.2)","34 (14, 70)",285,falling,"-0.8 (-1.1, -0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
DeKalb County,***,"178.1 (162.0, 195.5)","35 (7, 84)",93,stable,"-0.5 (-0.9, 0.0)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Morgan County,***,"178.0 (165.4, 191.4)","36 (10, 77)",156,falling,"-0.8 (-1.2, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Crawford County,***,"177.6 (147.7, 212.5)","37 (1, 92)",27,stable,"-0.5 (-1.4, 0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Perry County,***,"177.1 (154.6, 202.2)","38 (4, 90)",47,stable,"-0.5 (-1.2, 0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Wells County,***,"176.7 (157.9, 197.3)","39 (5, 87)",68,stable,"-0.4 (-1.1, 0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Miami County,***,"176.3 (159.0, 195.2)","40 (7, 87)",79,falling,"-1.3 (-1.8, -0.8)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Wayne County,***,"176.2 (163.8, 189.5)","41 (13, 79)",156,falling,"-0.7 (-1.1, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Vanderburgh County,***,"175.6 (167.6, 184.0)","42 (20, 71)",378,falling,"-1.1 (-1.3, -0.9)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Daviess County,***,"175.5 (156.9, 195.8)","43 (6, 88)",67,falling,"-0.7 (-1.2, -0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Huntington County,***,"175.4 (158.6, 193.6)","44 (8, 86)",83,falling,"-0.7 (-1.1, -0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Dearborn County,***,"175.0 (160.5, 190.6)","45 (10, 84)",113,falling,"-1.2 (-1.7, -0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
White County,***,"174.3 (154.8, 195.9)","46 (5, 90)",62,falling,"-0.7 (-1.3, -0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Clark County,***,"174.0 (163.8, 184.7)","47 (18, 78)",227,falling,"-1.4 (-1.7, -1.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Adams County,***,"173.9 (155.7, 193.8)","48 (7, 89)",70,stable,"-0.3 (-0.9, 0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Cass County,***,"173.8 (157.4, 191.5)","49 (9, 88)",86,falling,"-1.0 (-1.4, -0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lake County,***,"172.8 (167.4, 178.3)","50 (30, 70)",812,falling,"-1.5 (-1.9, -1.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Franklin County,***,"172.7 (152.0, 195.7)","51 (6, 90)",53,stable,"-0.4 (-1.1, 0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Harrison County,***,"172.5 (156.5, 189.9)","52 (10, 87)",90,falling,"-0.8 (-1.4, -0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lawrence County,***,"171.4 (157.3, 186.7)","53 (13, 86)",113,falling,"-0.8 (-1.1, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
LaPorte County,***,"171.2 (161.2, 181.7)","54 (22, 81)",231,falling,"-1.0 (-1.3, -0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Marion County,***,"170.8 (166.4, 175.2)","55 (36, 70)",1207,falling,"-2.6 (-3.7, -1.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Johnson County,***,"170.6 (161.7, 179.9)","56 (25, 79)",280,falling,"-0.9 (-1.2, -0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Whitley County,***,"170.2 (153.3, 188.6)","57 (10, 89)",77,falling,"-0.7 (-1.3, -0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
St. Joseph County,***,"169.5 (162.7, 176.6)","58 (31, 77)",491,falling,"-0.9 (-1.0, -0.8)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Decatur County,***,"168.3 (148.8, 189.8)","59 (9, 91)",56,falling,"-0.8 (-1.4, -0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Tipton County,***,"167.9 (143.8, 195.5)","60 (4, 91)",37,falling,"-0.8 (-1.6, -0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Rush County,***,"167.8 (144.4, 194.2)","61 (5, 91)",39,falling,"-0.9 (-1.5, -0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Boone County,***,"167.7 (153.8, 182.6)","62 (17, 89)",111,falling,"-1.0 (-1.3, -0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Posey County,***,"167.4 (147.9, 189.1)","63 (10, 91)",57,falling,"-1.1 (-1.6, -0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Steuben County,***,"167.1 (150.8, 184.9)","64 (13, 89)",81,falling,"-1.2 (-1.7, -0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
LaGrange County,***,"167.1 (149.3, 186.5)","65 (12, 91)",66,falling,"-0.8 (-1.3, -0.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Porter County,***,"166.0 (157.9, 174.4)","66 (34, 83)",331,falling,"-1.1 (-1.3, -0.8)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Floyd County,***,"165.2 (153.3, 177.9)","67 (24, 89)",149,falling,"-1.3 (-1.7, -1.0)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Randolph County,***,"164.7 (146.6, 184.7)","68 (15, 91)",62,stable,"-0.6 (-1.3, 0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Hancock County,***,"164.7 (152.8, 177.3)","69 (26, 89)",147,falling,"-0.9 (-1.3, -0.5)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Allen County,***,"164.5 (158.6, 170.6)","70 (44, 82)",611,falling,"-1.1 (-1.3, -0.9)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Jasper County,***,"163.7 (146.6, 182.4)","71 (15, 91)",70,falling,"-1.1 (-1.6, -0.5)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Newton County,***,"162.0 (137.7, 190.0)","72 (7, 92)",33,falling,"-1.3 (-2.0, -0.6)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Ripley County,***,"161.8 (143.7, 181.7)","73 (16, 91)",60,stable,"-0.5 (-1.1, 0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Ohio County,***,"160.8 (126.7, 203.3)","74 (2, 92)",16,stable,"-1.0 (-2.2, 0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Spencer County,***,"160.6 (139.8, 183.9)","75 (11, 92)",45,falling,"-1.4 (-1.9, -0.8)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Kosciusko County,***,"160.4 (149.0, 172.4)","76 (35, 90)",154,falling,"-0.9 (-1.2, -0.5)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Brown County,***,"160.4 (137.4, 186.8)","77 (10, 92)",39,falling,"-1.8 (-2.8, -0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Hendricks County,***,"159.8 (151.0, 168.9)","78 (45, 88)",259,falling,"-1.5 (-1.7, -1.2)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Montgomery County,***,"158.4 (143.2, 174.9)","79 (29, 91)",82,falling,"-1.4 (-1.8, -1.0)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Gibson County,***,"156.9 (140.2, 175.1)","80 (26, 92)",67,falling,"-1.3 (-1.7, -0.8)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Elkhart County,***,"154.9 (147.5, 162.6)","81 (59, 90)",338,falling,"-0.8 (-1.0, -0.5)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Benton County,***,"154.8 (124.1, 191.6)","82 (5, 92)",18,stable,"-0.5 (-1.4, 0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Warrick County,***,"154.4 (142.1, 167.6)","83 (38, 91)",120,falling,"-1.3 (-1.8, -0.9)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Marshall County,***,"153.5 (139.5, 168.5)","84 (36, 91)",93,falling,"-1.1 (-1.5, -0.7)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Bartholomew County,***,"153.4 (142.3, 165.1)","85 (49, 91)",148,falling,"-2.2 (-3.3, -1.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Parke County,***,"152.4 (130.5, 177.4)","86 (18, 92)",36,falling,"-1.2 (-1.9, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Tippecanoe County,***,"151.7 (143.2, 160.7)","87 (62, 91)",243,falling,"-1.7 (-2.0, -1.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Carroll County,***,"149.4 (129.4, 172.0)","88 (28, 92)",42,falling,"-0.8 (-1.4, -0.1)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Monroe County,***,"147.3 (138.1, 156.9)","89 (69, 91)",200,falling,"-5.5 (-10.4, -0.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Dubois County,***,"145.0 (130.9, 160.3)","90 (56, 92)",81,falling,"-0.9 (-1.3, -0.4)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Warren County,***,"139.4 (111.6, 173.2)","91 (21, 92)",18,falling,"-1.9 (-3.1, -0.8)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Hamilton County,***,"128.7 (122.7, 134.9)","92 (88, 92)",365,falling,"-1.6 (-1.9, -1.3)",Indiana,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Indiana,***,"98.6 (91.9, 105.5)",,196,falling,"-0.7 (-1.2, -0.2)",Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
United States  6,***,"116.2 (115.6, 116.7)",,39492,falling,"-1.5 (-2.2, -0.8)",Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
LaPorte County,***,"122.1 (69.1, 196.0)","1 (1, 8)",4,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lake County,***,"117.8 (105.8, 130.7)","2 (1, 4)",75,stable,"-0.3 (-1.3, 0.7)",Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Allen County,***,"105.0 (76.0, 140.0)","3 (1, 7)",11,stable,"-0.2 (-2.3, 2.0)",Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
St. Joseph County,***,"104.4 (72.2, 144.5)","4 (1, 8)",9,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Porter County,***,"98.3 (69.6, 133.8)","5 (1, 8)",9,stable,"-1.0 (-2.7, 0.6)",Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Marion County,***,"94.0 (74.2, 116.7)","6 (2, 7)",27,stable,"-0.5 (-2.3, 1.4)",Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Elkhart County,***,"81.7 (55.2, 115.1)","7 (2, 8)",9,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Tippecanoe County,***,"58.6 (29.7, 101.3)","8 (4, 8)",3,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Adams County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Bartholomew County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Benton County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Blackford County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Boone County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Brown County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Carroll County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Cass County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Clark County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Clay County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Clinton County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Crawford County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Daviess County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
DeKalb County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Dearborn County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Decatur County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Delaware County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Dubois County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Fayette County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Floyd County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Fountain County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Franklin County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Fulton County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Gibson County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Grant County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Greene County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Hamilton County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Hancock County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Harrison County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Hendricks County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Henry County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Howard County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Huntington County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jackson County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jasper County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jay County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jefferson County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jennings County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Johnson County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Knox County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Kosciusko County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
LaGrange County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lawrence County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Madison County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Marshall County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Martin County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Miami County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Monroe County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Montgomery County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Morgan County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Newton County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Noble County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Ohio County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Orange County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Owen County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Parke County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Perry County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Pike County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Posey County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Pulaski County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Putnam County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Randolph County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Ripley County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Rush County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Scott County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Shelby County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Spencer County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Starke County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Steuben County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Sullivan County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Switzerland County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Tipton County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Union County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Vanderburgh County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Vermillion County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Vigo County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Wabash County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Warren County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Warrick County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Washington County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Wayne County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Wells County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
White County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Whitley County,***,*,*,3 or fewer,*,*,Indiana,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Indiana,***,"171.8 (170.4, 173.2)",,12165,falling,"-1.2 (-1.3, -1.1)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
United States  6,***,"157.2 (157.0, 157.4)",,465073,falling,"-2.0 (-2.2, -1.7)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Scott County,***,"227.0 (202.6, 253.7)","1 (1, 24)",66,stable,"-0.6 (-1.3, 0.2)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Vermillion County,***,"222.1 (194.4, 253.1)","2 (1, 51)",49,stable,"-0.7 (-1.3, 0.0)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Fountain County,***,"219.0 (192.9, 248.1)","3 (1, 39)",53,stable,"-0.3 (-0.9, 0.3)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Orange County,***,"213.3 (188.6, 240.6)","4 (1, 51)",57,stable,"-0.2 (-0.8, 0.4)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Jennings County,***,"207.6 (185.7, 231.5)","5 (1, 52)",69,falling,"-0.7 (-1.3, -0.2)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Pulaski County,***,"204.5 (175.0, 238.2)","6 (1, 78)",36,stable,"-0.3 (-1.0, 0.4)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Clay County,***,"204.2 (183.0, 227.4)","7 (1, 62)",70,falling,"-0.6 (-1.2, -0.1)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Jefferson County,***,"199.7 (180.3, 220.8)","8 (1, 64)",82,stable,"-0.5 (-1.0, 0.1)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Sullivan County,***,"199.2 (175.3, 225.7)","9 (1, 73)",53,falling,"-0.7 (-1.2, -0.1)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Switzerland County,***,"198.8 (166.2, 236.4)","10 (1, 89)",27,stable,"-0.5 (-1.5, 0.4)",Indiana,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
