County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
Sacramento County,***,"46.4 (44.8, 47.9)","19 (11, 27)",739,falling,"-2.1 (-2.2, -1.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Mariposa County,***,"45.9 (32.3, 64.2)","20 (1, 56)",10,falling,"-2.1 (-3.6, -0.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Tulare County,***,"45.9 (42.9, 49.0)","21 (9, 33)",187,falling,"-1.9 (-2.2, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Solano County,***,"45.4 (42.7, 48.2)","22 (10, 33)",230,falling,"-2.2 (-2.5, -1.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Fresno County,***,"45.1 (43.1, 47.1)","23 (12, 32)",407,falling,"-1.7 (-1.9, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Merced County,***,"44.8 (41.0, 48.8)","24 (9, 39)",107,falling,"-1.9 (-2.4, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Colusa County,***,"44.5 (32.2, 60.1)","25 (2, 56)",9,falling,"-2.9 (-4.6, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Riverside County,***,"44.1 (42.9, 45.3)","26 (18, 32)",1049,falling,"-2.1 (-2.2, -1.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Glenn County,***,"43.6 (33.4, 56.3)","27 (3, 55)",13,falling,"-2.9 (-4.2, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Nevada County,***,"42.4 (36.8, 48.6)","28 (8, 51)",53,falling,"-1.6 (-2.3, -0.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Imperial County,***,"41.8 (37.4, 46.7)","29 (12, 49)",67,falling,"-2.2 (-2.8, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Napa County,***,"41.8 (37.2, 46.8)","30 (11, 50)",66,falling,"-2.1 (-2.6, -1.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Los Angeles County,***,"41.6 (41.1, 42.2)","31 (25, 37)",4329,falling,"-1.7 (-2.0, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Calaveras County,***,"41.6 (33.8, 50.9)","32 (5, 54)",26,falling,"-2.3 (-3.2, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Tuolumne County,***,"41.1 (34.1, 49.4)","33 (7, 54)",30,falling,"-2.4 (-3.1, -1.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
San Diego County,***,"40.5 (39.6, 41.5)","34 (27, 40)",1373,falling,"-2.2 (-2.3, -2.1)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Santa Barbara County,***,"40.2 (37.5, 43.1)","35 (23, 49)",171,falling,"-1.7 (-2.1, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Yolo County,***,"39.9 (36.0, 44.2)","36 (19, 51)",77,falling,"-2.3 (-2.9, -1.8)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Lassen County,***,"39.6 (30.5, 50.8)","37 (6, 56)",14,falling,"-1.8 (-3.0, -0.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Amador County,***,"38.9 (31.4, 48.3)","38 (8, 55)",22,falling,"-2.4 (-3.2, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
San Luis Obispo County,***,"38.9 (35.7, 42.3)","39 (25, 51)",124,falling,"-2.1 (-2.5, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
San Benito County,***,"38.3 (31.7, 45.9)","40 (10, 55)",25,falling,"-1.8 (-2.5, -1.0)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Sonoma County,***,"38.1 (35.8, 40.5)","41 (29, 51)",227,falling,"-2.4 (-2.7, -2.1)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Ventura County,***,"38.1 (36.2, 40.0)","42 (31, 50)",348,falling,"-2.2 (-2.4, -2.0)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Monterey County,***,"37.9 (35.3, 40.7)","43 (28, 51)",158,falling,"-1.9 (-2.3, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Modoc County,***,"37.4 (21.6, 62.0)","44 (1, 56)",4,stable,"-44.6 (-77.1, 33.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Alameda County,***,"37.2 (35.9, 38.5)","45 (35, 51)",660,falling,"-2.9 (-3.1, -2.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Santa Cruz County,***,"37.1 (34.0, 40.5)","46 (29, 53)",113,falling,"-1.9 (-2.3, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
San Francisco County,***,"36.4 (34.7, 38.3)","47 (35, 52)",335,falling,"-2.9 (-3.1, -2.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Orange County,***,"36.3 (35.4, 37.2)","48 (39, 52)",1232,falling,"-1.7 (-2.1, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Placer County,***,"35.8 (33.3, 38.6)","49 (34, 53)",155,falling,"-2.2 (-2.6, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Contra Costa County,***,"35.7 (34.2, 37.2)","50 (38, 53)",457,falling,"-2.7 (-2.9, -2.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
El Dorado County,***,"34.7 (31.2, 38.5)","51 (33, 55)",85,falling,"-2.8 (-3.5, -2.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Trinity County,***,"33.1 (21.2, 50.8)","52 (5, 56)",6,falling,"-3.1 (-4.4, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Santa Clara County,***,"32.7 (31.6, 33.9)","53 (48, 54)",655,falling,"-4.9 (-7.3, -2.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
San Mateo County,***,"30.0 (28.3, 31.7)","54 (51, 56)",256,falling,"-3.2 (-3.4, -2.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Mono County,***,"27.8 (17.4, 43.0)","55 (13, 56)",5,*,*,California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Marin County,***,"26.5 (24.0, 29.3)","56 (53, 56)",88,falling,"-3.5 (-3.8, -3.1)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Alpine County,***,*,*,3 or fewer,*,*,California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Sierra County,***,*,*,3 or fewer,*,*,California,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
California,***,"806.4 (802.9, 809.8)",,42924,falling,"-1.5 (-1.6, -1.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
United States,***,"871.8 (870.7, 873.0)",,427355,falling,"-2.1 (-2.4, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Yuba County,***,"1,073.9 (976.9, 1,177.8)","1 (1, 12)",94,falling,"-0.7 (-1.2, -0.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Lake County,***,"1,010.5 (934.9, 1,090.6)","2 (1, 16)",136,falling,"-1.0 (-1.4, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Shasta County,***,"987.2 (940.5, 1,035.5)","3 (1, 13)",342,falling,"-0.9 (-1.2, -0.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Glenn County,***,"977.6 (847.0, 1,122.5)","4 (1, 44)",41,falling,"-1.0 (-1.7, -0.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Humboldt County,***,"975.9 (916.5, 1,038.1)","5 (1, 19)",212,falling,"-1.2 (-1.5, -0.8)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Siskiyou County,***,"966.3 (879.9, 1,058.7)","6 (1, 29)",95,falling,"-0.8 (-1.3, -0.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Butte County,***,"955.5 (912.1, 1,000.4)","7 (2, 18)",375,falling,"-1.0 (-1.3, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Solano County,***,"940.5 (906.4, 975.6)","8 (3, 18)",592,falling,"-0.9 (-1.1, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Tehama County,***,"938.2 (861.2, 1,020.2)","9 (1, 33)",110,falling,"-1.2 (-1.7, -0.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Del Norte County,***,"938.0 (814.3, 1,075.3)","10 (1, 48)",43,falling,"-1.2 (-1.9, -0.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Stanislaus County,***,"934.8 (902.0, 968.5)","11 (3, 19)",625,falling,"-0.7 (-0.9, -0.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Merced County,***,"913.7 (864.5, 965.0)","12 (3, 28)",262,falling,"-1.0 (-1.2, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Tuolumne County,***,"901.6 (829.2, 978.6)","13 (2, 40)",116,falling,"-1.0 (-1.5, -0.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Joaquin County,***,"900.3 (872.3, 929.0)","14 (8, 24)",802,falling,"-0.8 (-1.0, -0.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Lassen County,***,"895.7 (766.5, 1,040.1)","15 (1, 53)",36,falling,"-1.4 (-2.0, -0.8)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Sacramento County,***,"892.1 (873.5, 911.0)","16 (10, 24)",1798,falling,"-1.7 (-2.3, -1.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Bernardino County,***,"887.8 (870.2, 905.6)","17 (11, 24)",2009,falling,"-1.6 (-1.8, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Amador County,***,"880.3 (796.3, 970.7)","18 (2, 48)",83,falling,"-1.1 (-1.7, -0.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Sutter County,***,"872.3 (805.1, 943.5)","19 (5, 45)",126,falling,"-1.1 (-1.6, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Kings County,***,"868.9 (801.8, 940.1)","20 (5, 45)",126,falling,"-0.9 (-1.4, -0.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Plumas County,***,"855.9 (738.4, 986.6)","21 (1, 54)",40,falling,"-1.7 (-2.4, -1.1)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Kern County,***,"853.5 (826.2, 881.4)","22 (15, 36)",762,falling,"-1.9 (-2.4, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Napa County,***,"852.9 (802.6, 905.6)","23 (9, 43)",219,falling,"-1.7 (-2.1, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Mendocino County,***,"848.7 (786.1, 915.0)","24 (8, 48)",145,falling,"-1.3 (-1.7, -1.0)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Madera County,***,"845.6 (788.8, 905.3)","25 (10, 46)",169,falling,"-1.1 (-1.5, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Calaveras County,***,"839.3 (764.0, 920.0)","26 (7, 51)",94,falling,"-1.2 (-1.8, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Sonoma County,***,"832.1 (804.9, 860.0)","27 (18, 41)",741,falling,"-2.5 (-3.2, -1.8)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Diego County,***,"831.2 (819.1, 843.5)","28 (21, 36)",3687,falling,"-1.7 (-2.0, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Inyo County,***,"829.8 (708.2, 966.3)","29 (2, 55)",34,falling,"-1.4 (-2.2, -0.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Placer County,***,"828.2 (798.5, 858.8)","30 (18, 42)",593,falling,"-1.5 (-1.8, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Yolo County,***,"827.8 (777.9, 880.1)","31 (12, 48)",210,falling,"-1.6 (-2.1, -1.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Modoc County,***,"823.3 (659.1, 1,015.6)","32 (1, 56)",18,falling,"-1.1 (-2.1, -0.2)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Trinity County,***,"823.1 (684.5, 981.6)","33 (2, 56)",26,falling,"-1.6 (-2.8, -0.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
El Dorado County,***,"817.6 (775.3, 861.6)","34 (17, 48)",289,falling,"-1.4 (-1.7, -1.0)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Tulare County,***,"817.3 (781.7, 854.2)","35 (19, 46)",404,falling,"-0.9 (-1.1, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Riverside County,***,"813.2 (799.4, 827.1)","36 (25, 41)",2690,falling,"-1.6 (-1.8, -1.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Contra Costa County,***,"812.5 (793.2, 832.1)","37 (23, 42)",1377,falling,"-1.9 (-2.3, -1.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Fresno County,***,"803.8 (780.4, 827.7)","38 (24, 45)",917,falling,"-1.1 (-1.2, -0.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Ventura County,***,"799.3 (777.0, 822.2)","39 (26, 46)",989,falling,"-1.2 (-1.4, -1.0)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Mariposa County,***,"798.0 (683.7, 925.9)","40 (4, 56)",35,falling,"-1.6 (-2.5, -0.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Luis Obispo County,***,"794.9 (760.7, 830.2)","41 (23, 49)",418,falling,"-1.2 (-1.5, -1.0)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Colusa County,***,"784.2 (647.0, 941.9)","42 (2, 56)",23,falling,"-1.6 (-2.6, -0.5)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Los Angeles County,***,"784.0 (777.1, 790.9)","43 (36, 46)",10283,falling,"-1.3 (-1.4, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Nevada County,***,"781.7 (731.7, 834.1)","44 (21, 53)",190,falling,"-1.7 (-2.1, -1.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Orange County,***,"773.1 (761.5, 784.8)","45 (37, 48)",3455,falling,"-1.4 (-1.6, -1.3)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Santa Cruz County,***,"769.8 (730.3, 810.8)","46 (27, 53)",302,falling,"-1.4 (-1.8, -1.1)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Alameda County,***,"756.0 (739.4, 772.9)","47 (40, 51)",1630,falling,"-2.0 (-2.2, -1.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Santa Barbara County,***,"752.1 (722.7, 782.4)","48 (37, 53)",508,falling,"-1.2 (-1.4, -0.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Francisco County,***,"750.3 (729.4, 771.6)","49 (40, 52)",1024,falling,"-1.6 (-1.7, -1.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Marin County,***,"731.0 (698.7, 764.4)","50 (41, 55)",396,falling,"-1.8 (-2.1, -1.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Mateo County,***,"720.8 (699.2, 742.9)","51 (45, 55)",870,falling,"-2.2 (-2.4, -1.9)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Monterey County,***,"719.4 (687.7, 752.1)","52 (43, 55)",402,falling,"-1.7 (-2.0, -1.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
San Benito County,***,"706.6 (620.6, 801.1)","53 (24, 56)",50,falling,"-2.2 (-2.9, -1.6)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Santa Clara County,***,"693.2 (678.6, 708.0)","54 (50, 56)",1749,falling,"-2.3 (-2.7, -1.8)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Imperial County,***,"649.0 (602.6, 698.1)","55 (50, 56)",147,falling,"-2.2 (-2.6, -1.7)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Sierra County,***,"575.0 (363.5, 863.7)","56 (4, 57)",5,stable,"-1.4 (-3.1, 0.4)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Mono County,***,"388.5 (269.3, 542.3)","57 (56, 57)",7,falling,"-3.6 (-5.4, -1.8)",California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Alpine County,***,*,*,3 or fewer,*,*,California,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,,
Colorado,***,"11.5 (11.0, 12.0)",,417,falling,"-1.9 (-2.1, -1.8)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
United States,***,"15.1 (15.1, 15.2)",,30333,falling,"-1.9 (-2.0, -1.9)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Delta County,***,"32.8 (21.2, 48.4)","1 (1, 3)",5,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Morgan County,***,"20.5 (11.9, 32.7)","2 (1, 16)",3,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Montrose County,***,"19.5 (12.2, 29.6)","3 (1, 15)",4,stable,"0.0 (-1.5, 1.6)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Pueblo County,***,"16.8 (13.4, 20.9)","4 (2, 8)",16,stable,"-0.9 (-2.0, 0.2)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
El Paso County,***,"13.6 (12.0, 15.2)","5 (3, 10)",58,falling,"-1.4 (-2.0, -0.9)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Jefferson County  8,***,"12.4 (10.8, 14.1)","6 (4, 15)",45,stable,"-1.2 (-2.5, 0.0)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
La Plata County,***,"12.2 (7.5, 18.7)","7 (2, 17)",4,stable,"-0.7 (-2.9, 1.6)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Larimer County,***,"12.2 (10.1, 14.5)","8 (4, 16)",25,falling,"-2.1 (-3.0, -1.2)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Mesa County,***,"11.4 (8.4, 15.1)","9 (4, 17)",10,falling,"-2.1 (-3.3, -0.9)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Broomfield County  8,***,"11.3 (7.4, 16.5)","10 (3, 17)",5,falling,"-4.5 (-7.9, -1.0)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Denver County,***,"11.2 (9.8, 12.6)","11 (6, 16)",54,falling,"-3.1 (-3.7, -2.5)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Adams County  8,***,"11.0 (9.5, 12.7)","12 (6, 17)",37,falling,"-2.4 (-3.7, -1.2)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Arapahoe County,***,"11.0 (9.6, 12.5)","13 (6, 17)",47,falling,"-1.9 (-2.3, -1.4)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Weld County  8,***,"10.7 (8.8, 12.9)","14 (6, 17)",22,falling,"-3.5 (-5.2, -1.8)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Boulder County  8,***,"10.6 (8.7, 12.8)","15 (6, 17)",21,stable,"-1.4 (-3.3, 0.4)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Garfield County,***,"10.4 (6.4, 16.1)","16 (3, 17)",4,stable,"-1.1 (-2.8, 0.6)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Douglas County,***,"9.1 (7.4, 11.0)","17 (10, 17)",22,falling,"-2.1 (-3.3, -0.9)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Alamosa County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Archuleta County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Baca County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Bent County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Chaffee County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cheyenne County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Clear Creek County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Conejos County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Costilla County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Crowley County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Custer County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Dolores County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Eagle County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Elbert County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Fremont County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Gilpin County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Grand County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Gunnison County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Hinsdale County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Huerfano County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Jackson County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Kiowa County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Kit Carson County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lake County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Las Animas County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lincoln County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Logan County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Mineral County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Moffat County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Montezuma County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Otero County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Ouray County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Park County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Phillips County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Pitkin County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Prowers County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Rio Blanco County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Rio Grande County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Routt County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Saguache County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
San Juan County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
San Miguel County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Sedgwick County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Summit County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Teller County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Washington County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Yuma County,***,*,*,3 or fewer,*,*,Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Colorado,***,"446.2 (441.6, 450.9)",,7415,falling,"-1.7 (-1.8, -1.5)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
United States,***,"512.0 (511.4, 512.6)",,568048,falling,"-2.1 (-2.4, -1.8)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cheyenne County,***,"761.5 (498.0, 1,112.8)","1 (1, 48)",6,stable,"-0.2 (-2.4, 2.1)",Colorado,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
