,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Incidence Rates
52,Cobb County  7,1753,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,434.5 ,51 ,0.5 
53,Upson County  7,82,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,434.5 ,52 ,0.4 
54,Worth County  7,63,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.9 ,53 ,1.4 
55,Elbert County  7,61,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.6 ,54 ,0.9 
56,Murray County  7,101,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,432.3 ,55 ,6.5 
57,Fayette County  7,324,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,432.2 ,56 ,0.3 
58,Wilkes County  7,34,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,432.1 ,57 ,0.8 
59,Fannin County  7,95,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.7 ,58 ,1.0 
60,Jefferson County  7,47,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.7 ,59 ,*
61,Emanuel County  7,62,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.4 ,60 ,0.9 
62,Macon County  7,36,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.4 ,61 ,0.4 
63,Hart County  7,81,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.3 ,62 ,0.4 
64,Twiggs County  7,28,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.1 ,63 ,2.6 
65,Clayton County  7,575,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.9 ,64 ,0.6 
66,Douglas County  7,331,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.8 ,65 ,0.0 
67,Thomas County  7,131,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.2 ,66 ,-0.1 
68,Camden County  7,116,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.1 ,67 ,0.3 
69,Floyd County  7,268,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.7 ,68 ,0.2 
70,Rabun County  7,55,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.7 ,69 ,-0.1 
71,Ben Hill County  7,48,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.4 ,70 ,-0.8 
72,Ware County  7,101,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.4 ,71 ,0.7 
73,Clarke County  7,245,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.4 ,72 ,0.4 
74,Meriwether County  7,67,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.2 ,73 ,1.5 
75,Monroe County  7,80,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,428.8 ,74 ,0.6 
76,Calhoun County  7,15,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,428.6 ,75 ,-1.9 
77,Troup County  7,182,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,427.3 ,76 ,-0.3 
78,Jenkins County  7,24,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,427.1 ,77 ,1.9 
79,Stewart County  7,14,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,427.0 ,78 ,1.6 
80,McDuffie County  7,63,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.9 ,79 ,0.0 
81,Bleckley County  7,35,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.1 ,80 ,0.9 
82,Bartow County  7,255,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.9 ,81 ,-4.8 
83,Houston County  7,356,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.3 ,82 ,0.5 
84,Dougherty County  7,246,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.3 ,83 ,0.2 
85,Terrell County  7,27,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.9 ,84 ,-0.1 
86,Peach County  7,72,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.6 ,85 ,0.3 
87,Richmond County  7,505,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.3 ,86 ,0.0 
88,Evans County  7,29,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,420.9 ,87 ,0.5 
89,Burke County  7,60,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,418.4 ,88 ,0.5 
90,Pierce County  7,50,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,417.4 ,89 ,0.1 
91,Berrien County  7,51,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,417.3 ,90 ,1.3 
92,Morgan County  7,55,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,417.1 ,91 ,*
93,Putnam County  7,71,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,417.0 ,92 ,*
94,Gwinnett County  7,1824,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,416.7 ,93 ,0.3 
95,Chattahoochee County  7,10,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,416.2 ,94 ,1.2 
96,Fulton County  7,2278,falling,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.9 ,95 ,-0.3 
97,Screven County  7,42,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.1 ,96 ,0.4 
98,Brooks County  7,45,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,413.6 ,97 ,1.2 
99,Colquitt County  7,111,falling,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.8 ,98 ,-1.8 
100,Treutlen County  7,18,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.9 ,99 ,1.3 
101,Irwin County  7,24,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.6 ,100 ,1.1 
102,DeKalb County  7,1702,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.4 ,101 ,0.1 
103,Butts County  7,61,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.3 ,102 ,-0.3 
104,Coffee County  7,97,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.5 ,103 ,0.3 
105,Sumter County  7,81,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.4 ,104 ,0.3 
106,Glynn County  7,245,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,407.0 ,105 ,-0.5 
107,Grady County  7,66,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,405.2 ,106 ,0.1 
108,Lanier County  7,24,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,405.2 ,107 ,-1.0 
109,Harris County  7,91,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,404.3 ,108 ,0.5 
110,Hancock County  7,26,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,404.0 ,109 ,*
111,Liberty County  7,106,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.9 ,110 ,-0.4 
112,Rockdale County  7,223,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.8 ,111 ,-0.3 
113,Lowndes County  7,233,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.0 ,112 ,0.1 
114,Toombs County  7,71,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,400.3 ,113 ,0.6 
115,Randolph County  7,21,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.4 ,114 ,0.6 
116,Chatham County  7,691,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.8 ,115 ,-0.1 
117,Laurens County  7,125,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,395.9 ,116 ,-0.1 
118,Banks County  7,46,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,395.8 ,117 ,0.2 
119,Lincoln County  7,27,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,395.4 ,118 ,-0.8 
120,Brantley County  7,46,rising,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,393.5 ,119 ,2.1 
121,Atkinson County  7,17,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.7 ,120 ,-0.7 
122,Wilkinson County  7,25,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.6 ,121 ,1.1 
123,Bulloch County  7,137,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.0 ,122 ,0.2 
124,Columbia County  7,324,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.0 ,123 ,0.0 
125,Washington County  7,56,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,389.1 ,124 ,*
126,Crisp County  7,61,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,386.6 ,125 ,0.5 
127,Decatur County  7,68,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.7 ,126 ,0.1 
128,Taliaferro County  7,6,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.2 ,127 ,*
129,McIntosh County  7,42,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.2 ,128 ,-0.7 
130,Wilcox County  7,20,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.8 ,129 ,-0.4 
131,Glascock County  7,8,*,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.8 ,130 ,*
132,Whitfield County  7,223,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.7 ,131 ,-0.7 
133,Taylor County  7,23,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.6 ,132 ,0.2 
134,Quitman County  7,8,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,376.4 ,133 ,0.6 
135,Appling County  7,45,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,374.5 ,134 ,0.6 
136,Talbot County  7,20,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,373.0 ,135 ,0.6 
137,Dade County  7,43,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,372.2 ,136 ,-0.1 
138,Bacon County  7,26,falling,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.5 ,137 ,-20.4 
139,Walker County  7,172,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,368.4 ,138 ,-0.7 
140,Tattnall County  7,50,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,368.0 ,139 ,-1.2 
141,Jeff Davis County  7,32,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.8 ,140 ,-0.2 
142,Early County  7,28,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.2 ,141 ,1.1 
143,Candler County  7,27,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.0 ,142 ,0.2 
144,Montgomery County  7,20,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,365.9 ,143 ,-1.2 
145,Miller County  7,15,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,362.9 ,144 ,0.0 
146,Catoosa County  7,164,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,361.3 ,145 ,-0.2 
147,Baker County  7,10,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,358.9 ,146 ,1.8 
148,Echols County  7,8,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,355.4 ,147 ,-0.7 
149,Johnson County  7,22,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,351.4 ,148 ,1.5 
150,Dodge County  7,49,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,351.3 ,149 ,-0.9 
151,Marion County  7,21,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,332.4 ,150 ,-0.9 
152,Pulaski County  7,29,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.9 ,151 ,0.0 
153,Schley County  7,11,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,329.1 ,152 ,0.5 
154,Clay County  7,8,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,327.3 ,153 ,-1.2 
155,Webster County  7,7,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,323.8 ,154 ,0.2 
156,Long County  7,25,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,319.6 ,155 ,0.4 
157,Seminole County  7,21,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,319.3 ,156 ,-0.9 
158,Dooly County  7,28,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,310.1 ,157 ,-1.5 
159,Telfair County  7,29,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,299.1 ,158 ,-0.1 
160,Wheeler County  7,10,stable,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,250.4 ,159 ,0.3 
2,Honolulu County  7,2565,stable,Hawaii,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,454.1 ,1 ,0.1 
3,Maui County  7,427,falling,Hawaii,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,420.4 ,2 ,-0.9 
4,Hawaii County  7,563,stable,Hawaii,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,403.7 ,3 ,3.0 
5,Kauai County  7,189,falling,Hawaii,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,401.2 ,4 ,-1.2 
6,Kalawao County  7,3 or fewer,*,Hawaii,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,*,*,*
2,Honolulu County  7,2548,rising,Hawaii,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,414.0 ,1 ,0.5 
3,Maui County  7,431,stable,Hawaii,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,406.2 ,2 ,-0.7 
4,Hawaii County  7,505,falling,Hawaii,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,369.7 ,3 ,-0.7 
5,Kauai County  7,164,stable,Hawaii,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,334.8 ,4 ,-0.1 
6,Kalawao County  7,3 or fewer,*,Hawaii,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,*,*,*
2,Shoshone County  7,54,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,553.0 ,1 ,-0.8 
3,Washington County  7,44,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,534.1 ,2 ,-0.7 
4,Gem County  7,70,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.2 ,3 ,-0.3 
5,Elmore County  7,69,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,528.4 ,4 ,-1.2 
6,Payette County  7,76,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,524.6 ,5 ,-0.4 
7,Kootenai County  7,495,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.6 ,6 ,-1.0 
8,Lewis County  7,17,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 ,7 ,-9.6 
9,Bear Lake County  7,20,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.0 ,8 ,1.2 
10,Clearwater County  7,41,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.2 ,9 ,0.4 
11,Caribou County  7,21,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.1 ,10 ,0.1 
12,Canyon County  7,507,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,499.6 ,11 ,-1.8 
13,Ada County  7,1112,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,499.5 ,12 ,0.1 
14,Gooding County  7,46,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.0 ,13 ,-1.3 
15,Lemhi County  7,40,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,488.8 ,14 ,-0.6 
16,Bonneville County  7,259,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,486.0 ,15 ,-0.4 
17,Custer County  7,19,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.2 ,16 ,-1.1 
18,Bonner County  7,167,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,472.9 ,17 ,-1.8 
19,Butte County  7,10,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,465.3 ,18 ,-2.0 
20,Twin Falls County  7,206,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,464.9 ,19 ,-1.8 
21,Nez Perce County  7,124,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,463.8 ,20 ,-1.8 
22,Jefferson County  7,57,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,461.3 ,21 ,-0.7 
23,Owyhee County  7,32,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,449.3 ,22 ,-1.6 
24,Minidoka County  7,52,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,448.6 ,23 ,-0.9 
25,Valley County  7,41,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,448.0 ,24 ,-1.5 
26,Idaho County  7,66,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,443.6 ,25 ,0.3 
27,Boundary County  7,39,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.9 ,26 ,-1.7 
28,Blaine County  7,63,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,434.5 ,27 ,-1.2 
29,Benewah County  7,31,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,429.6 ,28 ,-2.6 
30,Lincoln County  7,12,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,426.0 ,29 ,-1.0 
31,Bingham County  7,100,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.0 ,30 ,-1.2 
32,Boise County  7,30,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.9 ,31 ,-2.5 
33,Latah County  7,79,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,420.6 ,32 ,-1.8 
34,Madison County  7,44,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.0 ,33 ,0.3 
35,Teton County  7,23,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,416.9 ,34 ,-0.1 
36,Franklin County  7,28,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,405.7 ,35 ,0.1 
37,Jerome County  7,47,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,405.1 ,36 ,-2.3 
38,Fremont County  7,33,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,398.1 ,37 ,-0.9 
39,Bannock County  7,168,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,396.4 ,38 ,-1.5 
40,Cassia County  7,46,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,384.0 ,39 ,-2.0 
41,Camas County  7,3,*,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,380.7 ,40 ,*
42,Oneida County  7,10,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,357.1 ,41 ,-2.7 
43,Power County  7,16,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,352.6 ,42 ,0.1 
44,Adams County  7,15,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,341.3 ,43 ,-2.2 
45,Clark County  7,3 or fewer,*,Idaho,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,*,*,*
2,Camas County  7,3,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,553.6 ,1 ,0.0 
3,Gem County  7,56,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,466.8 ,2 ,0.3 
4,Kootenai County  7,462,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,453.7 ,3 ,-0.4 
5,Canyon County  7,494,rising,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.7 ,4 ,0.8 
6,Boundary County  7,38,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.7 ,5 ,0.1 
7,Butte County  7,9,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,444.0 ,6 ,-0.5 
8,Shoshone County  7,42,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,441.9 ,7 ,-0.5 
9,Nez Perce County  7,123,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.9 ,8 ,0.1 
10,Ada County  7,1085,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.3 ,9 ,-0.3 
11,Boise County  7,22,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.2 ,10 ,2.0 
12,Elmore County  7,58,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,434.3 ,11 ,1.4 
13,Fremont County  7,33,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,429.7 ,12 ,0.0 
14,Latah County  7,79,rising,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.7 ,13 ,1.7 
15,Bonneville County  7,246,rising,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.8 ,14 ,0.8 
16,Payette County  7,61,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.1 ,15 ,0.1 
17,Bonner County  7,139,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,420.4 ,16 ,-0.6 
18,Lincoln County  7,10,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.8 ,17 ,2.0 
19,Clearwater County  7,27,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,405.4 ,18 ,-0.5 
20,Bingham County  7,97,rising,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,404.9 ,19 ,1.8 
21,Benewah County  7,26,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.8 ,20 ,-0.9 
22,Owyhee County  7,28,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,401.5 ,21 ,0.1 
23,Gooding County  7,38,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.4 ,22 ,0.0 
24,Washington County  7,32,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,393.1 ,23 ,-1.1 
25,Twin Falls County  7,192,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.6 ,24 ,-0.4 
26,Jerome County  7,45,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.8 ,25 ,-0.5 
27,Blaine County  7,54,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.6 ,26 ,0.7 
28,Cassia County  7,49,rising,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.4 ,27 ,1.7 
29,Idaho County  7,51,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.9 ,28 ,1.0 
30,Jefferson County  7,50,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.7 ,29 ,0.6 
31,Lewis County  7,11,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.0 ,30 ,-3.5 
32,Bannock County  7,167,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 ,31 ,-0.2 
33,Franklin County  7,25,rising,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.3 ,32 ,2.1 
34,Madison County  7,42,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,365.3 ,33 ,0.7 
35,Valley County  7,28,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,364.8 ,34 ,-2.0 
36,Adams County  7,11,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,361.4 ,35 ,-2.2 
37,Caribou County  7,15,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.8 ,36 ,1.1 
38,Minidoka County  7,43,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,355.5 ,37 ,0.2 
39,Power County  7,15,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,344.1 ,38 ,0.7 
40,Lemhi County  7,24,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,342.6 ,39 ,-0.7 
41,Oneida County  7,9,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,334.5 ,40 ,-1.3 
42,Bear Lake County  7,12,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,327.2 ,41 ,2.5 
43,Custer County  7,12,stable,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,327.2 ,42 ,-0.4 
44,Teton County  7,17,falling,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,322.8 ,43 ,-2.6 
45,Clark County  7,3 or fewer,*,Idaho,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,*,*,*
2,Clay County  6,59,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,663.3 ,1 ,-0.4 
3,Christian County  6,144,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,657.1 ,2 ,-0.7 
4,Brown County  6,24,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,642.6 ,3 ,-0.1 
5,Marion County  6,156,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,638.7 ,4 ,-0.4 
6,Menard County  6,50,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,636.2 ,5 ,-0.1 
7,Cass County  6,48,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,631.5 ,6 ,0.7 
8,Morgan County  6,138,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,626.0 ,7 ,0.3 
9,Grundy County  6,159,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,621.1 ,8 ,-0.4 
10,Logan County  6,106,stable,Illinois,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,604.6 ,9 ,-0.6 
