,County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
64,Wabaunsee County,***,"185.7 (133.4, 253.7)","63 (5, 97)",9,stable,"-1.4 (-3.0, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
65,Jefferson County,***,"184.8 (152.1, 223.1)","64 (14, 95)",23,falling,"-1.2 (-2.0, -0.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
66,Seward County,***,"184.1 (142.4, 233.3)","65 (10, 96)",15,stable,"-1.1 (-2.2, 0.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
67,Clay County,***,"183.6 (137.7, 242.1)","66 (9, 96)",12,stable,"0.3 (-1.0, 1.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
68,Russell County,***,"181.5 (132.0, 246.1)","67 (7, 97)",10,falling,"-1.4 (-2.5, -0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
69,Brown County,***,"181.0 (137.1, 235.9)","68 (9, 96)",12,stable,"-0.4 (-2.0, 1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
70,Lyon County,***,"180.8 (152.6, 212.7)","69 (22, 93)",31,stable,"-0.8 (-1.6, 0.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
71,Cloud County,***,"180.7 (134.5, 239.1)","70 (8, 97)",11,stable,"-0.8 (-2.1, 0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
72,Jackson County,***,"179.3 (140.4, 226.4)","71 (13, 96)",15,falling,"-1.5 (-2.5, -0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
73,Thomas County,***,"178.9 (128.6, 243.7)","72 (7, 97)",9,falling,"-2.4 (-3.5, -1.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
74,Sherman County,***,"178.8 (123.6, 252.3)","73 (5, 97)",7,stable,"-1.2 (-2.8, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
75,Rice County,***,"177.6 (133.1, 233.3)","74 (10, 97)",11,falling,"-1.2 (-2.3, -0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
76,Sheridan County,***,"177.5 (107.2, 289.1)","75 (3, 97)",4,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
77,Scott County,***,"176.7 (118.5, 256.5)","76 (5, 97)",6,stable,"0.1 (-1.8, 2.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
78,Smith County,***,"176.4 (110.5, 273.9)","77 (3, 97)",5,stable,"-1.0 (-2.5, 0.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
79,Kiowa County,***,"174.3 (99.6, 293.4)","78 (3, 97)",3,stable,"-0.2 (-1.8, 1.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
80,Ford County,***,"173.4 (142.9, 208.2)","79 (20, 96)",24,falling,"-1.8 (-2.6, -1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
81,Chautauqua County,***,"172.3 (112.6, 261.9)","80 (5, 97)",5,stable,"-0.7 (-2.5, 1.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
82,Morris County,***,"172.2 (122.8, 239.4)","81 (8, 97)",8,falling,"-1.7 (-3.0, -0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
83,Finney County,***,"171.3 (142.0, 204.6)","82 (25, 95)",26,falling,"-1.6 (-2.4, -0.9)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
84,Miami County,***,"168.9 (143.6, 197.6)","83 (31, 95)",33,falling,"-1.4 (-2.3, -0.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
85,Douglas County,***,"167.1 (150.5, 185.0)","84 (47, 92)",78,falling,"-1.5 (-2.0, -1.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
86,Pottawatomie County,***,"165.7 (133.6, 203.0)","85 (24, 96)",19,falling,"-1.5 (-2.5, -0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
87,Republic County,***,"164.3 (111.9, 239.5)","86 (8, 97)",7,stable,"-0.4 (-1.7, 1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
88,Barton County,***,"161.6 (135.5, 191.8)","87 (34, 96)",28,falling,"-1.4 (-2.3, -0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
89,Riley County,***,"160.5 (137.9, 185.6)","88 (44, 96)",38,falling,"-1.0 (-1.7, -0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
90,Ellis County,***,"160.0 (132.0, 192.2)","89 (36, 97)",24,falling,"-1.4 (-2.2, -0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
91,Harvey County,***,"157.3 (134.6, 183.0)","90 (49, 96)",36,falling,"-0.9 (-1.7, -0.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
92,Johnson County,***,"150.6 (144.1, 157.4)","91 (76, 94)",424,falling,"-1.7 (-1.9, -1.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
93,Meade County,***,"149.2 (87.7, 239.1)","92 (6, 97)",4,falling,"-1.6 (-2.9, -0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
94,Rooks County,***,"138.2 (90.0, 207.6)","93 (21, 97)",5,falling,"-3.7 (-5.3, -2.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
95,Norton County,***,"136.2 (89.4, 201.3)","94 (24, 97)",5,falling,"-2.7 (-4.2, -1.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
96,Stevens County,***,"136.0 (83.4, 210.4)","95 (17, 97)",4,stable,"-1.7 (-3.7, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
97,Gray County,***,"135.6 (84.0, 207.7)","96 (18, 97)",4,falling,"-3.1 (-4.8, -1.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
98,Cheyenne County,***,"134.1 (73.0, 236.3)","97 (8, 97)",3,stable,"-0.6 (-2.9, 1.9)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
99,Clark County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
100,Gove County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
101,Greeley County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
102,Hamilton County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
103,Haskell County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
104,Hodgeman County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
105,Stanton County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
106,Wallace County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
0,Kansas,***,"137.4 (135.0, 139.9)",,2637,falling,"-1.0 (-1.2, -0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
1,United States,***,"131.1 (130.9, 131.3)",,283394,falling,"-1.9 (-2.1, -1.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
2,Kingman County,***,"308.9 (241.7, 390.9)","1 (1, 6)",17,stable,"20.5 (-0.7, 46.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
3,Republic County,***,"207.1 (140.1, 299.3)","2 (1, 83)",9,stable,"1.1 (-0.7, 2.9)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
4,Greenwood County,***,"197.6 (142.4, 270.6)","3 (1, 78)",11,stable,"-0.5 (-1.9, 0.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
5,Russell County,***,"186.9 (135.2, 254.3)","4 (1, 81)",11,stable,"0.1 (-1.6, 1.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
6,Geary County,***,"183.9 (150.8, 221.8)","5 (2, 66)",22,stable,"0.1 (-0.8, 1.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
7,Ellsworth County,***,"181.5 (125.2, 258.1)","6 (1, 86)",8,stable,"0.5 (-1.0, 2.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
8,Chase County,***,"180.3 (100.0, 307.4)","7 (1, 90)",4,stable,"-0.3 (-2.1, 1.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
9,Crawford County,***,"177.8 (154.3, 204.1)","8 (2, 51)",44,stable,"0.2 (-0.4, 0.9)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
10,Decatur County,***,"176.0 (92.3, 308.4)","9 (1, 90)",4,rising,"2.6 (0.4, 4.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
11,Neosho County,***,"173.3 (140.1, 212.7)","10 (2, 71)",21,stable,"0.5 (-0.4, 1.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
12,Smith County,***,"173.0 (110.7, 266.2)","11 (1, 90)",7,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
13,Cowley County,***,"171.9 (148.1, 198.5)","12 (3, 56)",42,stable,"-0.3 (-1.0, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
14,Chautauqua County,***,"170.8 (99.8, 279.8)","13 (1, 90)",5,stable,"0.3 (-1.9, 2.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
15,Kiowa County,***,"169.9 (95.7, 287.9)","14 (1, 90)",3,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
16,Rush County,***,"168.2 (102.3, 270.6)","15 (1, 90)",5,stable,"0.6 (-2.0, 3.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
17,Woodson County,***,"166.5 (86.6, 291.5)","16 (1, 90)",4,stable,"0.6 (-1.6, 2.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
18,Cloud County,***,"165.5 (122.5, 220.4)","17 (2, 85)",12,stable,"0.0 (-1.7, 1.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
19,Anderson County,***,"165.1 (125.6, 216.3)","18 (2, 84)",12,stable,"-0.5 (-2.1, 1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
20,Scott County,***,"164.3 (105.4, 246.7)","19 (1, 90)",6,stable,"-0.4 (-1.9, 1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
21,Linn County,***,"163.6 (123.6, 214.3)","20 (2, 85)",12,stable,"0.3 (-0.9, 1.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
22,Clark County,***,"162.9 (90.7, 287.7)","21 (1, 90)",3,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
23,Sumner County,***,"160.8 (134.5, 191.5)","22 (4, 72)",29,stable,"-0.6 (-1.5, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
24,Atchison County,***,"160.6 (128.3, 199.4)","23 (3, 80)",18,falling,"-0.9 (-1.8, -0.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
25,Doniphan County,***,"160.6 (119.4, 214.4)","24 (2, 86)",11,stable,"-0.2 (-1.5, 1.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
26,Nemaha County,***,"159.7 (119.7, 210.2)","25 (2, 86)",13,stable,"-0.1 (-1.4, 1.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
27,Butler County,***,"159.1 (142.0, 177.7)","26 (8, 60)",67,stable,"-0.4 (-0.9, 0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
28,Cherokee County,***,"159.0 (131.4, 191.5)","27 (4, 74)",25,stable,"-0.5 (-1.2, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
29,Edwards County,***,"158.7 (87.3, 271.8)","28 (1, 90)",3,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
30,Labette County,***,"157.9 (129.4, 191.5)","29 (4, 77)",24,stable,"0.5 (-0.3, 1.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
31,Morris County,***,"157.3 (104.2, 231.1)","30 (2, 90)",8,stable,"0.7 (-1.1, 2.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
32,Brown County,***,"156.7 (119.8, 203.7)","31 (3, 85)",13,stable,"0.6 (-0.4, 1.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
33,Grant County,***,"155.5 (105.2, 221.9)","32 (2, 90)",6,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
34,Phillips County,***,"155.1 (102.6, 228.5)","33 (2, 90)",7,stable,"-0.2 (-1.6, 1.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
35,Franklin County,***,"153.7 (128.0, 183.5)","34 (5, 77)",26,stable,"-0.5 (-1.2, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
36,Rooks County,***,"153.7 (101.9, 226.5)","35 (2, 90)",7,stable,"-0.2 (-1.6, 1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
37,Wyandotte County,***,"152.8 (141.4, 165.0)","36 (15, 58)",138,falling,"-2.9 (-4.9, -0.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
38,Dickinson County,***,"152.7 (126.1, 184.3)","37 (6, 79)",25,stable,"-0.1 (-0.9, 0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
39,Pawnee County,***,"152.1 (103.6, 219.1)","38 (2, 89)",8,stable,"0.1 (-1.3, 1.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
40,Shawnee County,***,"151.9 (142.3, 162.0)","39 (18, 55)",202,falling,"-0.4 (-0.7, -0.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
41,Saline County,***,"151.8 (134.8, 170.7)","40 (12, 66)",62,stable,"-0.3 (-0.9, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
42,Marshall County,***,"151.7 (115.1, 198.4)","41 (3, 86)",14,stable,"0.1 (-1.0, 1.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
43,Osborne County,***,"151.4 (95.4, 237.9)","42 (1, 90)",6,stable,"0.6 (-1.5, 2.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
44,Sherman County,***,"150.4 (102.6, 215.8)","43 (2, 90)",7,stable,"0.1 (-1.6, 1.9)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
45,Harper County,***,"150.3 (106.1, 212.1)","44 (2, 89)",8,stable,"0.5 (-1.6, 2.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
46,Gray County,***,"146.7 (94.9, 217.8)","45 (2, 90)",5,stable,"-0.3 (-2.5, 1.9)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
47,Lincoln County,***,"143.9 (86.0, 239.3)","46 (2, 90)",4,stable,"-0.2 (-2.4, 2.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
48,Thomas County,***,"142.9 (98.7, 201.4)","47 (3, 90)",8,stable,"-0.3 (-2.1, 1.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
49,Rawlins County,***,"142.8 (78.5, 254.4)","48 (2, 90)",4,stable,"0.9 (-0.9, 2.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
50,Barton County,***,"142.5 (119.4, 169.3)","49 (10, 82)",30,stable,"0.2 (-0.9, 1.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
51,Meade County,***,"142.0 (87.6, 222.4)","50 (2, 90)",5,stable,"-0.5 (-2.7, 1.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
52,Leavenworth County,***,"141.8 (126.7, 158.3)","51 (19, 73)",67,falling,"-1.6 (-2.2, -1.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
53,Osage County,***,"141.1 (111.5, 177.2)","52 (7, 87)",17,stable,"-0.5 (-1.6, 0.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
54,Sedgwick County,***,"141.0 (135.0, 147.2)","53 (33, 63)",439,falling,"-0.9 (-1.2, -0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
55,Harvey County,***,"139.8 (119.3, 163.1)","54 (14, 82)",38,stable,"-0.1 (-1.0, 0.8)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
56,Stevens County,***,"139.7 (89.9, 209.4)","55 (3, 90)",5,stable,"1.9 (-0.6, 4.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
57,Ford County,***,"139.7 (114.6, 168.4)","56 (12, 85)",23,stable,"-0.4 (-1.3, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
58,Bourbon County,***,"139.6 (109.6, 176.5)","57 (7, 87)",16,stable,"-0.7 (-1.9, 0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
59,Montgomery County,***,"139.0 (119.0, 161.8)","58 (16, 82)",37,stable,"-0.5 (-1.1, 0.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
60,Pratt County,***,"134.8 (99.9, 180.1)","59 (6, 89)",11,stable,"-0.7 (-1.8, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
61,Marion County,***,"133.8 (103.0, 172.9)","60 (9, 89)",15,stable,"-0.9 (-2.0, 0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
62,Lyon County,***,"130.6 (108.6, 156.0)","61 (19, 87)",27,stable,"-0.6 (-1.4, 0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
63,Wilson County,***,"130.5 (96.0, 176.2)","62 (7, 90)",10,stable,"0.4 (-0.9, 1.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
64,Gove County,***,"130.5 (67.8, 237.9)","63 (2, 90)",3,stable,"0.1 (-2.8, 3.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
65,McPherson County,***,"130.0 (109.6, 153.8)","64 (20, 86)",33,stable,"-0.4 (-1.2, 0.5)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
66,Jefferson County,***,"129.8 (103.5, 161.6)","65 (15, 89)",18,falling,"-1.3 (-2.5, -0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
67,Norton County,***,"129.2 (81.9, 199.1)","66 (3, 90)",6,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
68,Finney County,***,"129.1 (105.4, 156.3)","67 (17, 88)",22,stable,"-0.7 (-1.5, 0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
69,Ellis County,***,"127.3 (104.3, 154.2)","68 (19, 88)",23,stable,"-0.7 (-1.6, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
70,Ottawa County,***,"126.7 (84.2, 187.9)","69 (5, 90)",6,stable,"-0.6 (-2.1, 1.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
71,Pottawatomie County,***,"126.5 (101.0, 156.7)","70 (18, 89)",18,stable,"-0.6 (-1.5, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
72,Coffey County,***,"125.0 (88.9, 173.5)","71 (8, 90)",8,stable,"-1.0 (-2.6, 0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
73,Reno County,***,"124.9 (110.9, 140.4)","72 (36, 85)",64,falling,"-0.9 (-1.5, -0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
74,Riley County,***,"123.3 (105.6, 143.2)","73 (32, 87)",37,stable,"-0.4 (-1.2, 0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
75,Seward County,***,"122.4 (93.4, 157.4)","74 (16, 90)",13,falling,"-1.2 (-2.2, -0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
76,Trego County,***,"120.8 (72.3, 208.1)","75 (4, 90)",4,falling,"-1.9 (-3.5, -0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
77,Miami County,***,"120.2 (101.0, 142.3)","76 (34, 88)",29,falling,"-1.9 (-2.8, -1.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
78,Rice County,***,"119.8 (85.9, 164.5)","77 (11, 90)",9,falling,"-5.2 (-9.6, -0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
79,Allen County,***,"118.9 (90.6, 154.9)","78 (16, 90)",13,stable,"-0.5 (-1.8, 0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
80,Douglas County,***,"117.5 (105.3, 130.8)","79 (50, 87)",71,falling,"-1.2 (-1.7, -0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
81,Jewell County,***,"116.9 (69.8, 205.0)","80 (4, 90)",4,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
82,Ness County,***,"116.2 (64.1, 207.8)","81 (3, 90)",3,stable,"-0.1 (-2.1, 2.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
83,Johnson County,***,"115.0 (110.0, 120.2)","82 (63, 85)",419,falling,"-1.3 (-1.5, -1.0)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
84,Clay County,***,"109.5 (76.7, 154.7)","83 (18, 90)",8,falling,"-1.8 (-2.9, -0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
85,Jackson County,***,"106.8 (79.5, 141.7)","84 (27, 90)",11,falling,"-1.7 (-3.0, -0.3)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
86,Barber County,***,"106.3 (65.2, 171.0)","85 (12, 90)",4,falling,"-1.9 (-3.5, -0.1)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
87,Washington County,***,"102.9 (69.1, 155.0)","86 (20, 90)",7,stable,"-1.0 (-2.5, 0.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
88,Mitchell County,***,"102.9 (67.2, 155.4)","87 (17, 90)",6,stable,"-0.3 (-2.3, 1.6)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
89,Graham County,***,"101.8 (57.2, 190.9)","88 (7, 90)",3,stable,"-1.8 (-3.8, 0.2)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
90,Stafford County,***,"100.7 (58.2, 169.3)","89 (11, 90)",3,stable,"-1.2 (-3.0, 0.7)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
91,Wabaunsee County,***,"96.6 (62.7, 145.8)","90 (20, 90)",5,stable,"-1.1 (-2.6, 0.4)",Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
92,Cheyenne County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
93,Comanche County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
94,Elk County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
95,Greeley County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
96,Hamilton County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
97,Haskell County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
98,Hodgeman County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
99,Kearny County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
100,Lane County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
101,Logan County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
102,Morton County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
103,Sheridan County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
104,Stanton County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
105,Wallace County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
106,Wichita County,***,*,*,3 or fewer,*,*,Kansas ,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
0,Kentucky,***,"226.6 (223.9, 229.4)",,5461,falling,"-2.9 (-4.7, -1.0)",Kentucky,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
1,United States,***,"181.4 (181.1, 181.7)",,314987,falling,"-2.3 (-2.6, -2.0)",Kentucky,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
2,Whitley County,***,"335.9 (298.7, 376.5)","1 (1, 30)",63,stable,"-0.2 (-0.9, 0.5)",Kentucky,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
3,Wolfe County,***,"330.5 (252.8, 425.2)","2 (1, 100)",13,stable,"0.0 (-1.5, 1.4)",Kentucky,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
4,Clay County,***,"326.8 (276.5, 383.4)","3 (1, 59)",34,stable,"0.6 (-0.4, 1.6)",Kentucky,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
