Expand,Discipline ,MUA/P ID ,Service Area Name ,Designation Type ,Primary State Name ,County ,Index of Medical Underservice Score ,Status ,Rural Status ,Designation Date ,Update Date 
,Primary Care,00781,Latah Service Area,Medically Underserved Area,Idaho,"Latah County, ID",61.6,Designated,Rural,04/11/1994,07/13/1994
,Primary Care,00775,Lincoln County,Medically Underserved Area,Idaho,"Lincoln County, ID",61.6,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07367,Low Inc - Idaho County,Medically Underserved Area,Idaho,"Idaho County, ID",61.1,Designated,Rural,09/12/2003,09/12/2003
,Primary Care,07420,Low Inc - Lemhi County,Medically Underserved Area,Idaho,"Lemhi County, ID",60.3,Designated,Rural,05/27/2004,05/27/2004
,Primary Care,07360,Low Inc - Madison County,Medically Underserved Area,Idaho,"Madison County, ID",55.6,Designated,Rural,08/25/2003,08/25/2003
,Primary Care,07524,Low Inc - Nez Perce County,Medically Underserved Area,Idaho,"Nez Perce County, ID",56.3,Designated,Partially Rural,03/23/2006,03/23/2006
,Primary Care,00776,Minidoka County,Medically Underserved Area,Idaho,"Minidoka County, ID",60.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,1167925996,Oneida County MUA,Medically Underserved Area,Idaho,"Oneida County, ID",56.6,Designated,Rural,03/17/2016,03/17/2016
,Primary Care,00777,Owyhee County,Medically Underserved Area,Idaho,"Owyhee County, ID",49.2,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,00778,Payette County,Medically Underserved Area,Idaho,"Payette County, ID",54.9,Designated,Rural,05/11/1982,05/11/1982
,Primary Care,07465,Pierce-weippe Service Area,Medically Underserved Area,Idaho,"Clearwater County, ID",60.1,Designated,Rural,09/22/2004,09/22/2004
,Primary Care,07477,Shoshone County,Medically Underserved Area,Idaho,"Shoshone County, ID",58.7,Designated,Rural,04/29/2005,04/29/2005
,Primary Care,1165704166,Swan Valley,Medically Underserved Area,Idaho,"Bonneville County, ID",48.0,Designated,Rural,08/02/2021,08/02/2021
,Primary Care,07479,Tetonia Service Area,Medically Underserved Area,Idaho,"Teton County, ID",58.1,Designated,Rural,05/14/2004,05/14/2004
,Primary Care,07401,Warm River Service Area,Medically Underserved Area,Idaho,"Fremont County, ID",61.2,Designated,Rural,03/16/2004,03/16/2004
,Primary Care,00779,Washington County,Medically Underserved Area,Idaho,"Washington County, ID",54.7,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00780,West Pocatello Service Area,Medically Underserved Area,Idaho,"Bannock County, ID",57.2,Designated,Non-Rural,10/28/1993,01/31/1994
,Primary Care,1163720878,LI-Benewah County,MUP Low Income,Idaho,"Benewah County, ID",60.2,Designated,Rural,10/27/2017,10/27/2017
,Primary Care,1169890054,LI-Lewis County,MUP Low Income,Idaho,"Lewis County, ID",52.0,Designated,Rural,10/17/2016,10/17/2016
,Primary Care,07581,Low Inc - Ada Service Area,MUP Low Income,Idaho,"Ada County, ID",60.5,Designated,Non-Rural,05/11/2007,05/11/2007
,Primary Care,07583,Low Inc - Central Ada Service Area,MUP Low Income,Idaho,"Ada County, ID",61.6,Designated,Non-Rural,05/11/2007,05/11/2007
,Primary Care,07478,Low Inc - East Valley,MUP Low Income,Idaho,"Valley County, ID",55.5,Designated,Rural,04/29/2005,04/29/2005
,Primary Care,07582,Low Inc - Garden City Service Area,MUP Low Income,Idaho,"Ada County, ID",61.2,Designated,Non-Rural,05/11/2007,05/11/2007
,Primary Care,07409,Low Inc - Moscow Service Area,MUP Low Income,Idaho,"Latah County, ID",61.2,Designated,Rural,05/05/2004,05/05/2004
,Primary Care,07889,Low Income-Adams County/Northwest Valley,MUP Low Income,Idaho,"Adams County, ID | Valley County, ID",61.2,Designated,Rural,10/03/2012,10/03/2012
,Primary Care,00793,Alexander County,Medically Underserved Area,Illinois,"Alexander County, IL",29.1,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,00856,Alma Service Area,Medically Underserved Area,Illinois,"Marion County, IL",57.1,Designated,Rural,05/18/1994,04/27/1999
,Primary Care,00895,Astoria Service Area,Medically Underserved Area,Illinois,"Fulton County, IL",48.0,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,07010,Augusta Township  Service Area,Medically Underserved Area,Illinois,"Hancock County, IL",57.0,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,07336,Austin Community Service Area,Medically Underserved Area,Illinois,"Cook County, IL",51.0,Designated,Non-Rural,05/22/2003,05/22/2003
,Primary Care,00902,Bald Hill Service Area,Medically Underserved Area,Illinois,"Jefferson County, IL",58.3,Designated,Rural,05/11/1994,04/27/1999
,Primary Care,05001,Beaucoup Precinct - County,Medically Underserved Area,Illinois,"Perry County, IL",61.1,Designated,Rural,08/31/1998,08/31/1998
,Primary Care,00898,Biggsville Service Area,Medically Underserved Area,Illinois,"Henderson County, IL",54.0,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00865,Blairsville/ Carterville Service Area,Medically Underserved Area,Illinois,"Williamson County, IL",60.9,Designated,Non-Rural,05/18/1994,05/18/1994
,Primary Care,07323,Brighton Park / Gage Park Service Area,Medically Underserved Area,Illinois,"Cook County, IL",61.6,Designated,Non-Rural,04/07/2003,01/12/2011
,Primary Care,00794,Broown County,Medically Underserved Area,Illinois,"Brown County, IL",36.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00795,Calhoun County,Medically Underserved Area,Illinois,"Calhoun County, IL",57.8,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,00796,Carroll County,Medically Underserved Area,Illinois,"Carroll County, IL",60.8,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00903,Casner Service Area,Medically Underserved Area,Illinois,"Jefferson County, IL",53.2,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00797,Cass County,Medically Underserved Area,Illinois,"Cass County, IL",57.4,Designated,Rural,04/18/1994,04/18/1994
,Primary Care,00896,Cass Service Area,Medically Underserved Area,Illinois,"Fulton County, IL",53.7,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,06186,Central Carpentersville Service Area,Medically Underserved Area,Illinois,"Kane County, IL",59.3,Designated,Non-Rural,01/30/2001,01/30/2001
,Primary Care,00870,Champaign Service Area,Medically Underserved Area,Illinois,"Champaign County, IL",61.5,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00921,Champaign Service Area,Medically Underserved Area,Illinois,"Champaign County, IL",55.6,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00832,Chicago Heights/Ford Heights Service Area,Medically Underserved Area,Illinois,"Cook County, IL",45.0,Designated,Non-Rural,06/11/1992,02/03/1994
,Primary Care,00909,China Service Area,Medically Underserved Area,Illinois,"Lee County, IL",60.1,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00834,City of Peoria Service Area,Medically Underserved Area,Illinois,"Peoria County, IL",48.3,Designated,Non-Rural,04/12/1994,07/13/1994
,Primary Care,00800,Clay County,Medically Underserved Area,Illinois,"Clay County, IL",52.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00847,Clayton/ Northeast Service Area,Medically Underserved Area,Illinois,"Adams County, IL",51.4,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00920,Clyde Service Area,Medically Underserved Area,Illinois,"Whiteside County, IL",58.1,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00826,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",48.5,Designated,Non-Rural,08/13/1992,02/03/1994
,Primary Care,00827,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",57.9,Designated,Non-Rural,08/13/1992,02/03/1994
,Primary Care,00828,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",43.3,Designated,Non-Rural,08/13/1992,02/03/1994
,Primary Care,00829,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",59.2,Designated,Non-Rural,08/05/1992,02/03/1994
,Primary Care,00835,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",36.7,Designated,Non-Rural,06/04/1984,05/03/1994
,Primary Care,00836,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",53.3,Designated,Non-Rural,02/25/1983,05/03/1994
,Primary Care,00838,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",56.5,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00839,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",56.2,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00840,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",56.4,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00841,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",54.5,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00842,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",51.7,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00843,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",52.6,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00844,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",54.6,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00845,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",53.6,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00846,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",55.8,Designated,Non-Rural,05/18/1994,05/18/1994
,Primary Care,00874,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",49.0,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00875,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",55.1,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00876,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",57.1,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00877,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",57.1,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00878,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",55.8,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00879,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",58.0,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00880,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",58.0,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00881,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",35.1,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00884,Cook Service Area,Medically Underserved Area,Illinois,"Cook County, IL",47.9,Designated,Non-Rural,05/18/1994,05/18/1994
,Primary Care,00855,Copley/ Knox Service Area,Medically Underserved Area,Illinois,"Knox County, IL",61.5,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00925,Creek Service Area,Medically Underserved Area,Illinois,"De Witt County, IL",0.0,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,05002,Cutler Precinct - County,Medically Underserved Area,Illinois,"Perry County, IL",51.7,Designated,Rural,08/31/1998,08/31/1998
,Primary Care,00852,Dahlgren/ Couch Service Area,Medically Underserved Area,Illinois,"Hamilton County, IL",58.1,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,07304,Des Plaines Service Area,Medically Underserved Area,Illinois,"Cook County, IL",61.4,Designated,Non-Rural,02/28/2003,02/28/2003
,Primary Care,00931,DuBois Service Area,Medically Underserved Area,Illinois,"Washington County, IL",0.0,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,07875,Edgar County,Medically Underserved Area,Illinois,"Edgar County, IL",58.3,Designated,Rural,05/30/2012,05/30/2012
,Primary Care,00803,Edwards County,Medically Underserved Area,Illinois,"Edwards County, IL",61.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07232,Effingham,Medically Underserved Area,Illinois,"Effingham County, IL",60.4,Designated,Rural,07/23/2002,07/23/2002
,Primary Care,00911,Eminence Service Area,Medically Underserved Area,Illinois,"Logan County, IL",52.6,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00854,English/ Richwood Service Area,Medically Underserved Area,Illinois,"Jersey County, IL",59.8,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00883,Evanston Service Area,Medically Underserved Area,Illinois,"Cook County, IL",60.0,Designated,Non-Rural,05/18/1994,06/10/1999
,Primary Care,00804,Fayette County,Medically Underserved Area,Illinois,"Fayette County, IL",60.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00857,Forest City/ Quiver Service Area,Medically Underserved Area,Illinois,"Mason County, IL",59.8,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00805,Franklin County,Medically Underserved Area,Illinois,"Franklin County, IL",55.6,Designated,Rural,04/10/1981,04/10/1981
,Primary Care,07233,Gallatin County,Medically Underserved Area,Illinois,"Gallatin County, IL",48.2,Designated,Rural,07/23/2002,07/23/2002
,Primary Care,07449,Gillespie Service Area,Medically Underserved Area,Illinois,"Macoupin County, IL",60.6,Designated,Rural,12/08/2004,12/08/2004
,Primary Care,07239,Gladstone/Media,Medically Underserved Area,Illinois,"Henderson County, IL",55.6,Designated,Rural,07/25/2002,07/25/2002
,Primary Care,00806,Greene County,Medically Underserved Area,Illinois,"Greene County, IL",57.5,Designated,Rural,03/18/1998,03/18/1998
,Primary Care,00849,Greenup/ Sumpter Service Area,Medically Underserved Area,Illinois,"Cumberland County, IL",61.4,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00807,Hardin County,Medically Underserved Area,Illinois,"Hardin County, IL",57.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00831,Harvey/Phoenix Service Area,Medically Underserved Area,Illinois,"Cook County, IL",45.2,Designated,Non-Rural,06/11/1992,02/03/1994
,Primary Care,00872,Henry Service Area,Medically Underserved Area,Illinois,"Henry County, IL",59.5,Designated,Rural,05/20/1994,05/20/1994
,Primary Care,00893,Henry Service Area,Medically Underserved Area,Illinois,"Henry County, IL",60.3,Designated,Rural,05/20/1994,05/20/1994
,Primary Care,00861,Herrick Service Area,Medically Underserved Area,Illinois,"Shelby County, IL",53.5,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,07448,Hillyard Service Area,Medically Underserved Area,Illinois,"Macoupin County, IL",60.9,Designated,Partially Rural,12/08/2004,12/08/2004
,Primary Care,07335,Humboldt Park Service Area,Medically Underserved Area,Illinois,"Cook County, IL",60.7,Designated,Non-Rural,05/14/2003,05/14/2003
,Primary Care,00833,Inner City Aurora Service Area,Medically Underserved Area,Illinois,"Kane County, IL",58.4,Designated,Non-Rural,04/04/1994,04/11/2002
,Primary Care,00858,Irving/ Witt Service Area,Medically Underserved Area,Illinois,"Montgomery County, IL",57.6,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00808,Jackson County,Medically Underserved Area,Illinois,"Jackson County, IL",45.7,Designated,Partially Rural,04/12/1994,04/12/1994
,Primary Care,00809,Jo Daviess County,Medically Underserved Area,Illinois,"Jo Daviess County, IL",61.7,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00810,Johnson County,Medically Underserved Area,Illinois,"Johnson County, IL",57.0,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,07325,Kanakee Service Area,Medically Underserved Area,Illinois,"Kankakee County, IL",51.6,Designated,Non-Rural,04/11/2003,04/11/2003
,Primary Care,00905,Kane Service Area,Medically Underserved Area,Illinois,"Kane County, IL",54.3,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,07176,Kenwood Area,Medically Underserved Area,Illinois,"Cook County, IL",57.1,Designated,Non-Rural,04/04/2002,04/04/2002
,Primary Care,07710,Knox County,Medically Underserved Area,Illinois,"Knox County, IL",56.0,Designated,Rural,05/20/2009,05/20/2009
,Primary Care,00897,La Harpe Service Area,Medically Underserved Area,Illinois,"Hancock County, IL",60.1,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00811,Lawrence County,Medically Underserved Area,Illinois,"Lawrence County, IL",58.9,Designated,Rural,06/07/1984,02/11/2000
,Primary Care,00822,LeClaire Courts Service Area,Medically Underserved Area,Illinois,"Cook County, IL",56.5,Designated,Non-Rural,12/09/1992,02/01/1994
,Primary Care,00919,Leech Service Area,Medically Underserved Area,Illinois,"Wayne County, IL",59.7,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00899,Lomax Service Area,Medically Underserved Area,Illinois,"Henderson County, IL",56.5,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00799,Low Income - Clark County,Medically Underserved Area,Illinois,"Clark County, IL",50.4,Designated,Rural,11/01/1978,06/07/2012
,Primary Care,07098,Low Income - Saline,Medically Underserved Area,Illinois,"Saline County, IL",56.6,Designated,Rural,05/11/2001,05/11/2001
,Primary Care,00873,Macon Service Area,Medically Underserved Area,Illinois,"Macon County, IL",49.3,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00923,Madison Service Area,Medically Underserved Area,Illinois,"Madison County, IL",62.0,Designated,Non-Rural,05/20/1994,05/20/1994
,Primary Care,00924,Madison Service Area,Medically Underserved Area,Illinois,"Madison County, IL",59.6,Designated,Non-Rural,05/20/1994,05/20/1994
,Primary Care,00906,Manteno Service Area,Medically Underserved Area,Illinois,"Kankakee County, IL",55.9,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,07865,MARSHALL,Medically Underserved Area,Illinois,"Marshall County, IL",61.6,Designated,Partially Rural,05/18/2012,05/18/2012
,Primary Care,00812,Massac County,Medically Underserved Area,Illinois,"Massac County, IL",55.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,06220,Maywood,Medically Underserved Area,Illinois,"Cook County, IL",59.5,Designated,Non-Rural,05/25/2001,05/25/2001
,Primary Care,07611,McDonough County,Medically Underserved Area,Illinois,"McDonough County, IL",61.1,Designated,Rural,08/27/2007,08/27/2007
,Primary Care,00922,Mclean Service Area,Medically Underserved Area,Illinois,"McLean County, IL",49.2,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,07009,Mcleansboro Township  Service Area,Medically Underserved Area,Illinois,"Hamilton County, IL",54.8,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00910,Nebraska Service Area,Medically Underserved Area,Illinois,"Livingston County, IL",60.1,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00823,North Chicago Service Area,Medically Underserved Area,Illinois,"Lake County, IL",60.3,Designated,Non-Rural,08/26/1992,02/03/1994
,Primary Care,00932,Okawville Service Area,Medically Underserved Area,Illinois,"Washington County, IL",0.0,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00886,Pana/Ricks Service Area,Medically Underserved Area,Illinois,"Christian County, IL",60.6,Designated,Rural,05/11/1994,03/27/2001
,Primary Care,00907,Pembroke Service Area,Medically Underserved Area,Illinois,"Kankakee County, IL",47.3,Designated,Partially Rural,05/11/1994,05/11/1994
,Primary Care,00867,Peoria Service Area,Medically Underserved Area,Illinois,"Peoria County, IL",60.7,Designated,Non-Rural,05/18/1994,05/18/1994
,Primary Care,00814,Pike County,Medically Underserved Area,Illinois,"Pike County, IL",57.0,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00815,Pope County,Medically Underserved Area,Illinois,"Pope County, IL",36.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00914,Precinct 15 (Mitchie) - County,Medically Underserved Area,Illinois,"Monroe County, IL",55.0,Designated,Non-Rural,07/05/1994,07/05/1994
,Primary Care,00816,Pulaski County,Medically Underserved Area,Illinois,"Pulaski County, IL",25.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07692,Richland,Medically Underserved Area,Illinois,"Richland County, IL",62.0,Designated,Rural,01/28/2009,01/28/2009
,Primary Care,00917,Ridge Service Area,Medically Underserved Area,Illinois,"Shelby County, IL",55.7,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00901,Ridgeland Service Area,Medically Underserved Area,Illinois,"Iroquois County, IL",56.5,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,06126,Riverdale Service Area,Medically Underserved Area,Illinois,"Cook County, IL",52.3,Designated,Non-Rural,05/27/1999,05/27/1999
,Primary Care,00830,Robbins Service Area,Medically Underserved Area,Illinois,"Cook County, IL",46.7,Designated,Non-Rural,06/11/1992,02/03/1994
,Primary Care,00522,Rogers Park Service Area,Medically Underserved Area,Illinois,"Cook County, IL",61.2,Designated,Non-Rural,06/10/1999,06/10/1999
,Primary Care,00802,Roseland Service Area,Medically Underserved Area,Illinois,"Cook County, IL",46.9,Designated,Non-Rural,10/23/1995,10/23/1995
,Primary Care,00930,Roseville Service Area,Medically Underserved Area,Illinois,"Warren County, IL",0.0,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00817,Schuyler County,Medically Underserved Area,Illinois,"Schuyler County, IL",56.8,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00818,Scott County,Medically Underserved Area,Illinois,"Scott County, IL",56.7,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00860,Shelbyville Service Area,Medically Underserved Area,Illinois,"Shelby County, IL",56.4,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00915,South Litchfield Service Area,Medically Underserved Area,Illinois,"Montgomery County, IL",59.9,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00912,South Palmyra Service Area,Medically Underserved Area,Illinois,"Macoupin County, IL",60.7,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00859,Springfield Service Area,Medically Underserved Area,Illinois,"Sangamon County, IL",53.2,Designated,Non-Rural,05/18/1994,08/30/1996
,Primary Care,00869,St. Clair Service Area,Medically Underserved Area,Illinois,"St. Clair County, IL",54.6,Designated,Non-Rural,05/18/1994,05/18/1994
,Primary Care,00888,St. Rose Township,Medically Underserved Area,Illinois,"Clinton County, IL",48.9,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00853,Ste. Marie Service Area,Medically Underserved Area,Illinois,"Jasper County, IL",58.1,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,07276,Sterling/ Rock Falls Service Area,Medically Underserved Area,Illinois,"Whiteside County, IL",57.4,Designated,Rural,10/05/2002,10/05/2002
,Primary Care,06219,Summit,Medically Underserved Area,Illinois,"Cook County, IL",54.6,Designated,Non-Rural,05/24/2001,05/24/2001
,Primary Care,00885,Tamalco Service Area,Medically Underserved Area,Illinois,"Bond County, IL",61.3,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00926,Tunbridge Service Area,Medically Underserved Area,Illinois,"De Witt County, IL",0.0,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00819,Union County,Medically Underserved Area,Illinois,"Union County, IL",58.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,06169,Wabash County,Medically Underserved Area,Illinois,"Wabash County, IL",62.0,Designated,Rural,12/08/2000,12/08/2000
,Primary Care,00927,Waverly Prec - County,Medically Underserved Area,Illinois,"Morgan County, IL",0.0,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00863,Wayne Service Area,Medically Underserved Area,Illinois,"Wayne County, IL",57.3,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00864,Wayne Service Area,Medically Underserved Area,Illinois,"Wayne County, IL",56.2,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00904,Webber Service Area,Medically Underserved Area,Illinois,"Jefferson County, IL",60.7,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00862,West Jersey Service Area,Medically Underserved Area,Illinois,"Stark County, IL",60.8,Designated,Non-Rural,05/18/1994,05/18/1994
,Primary Care,07316,West Ridge Service Area,Medically Underserved Area,Illinois,"Cook County, IL",59.8,Designated,Non-Rural,03/13/2003,03/13/2003
,Primary Care,07337,West Ridge Service Area,Medically Underserved Area,Illinois,"Cook County, IL",61.5,Designated,Non-Rural,05/22/2003,05/22/2003
,Primary Care,00820,White County,Medically Underserved Area,Illinois,"White County, IL",47.6,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00916,White Rock Service Area,Medically Underserved Area,Illinois,"Ogle County, IL",60.9,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,00866,Williamson Service Area,Medically Underserved Area,Illinois,"Williamson County, IL",59.0,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,07011,Winnebago  Service Area,Medically Underserved Area,Illinois,"Winnebago County, IL",50.5,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00918,Winslow Service Area,Medically Underserved Area,Illinois,"Stephenson County, IL",58.4,Designated,Rural,05/18/1994,05/18/1994
,Primary Care,07115,Highland Park/highwood Service Area,MUA – Governor’s Exception,Illinois,"Lake County, IL",0.0,Designated,Non-Rural,11/26/2001,11/26/2001
,Primary Care,00821,Low Inc - Alton/Wood River Service Area,MUA – Governor’s Exception,Illinois,"Madison County, IL",0.0,Designated,Non-Rural,07/21/1993,01/31/1994
,Primary Care,00798,Low Inc - Champaign Service Area,MUA – Governor’s Exception,Illinois,"Champaign County, IL",0.0,Designated,Non-Rural,08/26/1997,08/26/1997
,Primary Care,00824,Low Inc - Waukegan Service Area,MUA – Governor’s Exception,Illinois,"Lake County, IL",0.0,Designated,Non-Rural,08/26/1992,02/03/1994
,Primary Care,00825,Low Inc - Zion Service Area,MUA – Governor’s Exception,Illinois,"Lake County, IL",0.0,Designated,Non-Rural,08/26/1992,02/03/1994
,Primary Care,00813,Mercer Governor,MUA – Governor’s Exception,Illinois,"Mercer County, IL",0.0,Designated,Partially Rural,03/07/1994,03/07/1994
,Primary Care,07705,Centralia,MUP Low Income,Illinois,"Clinton County, IL | Marion County, IL",60.6,Designated,Rural,04/14/2009,04/14/2009
,Primary Care,07679,"Chicago Lawn, West Lawn, Ashburn",MUP Low Income,Illinois,"Cook County, IL",61.7,Designated,Non-Rural,08/28/2008,08/28/2008
,Primary Care,07675,DeKalb,MUP Low Income,Illinois,"DeKalb County, IL",59.4,Designated,Non-Rural,07/30/2008,07/30/2008
,Primary Care,07308,Low Inc - Blue Island,MUP Low Income,Illinois,"Cook County, IL",61.6,Designated,Non-Rural,02/28/2003,02/28/2003
,Primary Care,07238,Low Inc - Cahokia,MUP Low Income,Illinois,"St. Clair County, IL",61.1,Designated,Non-Rural,07/25/2002,07/25/2002
,Primary Care,07321,Low Inc - Calumet City,MUP Low Income,Illinois,"Cook County, IL",59.1,Designated,Non-Rural,04/04/2003,04/04/2003
,Primary Care,07058,Low Inc - Cicero Service Area,MUP Low Income,Illinois,"Cook County, IL",60.3,Designated,Non-Rural,06/10/1999,06/10/1999
,Primary Care,07458,Low Inc - Danville Service Area,MUP Low Income,Illinois,"Vermilion County, IL",60.6,Designated,Non-Rural,02/23/2005,02/23/2005
,Primary Care,07486,Low Inc - Logan Square/ Hermosa,MUP Low Income,Illinois,"Cook County, IL",61.7,Designated,Non-Rural,06/27/2005,06/27/2005
,Primary Care,07155,Low Inc - Melrose Park/ Maywood Sa,MUP Low Income,Illinois,"Cook County, IL",61.1,Designated,Non-Rural,02/27/2002,02/27/2002
,Primary Care,07222,Low Inc - Mt. Vernon Service Area,MUP Low Income,Illinois,"Jefferson County, IL",51.3,Designated,Rural,06/13/2002,06/13/2002
,Primary Care,07485,Low Inc - North Freeport Service Area,MUP Low Income,Illinois,"Stephenson County, IL",57.3,Designated,Rural,07/11/2005,07/11/2005
,Primary Care,07450,Low Inc - Quincy,MUP Low Income,Illinois,"Adams County, IL",61.0,Designated,Rural,12/09/2004,12/09/2004
,Primary Care,00868,Low Inc - Will Service Area,MUP Low Income,Illinois,"Will County, IL",60.1,Designated,Non-Rural,05/18/1994,06/16/1995
,Primary Care,00871,Low Inc – Coles County,MUP Low Income,Illinois,"Coles County, IL",62.0,Designated,Rural,05/18/1994,05/17/2012
